,学工号,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,平均风速,特殊天象,时间戳,Mealtime_N,Mealtime_A,Mealtime_E,Eight
0,2021****46,7.0,2023/04/25 17:30,学苑食堂主食三组（面条）,2023-04-25,17:30,0,3,1,0,1682415000.0,0,0,0,0
1,2021****46,16.0,2023/04/25 11:53,阳光广式猪脚饭,2023-04-25,11:53,0,3,1,0,1682394780.0,0,0,0,0
2,2021****46,16.0,2023/04/24 17:31,美食林肠粉,2023-04-24,17:31,0,10,2,0,1682328660.0,0,0,0,0
3,2021****46,14.4,2023/04/24 11:44,阳光副食二组,2023-04-24,11:44,0,10,2,0,1682307840.0,0,0,0,0
4,2021****46,25.0,2023/04/23 17:36,紫丁香餐吧主食一组,2023-04-23,17:36,0,7,3,0,1682242560.0,0,0,0,0
5,2021****46,12.0,2023/04/22 18:12,民族餐厅山西饸饹面,2023-04-22,18:12,1,7,3,0,1682158320.0,-1,-1,-1,-1
6,2021****46,21.0,2023/04/22 12:29,民族餐厅铁板料理,2023-04-22,12:29,1,7,3,0,1682137740.0,-1,-1,-1,-1
7,2021****46,18.0,2023/04/21 17:06,美食林肠粉,2023-04-21,17:06,0,7,4,0,1682067960.0,0,1,0,0
8,2021****46,13.97,2023/04/21 11:54,阳光副食二组,2023-04-21,11:54,0,7,4,0,1682049240.0,0,1,0,0
9,2021****46,16.0,2023/04/20 17:35,美食林肠粉,2023-04-20,17:35,0,8,6,0,1681983300.0,0,0,0,0
10,2021****46,12.0,2023/04/20 11:24,学苑食堂香恋香拌砂锅,2023-04-20,11:24,0,8,6,0,1681961040.0,0,0,0,0
11,2021****46,10.08,2023/04/19 12:18,阳光副食二组,2023-04-19,12:18,0,13,2,0,1681877880.0,0,0,0,0
12,2021****46,2.0,2023/04/19 09:51,百味佳副食一组,2023-04-19,09:51,0,13,2,0,1681869060.0,0,0,0,0
13,2021****46,12.0,2023/04/18 18:38,民族餐厅山西饸饹面,2023-04-18,18:38,0,11,3,0,1681814280.0,0,0,0,0
14,2021****46,12.0,2023/04/18 11:53,一区饺子园主食二组,2023-04-18,11:53,0,11,3,0,1681789980.0,0,0,0,0
15,2021****46,3.85,2023/04/18 07:45,学苑食堂包子,2023-04-18,07:45,0,11,3,0,1681775100.0,0,0,0,0
16,2021****46,16.0,2023/04/14 17:56,阳光广式猪脚饭,2023-04-14,17:56,0,7,3,0,1681466160.0,0,0,0,0
17,2021****46,16.0,2023/04/14 11:47,美食林肠粉,2023-04-14,11:47,0,7,3,0,1681444020.0,0,0,0,0
18,2021****46,9.6,2023/04/13 11:42,一区饺子园凉菜组,2023-04-13,11:42,0,7,3,0,1681357320.0,0,0,0,0
19,2021****46,5.0,2023/04/12 17:39,学苑食堂主食三组（面条）,2023-04-12,17:39,0,4,4,0,1681292340.0,0,0,0,0
20,2021****46,8.0,2023/04/11 18:23,民族餐厅山西饸饹面,2023-04-11,18:23,0,2,6,0,1681208580.0,0,0,0,0
21,2021****46,13.13,2023/04/11 11:49,淘乐水果捞店,2023-04-11,11:49,0,2,6,0,1681184940.0,0,0,0,0
22,2021****46,12.0,2023/04/10 17:27,一区饺子园主食二组,2023-04-10,17:27,0,14,5,1,1681118820.0,0,0,0,0
23,2021****46,10.8,2023/04/10 11:50,阳光副食二组,2023-04-10,11:50,0,14,5,1,1681098600.0,0,0,0,0
24,2021****46,2.25,2023/04/10 09:43,百味佳副食一组,2023-04-10,09:43,0,14,5,1,1681090980.0,0,0,0,0
25,2021****46,14.0,2023/04/09 18:09,学苑食堂香恋香拌砂锅,2023-04-09,18:09,1,15,4,1,1681034940.0,-1,-1,-1,-1
26,2021****46,25.0,2023/04/09 11:57,紫丁香餐吧主食一组,2023-04-09,11:57,1,15,4,1,1681012620.0,-1,-1,-1,-1
27,2021****46,2.5,2023/04/09 09:37,百味佳副食一组,2023-04-09,09:37,1,15,4,1,1681004220.0,-1,-1,-1,-1
28,2021****46,12.0,2023/04/08 18:18,民族餐厅金家店,2023-04-08,18:18,1,7,3,0,1680949080.0,-1,-1,-1,-1
29,2021****46,12.0,2023/04/08 12:45,民族餐厅山西饸饹面,2023-04-08,12:45,1,7,3,0,1680929100.0,-1,-1,-1,-1
30,2021****46,4.25,2023/04/08 09:06,百味佳副食一组,2023-04-08,09:06,1,7,3,0,1680915960.0,-1,-1,-1,-1
31,2021****46,4.0,2023/04/07 18:12,学苑食堂主食三组（面条）,2023-04-07,18:12,0,0,2,0,1680862320.0,1,0,0,0
32,2021****46,29.759999999999998,2023/04/07 11:52,阳光副食二组,2023-04-07,11:52,0,0,2,0,1680839520.0,1,0,0,0
33,2021****46,48.0,2023/04/05 18:15,美食林肠粉,2023-04-05,18:15,1,7,2,1,1680689700.0,-1,-1,-1,-1
34,2021****46,3.85,2023/04/04 07:53,学苑食堂包子,2023-04-04,07:53,0,5,2,0,1680565980.0,0,0,0,1
35,2021****46,7.2,2023/04/03 17:36,一区饺子园凉菜组,2023-04-03,17:36,0,7,2,0,1680514560.0,0,0,0,0
36,2021****46,6.6,2023/04/03 11:48,学苑食堂副食四组,2023-04-03,11:48,0,7,2,0,1680493680.0,0,0,0,0
37,2021****46,3.85,2023/04/03 07:46,学苑食堂包子,2023-04-03,07:46,0,7,2,0,1680479160.0,0,0,0,0
38,2021****46,12.0,2023/04/02 11:56,一区饺子园主食二组,2023-04-02,11:56,1,15,2,0,1680407760.0,-1,-1,-1,-1
39,2021****46,21.0,2023/04/01 11:22,紫丁香餐吧主食一组,2023-04-01,11:22,1,16,3,0,1680319320.0,-1,-1,-1,-1
40,2021****46,13.91,2023/03/31 18:26,美食林小猪憨尼麻辣烫,2023-03-31,18:26,0,15,3,1,1680258360.0,0,0,0,0
41,2021****46,17.0,2023/03/31 12:28,美食林肠粉,2023-03-31,12:28,0,15,3,1,1680236880.0,0,0,0,0
42,2021****46,12.0,2023/03/30 17:34,民族餐厅金家店,2023-03-30,17:34,0,9,4,1,1680168840.0,0,0,0,0
43,2021****46,12.0,2023/03/30 11:37,一区饺子园主食二组,2023-03-30,11:37,0,9,4,1,1680147420.0,0,0,0,0
44,2021****46,12.0,2023/03/29 17:58,民族餐厅山西饸饹面,2023-03-29,17:58,0,13,5,0,1680083880.0,0,0,0,0
