,学工号,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,平均风速,特殊天象,时间戳,Mealtime_N,Mealtime_A,Mealtime_E,Eight
0,2021****86,11.84,2023/04/25 17:35,美食林小猪憨尼麻辣烫,2023-04-25,17:35,0,3,1,0,1682415300.0,0,0,0,0
1,2021****86,13.0,2023/04/25 11:46,美食林川蜀源烤鱼,2023-04-25,11:46,0,3,1,0,1682394360.0,0,0,0,0
2,2021****86,2.65,2023/04/25 07:49,学苑食堂副食一组,2023-04-25,07:49,0,3,1,0,1682380140.0,0,0,0,0
3,2021****86,36.8,2023/04/24 17:57,紫丁香餐吧机器人收银组,2023-04-24,17:57,0,10,2,0,1682330220.0,0,0,0,0
4,2021****86,2.25,2023/04/24 07:43,学苑食堂副食一组,2023-04-24,07:43,0,10,2,0,1682293380.0,0,0,0,0
5,2021****86,16.7,2023/04/23 17:36,回味斋一餐厅副食一组,2023-04-23,17:36,0,7,3,0,1682242560.0,0,0,0,0
6,2021****86,20.4,2023/04/23 11:42,紫丁香餐吧机器人收银组,2023-04-23,11:42,0,7,3,0,1682221320.0,0,0,0,0
7,2021****86,5.1,2023/04/23 08:59,百味佳副食一组,2023-04-23,08:59,0,7,3,0,1682211540.0,0,0,0,0
8,2021****86,32.0,2023/04/22 17:40,紫丁香餐吧机器人收银组,2023-04-22,17:40,1,7,3,0,1682156400.0,-1,-1,-1,-1
9,2021****86,2.1,2023/04/22 09:13,百味佳副食一组,2023-04-22,09:13,1,7,3,0,1682125980.0,-1,-1,-1,-1
10,2021****86,10.0,2023/04/21 17:33,学苑食堂真牛铁板,2023-04-21,17:33,0,7,4,0,1682069580.0,0,0,0,0
11,2021****86,17.4,2023/04/21 11:51,紫丁香餐吧机器人收银组,2023-04-21,11:51,0,7,4,0,1682049060.0,0,0,0,0
12,2021****86,2.6,2023/04/21 07:45,学苑食堂副食一组,2023-04-21,07:45,0,7,4,0,1682034300.0,0,0,0,0
13,2021****86,22.4,2023/04/20 18:03,紫丁香餐吧机器人收银组,2023-04-20,18:03,0,8,6,0,1681984980.0,0,0,0,1
14,2021****86,13.0,2023/04/20 11:29,美食林蜀香麻辣烫(川香麻辣烫),2023-04-20,11:29,0,8,6,0,1681961340.0,0,0,0,1
15,2021****86,3.5,2023/04/20 07:43,百味佳副食一组,2023-04-20,07:43,0,8,6,0,1681947780.0,0,0,0,1
16,2021****86,10.0,2023/04/19 17:33,学苑食堂真牛铁板,2023-04-19,17:33,0,13,2,0,1681896780.0,0,0,0,1
17,2021****86,20.4,2023/04/19 11:16,紫丁香餐吧机器人收银组,2023-04-19,11:16,0,13,2,0,1681874160.0,0,0,0,1
18,2021****86,5.1,2023/04/19 07:32,百味佳副食一组,2023-04-19,07:32,0,13,2,0,1681860720.0,0,0,0,1
19,2021****86,12.0,2023/04/18 11:42,美食林川蜀源烤鱼,2023-04-18,11:42,0,11,3,0,1681789320.0,0,0,0,0
20,2021****86,1.65,2023/04/18 07:42,学苑食堂副食一组,2023-04-18,07:42,0,11,3,0,1681774920.0,0,0,0,0
21,2021****86,13.0,2023/04/17 17:49,阳光广式猪脚饭,2023-04-17,17:49,0,12,3,0,1681724940.0,1,0,0,1
22,2021****86,16.6,2023/04/17 11:57,紫丁香餐吧机器人收银组,2023-04-17,11:57,0,12,3,0,1681703820.0,1,0,0,1
23,2021****86,1.65,2023/04/17 07:45,学苑食堂副食一组,2023-04-17,07:45,0,12,3,0,1681688700.0,1,0,0,1
24,2021****86,12.0,2023/04/16 18:08,学苑食堂香恋香拌砂锅,2023-04-16,18:08,1,8,4,0,1681639680.0,-1,-1,-1,-1
25,2021****86,18.6,2023/04/16 11:54,紫丁香餐吧机器人收银组,2023-04-16,11:54,1,8,4,0,1681617240.0,-1,-1,-1,-1
26,2021****86,2.95,2023/04/16 09:08,百味佳副食一组,2023-04-16,09:08,1,8,4,0,1681607280.0,-1,-1,-1,-1
27,2021****86,10.0,2023/04/15 17:40,民族餐厅山西饸饹面,2023-04-15,17:40,1,9,5,0,1681551600.0,-1,-1,-1,-1
28,2021****86,5.0,2023/04/15 08:18,百味佳副食一组,2023-04-15,08:18,1,9,5,0,1681517880.0,-1,-1,-1,-1
29,2021****86,10.0,2023/04/14 17:30,学苑食堂重庆小面,2023-04-14,17:30,0,7,3,0,1681464600.0,0,0,0,0
30,2021****86,17.4,2023/04/14 11:52,紫丁香餐吧机器人收银组,2023-04-14,11:52,0,7,3,0,1681444320.0,0,0,0,0
31,2021****86,1.25,2023/04/14 07:45,学苑食堂副食一组,2023-04-14,07:45,0,7,3,0,1681429500.0,0,0,0,0
32,2021****86,14.6,2023/04/13 17:08,紫丁香餐吧机器人收银组,2023-04-13,17:08,0,7,3,0,1681376880.0,0,0,0,0
33,2021****86,11.0,2023/04/13 11:31,美食林阿咪酱骨扒肉,2023-04-13,11:31,0,7,3,0,1681356660.0,0,0,0,0
34,2021****86,5.1,2023/04/13 07:42,百味佳副食一组,2023-04-13,07:42,0,7,3,0,1681342920.0,0,0,0,0
35,2021****86,20.4,2023/04/12 17:36,紫丁香餐吧机器人收银组,2023-04-12,17:36,0,4,4,0,1681292160.0,0,0,0,0
36,2021****86,12.799999999999999,2023/04/12 11:44,百味佳副食一组,2023-04-12,11:44,0,4,4,0,1681271040.0,0,0,0,0
37,2021****86,17.4,2023/04/11 17:49,紫丁香餐吧机器人收银组,2023-04-11,17:49,0,2,6,0,1681206540.0,0,0,0,0
38,2021****86,13.0,2023/04/11 11:42,美食林川蜀源烤鱼,2023-04-11,11:42,0,2,6,0,1681184520.0,0,0,0,0
39,2021****86,1.83,2023/04/11 07:38,学苑食堂副食一组,2023-04-11,07:38,0,2,6,0,1681169880.0,0,0,0,0
40,2021****86,10.0,2023/04/10 18:06,学院食堂陕西名小吃,2023-04-10,18:06,0,14,5,1,1681121160.0,0,0,0,0
41,2021****86,12.0,2023/04/10 11:42,美食林阿咪酱骨扒肉,2023-04-10,11:42,0,14,5,1,1681098120.0,0,0,0,0
42,2021****86,3.5,2023/04/10 09:07,百味佳副食一组,2023-04-10,09:07,0,14,5,1,1681088820.0,0,0,0,0
