,学工号,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,平均风速,特殊天象,时间戳,Mealtime_N,Mealtime_A,Mealtime_E,Eight
0,2021****29,4.0,2023/04/25 17:28,学苑食堂主食三组（面条）,2023-04-25,17:28,0,3,1,0,1682414880.0,0,0,0,0
1,2021****29,32.0,2023/04/25 11:44,美食林肠粉,2023-04-25,11:44,0,3,1,0,1682394240.0,0,0,0,0
2,2021****29,19.4,2023/04/24 17:30,紫丁香餐吧副食一组（中西套餐）,2023-04-24,17:30,0,10,2,0,1682328600.0,0,0,0,0
3,2021****29,13.0,2023/04/24 11:53,学苑食堂香恋香拌砂锅,2023-04-24,11:53,0,10,2,0,1682308380.0,0,0,0,0
4,2021****29,6.0,2023/04/23 18:01,学苑食堂主食三组（面条）,2023-04-23,18:01,0,7,3,0,1682244060.0,0,0,0,0
5,2021****29,13.8,2023/04/23 11:55,阳光小是小简餐,2023-04-23,11:55,0,7,3,0,1682222100.0,0,0,0,0
6,2021****29,14.0,2023/04/21 18:15,学苑食堂副食一组,2023-04-21,18:15,0,7,4,0,1682072100.0,0,0,0,0
7,2021****29,27.02,2023/04/21 11:33,阳光副食二组,2023-04-21,11:33,0,7,4,0,1682047980.0,0,0,0,0
8,2021****29,7.25,2023/04/19 11:53,学苑食堂包子,2023-04-19,11:53,0,13,2,0,1681876380.0,0,0,0,0
9,2021****29,11.76,2023/04/18 17:16,阳光副食二组,2023-04-18,17:16,0,11,3,0,1681809360.0,0,0,0,0
10,2021****29,32.0,2023/04/18 11:45,美食林肠粉,2023-04-18,11:45,0,11,3,0,1681789500.0,0,0,0,0
11,2021****29,10.0,2023/04/17 17:12,学苑食堂重庆小面,2023-04-17,17:12,0,12,3,0,1681722720.0,0,0,0,0
12,2021****29,14.6,2023/04/17 11:57,紫丁香餐吧机器人收银组,2023-04-17,11:57,0,12,3,0,1681703820.0,0,0,0,0
13,2021****29,5.5,2023/04/17 09:52,美食林东农豆坊,2023-04-17,09:52,0,12,3,0,1681696320.0,0,0,0,0
14,2021****29,12.0,2023/04/16 12:42,民族餐厅金家店,2023-04-16,12:42,1,8,4,0,1681620120.0,-1,-1,-1,-1
15,2021****29,14.0,2023/04/15 12:20,美食林阿咪酱骨扒肉,2023-04-15,12:20,1,9,5,0,1681532400.0,-1,-1,-1,-1
16,2021****29,12.0,2023/04/14 18:12,美食林老上客砂锅,2023-04-14,18:12,0,7,3,0,1681467120.0,0,0,0,0
17,2021****29,5.8,2023/04/14 11:46,学苑食堂副食二组,2023-04-14,11:46,0,7,3,0,1681443960.0,0,0,0,0
18,2021****29,8.5,2023/04/14 11:40,学苑食堂包子,2023-04-14,11:40,0,7,3,0,1681443600.0,0,0,0,0
19,2021****29,17.0,2023/04/14 11:34,学苑食堂香恋香拌砂锅,2023-04-14,11:34,0,7,3,0,1681443240.0,0,0,0,0
20,2021****29,12.62,2023/04/12 17:24,阳光副食二组,2023-04-12,17:24,0,4,4,0,1681291440.0,0,0,0,0
21,2021****29,24.0,2023/04/12 11:48,美食林川蜀源烤鱼,2023-04-12,11:48,0,4,4,0,1681271280.0,0,0,0,0
22,2021****29,6.7,2023/04/12 07:55,学苑食堂副食二组,2023-04-12,07:55,0,4,4,0,1681257300.0,0,0,0,0
23,2021****29,20.0,2023/04/11 17:29,学院食堂陕西名小吃,2023-04-11,17:29,0,2,6,0,1681205340.0,0,0,0,0
24,2021****29,12.62,2023/04/11 11:48,阳光副食二组,2023-04-11,11:48,0,2,6,0,1681184880.0,0,0,0,0
25,2021****29,4.1,2023/04/11 07:53,学苑食堂副食二组,2023-04-11,07:53,0,2,6,0,1681170780.0,0,0,0,0
26,2021****29,16.4,2023/04/10 17:23,紫丁香餐吧机器人收银组,2023-04-10,17:23,0,14,5,1,1681118580.0,0,0,0,0
27,2021****29,26.0,2023/04/10 11:43,美食林阿咪酱骨扒肉,2023-04-10,11:43,0,14,5,1,1681098180.0,0,0,0,0
28,2021****29,13.8,2023/04/09 17:14,学苑食堂副食一组,2023-04-09,17:14,1,15,4,1,1681031640.0,-1,-1,-1,-1
29,2021****29,13.39,2023/04/09 11:57,阳光副食二组,2023-04-09,11:57,1,15,4,1,1681012620.0,-1,-1,-1,-1
30,2021****29,14.8,2023/04/08 11:47,阳光小是小简餐,2023-04-08,11:47,1,7,3,0,1680925620.0,-1,-1,-1,-1
31,2021****29,12.0,2023/04/07 18:00,美食林老上客砂锅,2023-04-07,18:00,0,0,2,0,1680861600.0,0,0,0,0
32,2021****29,13.0,2023/04/07 11:44,学苑食堂香恋香拌砂锅,2023-04-07,11:44,0,0,2,0,1680839040.0,0,0,0,0
33,2021****29,14.93,2023/04/06 11:45,阳光副食二组,2023-04-06,11:45,0,6,3,0,1680752700.0,0,0,0,0
34,2021****29,14.0,2023/04/05 10:47,美食林那小味面馆,2023-04-05,10:47,1,7,2,1,1680662820.0,-1,-1,-1,-1
35,2021****29,32.0,2023/04/04 17:25,美食林肠粉,2023-04-04,17:25,0,5,2,0,1680600300.0,0,0,0,0
36,2021****29,3.6,2023/04/04 08:02,学苑食堂副食二组,2023-04-04,08:02,0,5,2,0,1680566520.0,0,0,0,0
37,2021****29,14.21,2023/04/03 17:21,美食林小猪憨尼麻辣烫,2023-04-03,17:21,0,7,2,0,1680513660.0,0,0,0,0
38,2021****29,12.0,2023/04/02 11:21,民族餐厅金家店,2023-04-02,11:21,1,15,2,0,1680405660.0,-1,-1,-1,-1
39,2021****29,12.0,2023/04/01 12:40,学苑食堂包子,2023-04-01,12:40,1,16,3,0,1680324000.0,-1,-1,-1,-1
40,2021****29,17.4,2023/03/30 17:38,紫丁香餐吧机器人收银组,2023-03-30,17:38,0,9,4,1,1680169080.0,0,0,0,0
41,2021****29,14.0,2023/03/30 11:48,美食林阿咪酱骨扒肉,2023-03-30,11:48,0,9,4,1,1680148080.0,0,0,0,0
42,2021****29,1.0,2023/03/30 07:49,学苑食堂副食二组,2023-03-30,07:49,0,9,4,1,1680133740.0,0,0,0,0
43,2021****29,4.7,2023/03/30 07:48,学苑食堂副食一组,2023-03-30,07:48,0,9,4,1,1680133680.0,0,0,0,0
44,2021****29,13.92,2023/03/29 17:27,阳光副食二组,2023-03-29,17:27,0,13,5,0,1680082020.0,0,0,0,0
45,2021****29,26.0,2023/03/29 11:48,美食林美美卤肉饭,2023-03-29,11:48,0,13,5,0,1680061680.0,0,0,0,0
46,2021****29,12.29,2023/03/28 17:26,阳光副食二组,2023-03-28,17:26,0,6,3,0,1679995560.0,0,0,0,0
47,2021****29,18.0,2023/03/28 11:45,学苑食堂副食一组,2023-03-28,11:45,0,6,3,0,1679975100.0,0,0,0,0
48,2021****29,5.7,2023/03/28 07:40,学苑食堂副食二组,2023-03-28,07:40,0,6,3,0,1679960400.0,0,0,0,0
49,2021****29,26.0,2023/03/27 11:45,美食林阿咪酱骨扒肉,2023-03-27,11:45,0,7,3,0,1679888700.0,0,0,0,0
50,2021****29,12.0,2023/03/24 19:18,民族餐厅金家店,2023-03-24,19:18,0,-1,1,0,1679656680.0,0,0,0,0
51,2021****29,32.0,2023/03/23 17:34,阳光副食三组,2023-03-23,17:34,0,-2,3,0,1679564040.0,0,0,0,0
52,2021****29,26.0,2023/03/22 17:27,美食林阿咪酱骨扒肉,2023-03-22,17:27,0,4,6,1,1679477220.0,0,0,0,0
53,2021****29,28.0,2023/03/21 17:22,学院食堂陕西名小吃,2023-03-21,17:22,0,10,2,1,1679390520.0,0,0,0,0
54,2021****29,3.7,2023/03/21 07:49,学苑食堂副食三组,2023-03-21,07:49,0,10,2,1,1679356140.0,0,0,0,0
55,2021****29,12.8,2023/03/20 17:28,阳光小是小简餐,2023-03-20,17:28,0,10,4,0,1679304480.0,0,0,0,0
56,2021****29,5.0,2023/03/20 11:54,学苑食堂包子,2023-03-20,11:54,0,10,4,0,1679284440.0,0,0,0,0
57,2021****29,14.0,2023/03/19 18:25,美食林那小味面馆,2023-03-19,18:25,1,5,3,0,1679221500.0,-1,-1,-1,-1
58,2021****29,15.6,2023/03/19 11:56,紫丁香餐吧机器人收银组,2023-03-19,11:56,1,5,3,0,1679198160.0,-1,-1,-1,-1
59,2021****29,11.1,2023/03/17 17:11,美食林小猪憨尼麻辣烫,2023-03-17,17:11,0,0,4,0,1679044260.0,0,0,0,0
60,2021****29,6.0,2023/03/16 11:50,学苑食堂副食三组,2023-03-16,11:50,0,-4,3,0,1678938600.0,0,0,0,0
61,2021****29,10.0,2023/03/15 17:31,学苑食堂包子,2023-03-15,17:31,0,-4,4,0,1678872660.0,0,0,0,0
62,2021****29,19.4,2023/03/15 11:58,紫丁香餐吧机器人收银组,2023-03-15,11:58,0,-4,4,0,1678852680.0,0,0,0,0
63,2021****29,3.6,2023/03/15 07:56,学苑食堂副食三组,2023-03-15,07:56,0,-4,4,0,1678838160.0,0,0,0,0
64,2021****29,32.0,2023/03/14 17:20,美食林肠粉,2023-03-14,17:20,0,-2,3,1,1678785600.0,0,0,0,0
65,2021****29,6.7,2023/03/14 07:50,学苑食堂副食三组,2023-03-14,07:50,0,-2,3,1,1678751400.0,0,0,0,0
66,2021****29,32.0,2023/03/13 11:52,美食林肠粉,2023-03-13,11:52,0,-5,2,0,1678679520.0,0,0,0,0
67,2021****29,29.14,2023/03/12 15:22,淘乐水果捞店,2023-03-12,15:22,1,-5,2,0,1678605720.0,-1,-1,-1,-1
68,2021****29,14.0,2023/03/12 12:45,美食林阿咪酱骨扒肉,2023-03-12,12:45,1,-5,2,0,1678596300.0,-1,-1,-1,-1
69,2021****29,17.9,2023/03/11 12:25,紫丁香餐吧机器人收银组,2023-03-11,12:25,1,-1,3,0,1678508700.0,-1,-1,-1,-1
70,2021****29,9.72,2023/03/10 22:27,淘乐水果捞店,2023-03-10,22:27,0,11,7,0,1678458420.0,0,0,0,0
71,2021****29,10.5,2023/03/10 17:41,学苑食堂副食三组,2023-03-10,17:41,0,11,7,0,1678441260.0,0,0,0,0
72,2021****29,10.0,2023/03/10 11:22,学院食堂陕西名小吃,2023-03-10,11:22,0,11,7,0,1678418520.0,0,0,0,0
73,2021****29,13.0,2023/03/09 11:46,美食林阿咪酱骨扒肉,2023-03-09,11:46,0,2,1,0,1678333560.0,0,0,0,0
74,2021****29,9.82,2023/03/08 21:58,淘乐水果捞店,2023-03-08,21:58,0,-1,3,0,1678283880.0,0,0,0,0
75,2021****29,12.73,2023/03/08 17:27,美食林小猪憨尼麻辣烫,2023-03-08,17:27,0,-1,3,0,1678267620.0,0,0,0,0
76,2021****29,25.0,2023/03/07 17:24,学苑食堂副食三组,2023-03-07,17:24,0,1,6,0,1678181040.0,0,0,0,0
77,2021****29,12.0,2023/03/07 11:15,美食林老上客砂锅,2023-03-07,11:15,0,1,6,0,1678158900.0,0,0,0,0
78,2021****29,10.0,2023/03/05 12:13,学院食堂陕西名小吃,2023-03-05,12:13,1,8,6,0,1677989580.0,-1,-1,-1,-1
79,2021****29,5.1,2023/03/04 17:55,学苑食堂副食三组,2023-03-04,17:55,1,2,3,0,1677923700.0,-1,-1,-1,-1
80,2021****29,10.0,2023/03/04 17:26,学院食堂陕西名小吃,2023-03-04,17:26,1,2,3,0,1677921960.0,-1,-1,-1,-1
81,2021****29,31.0,2023/03/04 14:56,美食林东农豆坊,2023-03-04,14:56,1,2,3,0,1677912960.0,-1,-1,-1,-1
82,2021****29,11.0,2023/03/04 11:43,美食林榆林镇筋饼,2023-03-04,11:43,1,2,3,0,1677901380.0,-1,-1,-1,-1
83,2021****29,16.0,2023/03/03 11:37,美食林肠粉,2023-03-03,11:37,0,-2,2,0,1677814620.0,0,0,0,0
84,2021****29,12.0,2023/03/02 11:51,民族餐厅金家店,2023-03-02,11:51,0,-1,4,0,1677729060.0,0,0,0,0
85,2021****29,5.0,2023/03/02 09:22,学苑食堂包子,2023-03-02,09:22,0,-1,4,0,1677720120.0,0,0,0,0
86,2021****29,13.0,2023/03/01 17:04,美食林蜀香麻辣烫(川香麻辣烫),2023-03-01,17:04,0,-7,5,0,1677661440.0,0,0,0,0
87,2021****29,4.2,2023/03/01 07:42,学苑食堂副食三组,2023-03-01,07:42,0,-7,5,0,1677627720.0,0,0,0,0
88,2021****29,26.0,2023/02/28 17:26,美食林阿咪酱骨扒肉,2023-02-28,17:26,0,-2,2,0,1677576360.0,0,0,0,0
89,2021****29,31.7,2023/02/28 11:51,学苑食堂副食三组,2023-02-28,11:51,0,-2,2,0,1677556260.0,0,0,0,0
90,2021****29,6.18,2023/02/27 21:33,淘乐水果捞店,2023-02-27,21:33,0,6,6,1,1677504780.0,0,0,0,0
