,学工号,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,平均风速,特殊天象,时间戳,Mealtime_N,Mealtime_A,Mealtime_E,Eight
0,2021****56,1.0,2023/04/25 17:58,民族餐厅真味主题烧烤吧,2023-04-25,17:58,0,3,1,0,1682416680.0,0,0,0,0
1,2021****56,32.0,2023/04/25 17:24,民族餐厅德澳士,2023-04-25,17:24,0,3,1,0,1682414640.0,0,0,0,0
2,2021****56,8.0,2023/04/25 11:45,美食林榆林镇筋饼,2023-04-25,11:45,0,3,1,0,1682394300.0,0,0,0,0
3,2021****56,13.8,2023/04/24 11:54,美食林同乐妈妈菜,2023-04-24,11:54,0,10,2,0,1682308440.0,0,0,0,0
4,2021****56,18.0,2023/04/23 17:19,美食林那小味面馆,2023-04-23,17:19,0,7,3,0,1682241540.0,0,0,0,0
5,2021****56,16.0,2023/04/23 12:04,美食林肠粉,2023-04-23,12:04,0,7,3,0,1682222640.0,0,0,0,0
6,2021****56,0.2,2023/04/22 12:06,紫丁香餐吧副食一组（中西套餐）,2023-04-22,12:06,1,7,3,0,1682136360.0,-1,-1,-1,-1
7,2021****56,16.0,2023/04/21 16:52,美食林肠粉,2023-04-21,16:52,0,7,4,0,1682067120.0,0,0,0,0
8,2021****56,15.0,2023/04/21 11:49,民族餐厅金家店,2023-04-21,11:49,0,7,4,0,1682048940.0,0,0,0,0
9,2021****56,11.71,2023/04/20 17:20,阳光副食二组,2023-04-20,17:20,0,8,6,0,1681982400.0,0,0,0,1
10,2021****56,0.2,2023/04/20 11:41,紫丁香餐吧副食一组（中西套餐）,2023-04-20,11:41,0,8,6,0,1681962060.0,0,0,0,1
11,2021****56,12.6,2023/04/20 11:33,紫丁香餐吧机器人收银组,2023-04-20,11:33,0,8,6,0,1681961580.0,0,0,0,1
12,2021****56,8.0,2023/04/19 17:29,友来副食一组,2023-04-19,17:29,0,13,2,0,1681896540.0,0,0,0,0
13,2021****56,25.0,2023/04/19 11:50,民族餐厅金家店,2023-04-19,11:50,0,13,2,0,1681876200.0,0,0,0,0
14,2021****56,29.0,2023/04/18 11:50,百味佳副食一组,2023-04-18,11:50,0,11,3,0,1681789800.0,0,0,0,1
15,2021****56,9.6,2023/04/17 17:42,一区饺子园凉菜组,2023-04-17,17:42,0,12,3,0,1681724520.0,0,0,0,0
16,2021****56,13.0,2023/04/17 12:01,美食林酸辣粉烤肉拌饭,2023-04-17,12:01,0,12,3,0,1681704060.0,0,0,0,0
17,2021****56,12.05,2023/04/15 16:56,阳光副食二组,2023-04-15,16:56,1,9,5,0,1681548960.0,-1,-1,-1,-1
18,2021****56,8.0,2023/04/15 12:20,美食林肠粉,2023-04-15,12:20,1,9,5,0,1681532400.0,-1,-1,-1,-1
19,2021****56,19.3,2023/04/14 17:26,回味斋一餐厅副食一组,2023-04-14,17:26,0,7,3,0,1681464360.0,0,0,0,0
20,2021****56,12.0,2023/04/14 11:52,美食林榆林镇筋饼,2023-04-14,11:52,0,7,3,0,1681444320.0,0,0,0,0
21,2021****56,3.6,2023/04/14 07:26,百味佳副食一组,2023-04-14,07:26,0,7,3,0,1681428360.0,0,0,0,0
