气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,重要天象,时间,date
19,746,758.2,37,4,,,16:00,2023/5/1
19,746,758.2,35,7,,,15:00,2023/5/1
19,746.8,759,40,5,,,14:00,2023/5/1
17,746.7,759,45,5,,,13:00,2023/5/1
17,746.7,759,42,5,,,12:00,2023/5/1
17,746.7,759,45,4,,,11:00,2023/5/1
15,746.6,759,51,5,,,10:00,2023/5/1
14,746.6,759,63,4,,,9:00,2023/5/1
11,746.4,759,72,4,,,8:00,2023/5/1
8,745.5,758.2,82,4,,,7:00,2023/5/1
6,744.9,757.7,87,4,,,6:00,2023/5/1
4,744.8,757.7,93,4,,,5:00,2023/5/1
4,744,756.9,93,4,,,4:00,2023/5/1
5,743.4,756.2,87,4,,,3:00,2023/5/1
5,743.4,756.2,93,5,,,2:00,2023/5/1
6,743.4,756.2,87,5,,,1:00,2023/5/1
6,742.7,755.4,87,4,,,0:00,2023/5/1
6,742.7,755.4,87,5,,,23:00,2023/4/30
6,741.9,754.6,87,5,,,22:00,2023/4/30
7,741.9,754.6,87,4,,,21:00,2023/4/30
7,741.9,754.6,87,4,,,20:00,2023/4/30
8,741.3,753.9,87,3,,,19:00,2023/4/30
8,741.3,753.9,87,4,,,18:00,2023/4/30
9,740.5,753.1,82,5,,,17:00,2023/4/30
8,740.5,753.1,87,6,,,16:00,2023/4/30
8,740.5,753.1,87,5,轻度（小）（弱） 雨,,15:00,2023/4/30
7,739.7,752.3,93,6,轻度（小）（弱） 雨,,14:00,2023/4/30
7,739.7,752.3,87,6,轻度（小）（弱） 雨,,13:00,2023/4/30
6,739.6,752.3,100,3,轻度（小）（弱） 雨,,12:00,2023/4/30
6,739.6,752.3,93,5,轻度（小）（弱） 雨,,11:00,2023/4/30
6,739.6,752.3,93,3,轻度（小）（弱） 雨,,10:00,2023/4/30
6,738.9,751.6,93,4,轻度（小）（弱） 雨,,9:00,2023/4/30
7,739,751.6,93,5,轻度（小）（弱） 雨,,8:00,2023/4/30
7,738.2,750.8,93,5,,,7:00,2023/4/30
6,738.1,750.8,93,4,,,6:00,2023/4/30
6,737.4,750.1,93,4,,,5:00,2023/4/30
6,737.4,750.1,93,4,,,4:00,2023/4/30
6,737.4,750.1,100,4,轻度（小）（弱） 雨,,3:00,2023/4/30
6,737.4,750.1,100,4,轻度（小）（弱） 雨,,2:00,2023/4/30
7,737.5,750.1,100,3,轻度（小）（弱） 雨,,1:00,2023/4/30
7,738.2,750.8,100,4,轻度（小）（弱） 雨,,0:00,2023/4/30
7,738.2,750.8,100,4,轻度（小）（弱） 雨,,23:00,2023/4/29
8,738.2,750.8,100,5,轻度（小）（弱） 雨,,22:00,2023/4/29
8,738.2,750.8,93,4,轻度（小）（弱） 雨,,21:00,2023/4/29
8,739,751.6,93,2,轻度（小）（弱） 雨,,20:00,2023/4/29
8,738.2,750.8,93,5,轻度（小）（弱） 雨,,19:00,2023/4/29
10,738.3,750.8,76,6,轻度（小）（弱） 雨,,18:00,2023/4/29
11,737.7,750.1,72,7,,,17:00,2023/4/29
12,737.7,750.1,67,7,,,16:00,2023/4/29
12,738.4,750.8,72,7,,,15:00,2023/4/29
12,739.2,751.6,72,6,,,14:00,2023/4/29
12,739.2,751.6,77,7,,,13:00,2023/4/29
12,740.7,753.1,77,5,,,12:00,2023/4/29
12,741.5,753.9,77,4,,,11:00,2023/4/29
11,742.1,754.6,82,4,轻雾,,10:00,2023/4/29
9,742,754.6,94,2,轻雾,,9:00,2023/4/29
8,742.7,755.4,93,1,轻雾,,8:00,2023/4/29
7,742.7,755.4,93,1,轻雾,,7:00,2023/4/29
6,743.4,756.2,100,3,轻雾,,6:00,2023/4/29
6,743.4,756.2,100,2,轻雾,,5:00,2023/4/29
6,743.4,756.2,100,2,轻雾,,4:00,2023/4/29
6,743.4,756.2,100,3,轻雾,,3:00,2023/4/29
7,744.2,756.9,93,3,轻雾,,2:00,2023/4/29
7,745,757.7,100,4,,,1:00,2023/4/29
8,745,757.7,93,3,,,0:00,2023/4/29
9,745.1,757.7,94,4,,,23:00,2023/4/28
9,745.1,757.7,94,3,"轻度（小）（弱） 阵性, 雨",,22:00,2023/4/28
9,745.5,758.2,94,3,,,21:00,2023/4/28
10,745.1,757.7,94,3,"轻度（小）（弱） 阵性, 雨",,20:00,2023/4/28
11,745.1,757.7,82,4,,,19:00,2023/4/28
11,744.4,756.9,82,5,,,18:00,2023/4/28
12,743.7,756.2,77,6,,,17:00,2023/4/28
11,743.7,756.2,82,8,,,16:00,2023/4/28
12,744.4,756.9,82,7,,,15:00,2023/4/28
12,744.4,756.9,88,5,,,14:00,2023/4/28
11,745.1,757.7,94,4,轻雾,,13:00,2023/4/28
11,745.1,757.7,94,4,轻雾,,12:00,2023/4/28
11,745.6,758.2,94,4,轻雾,,11:00,2023/4/28
11,745.6,758.2,94,3,轻雾,,10:00,2023/4/28
11,745.6,758.2,88,2,轻雾,,9:00,2023/4/28
11,745.6,758.2,88,4,轻雾,,8:00,2023/4/28
10,745.6,758.2,94,3,轻雾,,7:00,2023/4/28
10,745.6,758.2,88,3,轻雾,,6:00,2023/4/28
8,745.5,758.2,93,3,轻雾,,5:00,2023/4/28
9,745.1,757.7,87,3,轻雾,,4:00,2023/4/28
9,745.1,757.7,87,2,,,3:00,2023/4/28
10,745.1,757.7,88,2,,,2:00,2023/4/28
10,744.3,756.9,88,3,,,1:00,2023/4/28
10,745.1,757.7,82,4,,雷暴,0:00,2023/4/28
11,745.6,758.2,77,6,"轻度（小）（弱） 阵性, 雨",,23:00,2023/4/27
11,745.1,757.7,72,5,,,22:00,2023/4/27
11,744.4,756.9,72,5,,,21:00,2023/4/27
12,744.4,756.9,72,5,,,20:00,2023/4/27
14,743.8,756.2,72,6,"轻度（小）（弱） 阵性, 雨",,19:00,2023/4/27
16,743.1,755.4,59,8,,,18:00,2023/4/27
17,742.4,754.6,52,9,,,17:00,2023/4/27
18,742.4,754.6,43,10,,,16:00,2023/4/27
19,742.4,754.6,40,8,,,15:00,2023/4/27
20,742.5,754.6,35,9,,,14:00,2023/4/27
20,742.5,754.6,33,8,,,13:00,2023/4/27
19,743.2,755.4,32,8,,,12:00,2023/4/27
18,743.2,755.4,34,8,,,11:00,2023/4/27
16,743.1,755.4,36,10,,,10:00,2023/4/27
15,743.1,755.4,39,11,,,9:00,2023/4/27
12,742.9,755.4,44,10,,,8:00,2023/4/27
9,742.8,755.4,54,9,,,7:00,2023/4/27
6,742.7,755.4,66,5,,,6:00,2023/4/27
5,742.6,755.4,66,5,,,5:00,2023/4/27
5,742.6,755.4,66,5,,,4:00,2023/4/27
5,743.4,756.2,66,5,,,3:00,2023/4/27
