∆¯Œ¬,∆¯œÛ’æ¥Û∆¯—π,∫£∆Ω√Ê¥Û∆¯—π,œ‡∂‘ ™∂»,∆Ωæ˘∑ÁÀŸ,Ãÿ ‚ÃÏœÛ,÷ÿ“™ÃÏœÛ, ±º‰,date
17,746.7,759,42,5,,,12:00,2023/5/1
6,739.6,752.3,100,3,«·∂»£®–°£©£®»ı£© ”Í,,12:00,2023/4/30
12,740.7,753.1,77,5,,,12:00,2023/4/29
11,745.1,757.7,94,4,«·ŒÌ,,12:00,2023/4/28
19,743.2,755.4,32,8,,,12:00,2023/4/27
12,745.7,758.2,33,7,,,12:00,2023/4/26
7,742.7,755.4,66,10,,,12:00,2023/4/25
14,754,766.6,14,7,,,12:00,2023/4/24
10,758.3,771.1,19,8,,,12:00,2023/4/23
11,755.4,768.1,17,7,,,12:00,2023/4/22
10,750.1,762.8,22,9,,,12:00,2023/4/21
11,741.4,753.9,12,13,…≥,,12:00,2023/4/20
15,739.3,751.6,31,5,,,12:00,2023/4/19
11,740.6,753.1,44,8,,,12:00,2023/4/18
16,745.4,757.7,39,4,,,12:00,2023/4/17
13,739.9,752.3,44,4,,,12:00,2023/4/16
13,741.5,753.9,33,5,,,12:00,2023/4/15
12,748.6,761.2,30,2,,,12:00,2023/4/14
11,745.1,757.7,30,5,,,12:00,2023/4/13
8,740.5,753.1,32,8,,,12:00,2023/4/12
9,732.3,744.7,34,6,,,12:00,2023/4/11
17,733.4,745.5,52,13,…≥,,12:00,2023/4/10
19,738,750.1,26,10,,,12:00,2023/4/9
9,746.3,759,29,7,,,12:00,2023/4/8
3,743.3,756.2,30,9,,,12:00,2023/4/7
11,742.1,754.6,22,2,,,12:00,2023/4/6
10,750.1,762.8,24,1,,,12:00,2023/4/5
7,757.5,770.4,19,2,,,12:00,2023/4/4
15,751.8,764.3,59,7,,,12:00,2023/4/3
22,749.8,762,23,9,,,12:00,2023/4/2
22,746.1,758.2,27,9,—Ã,,12:00,2023/4/1
20,748.3,760.5,28,5,—Ã,,12:00,2023/3/31
15,747.3,759.7,23,6,,,12:00,2023/3/30
18,744.7,756.9,28,9,,,12:00,2023/3/29
12,751.7,764.3,21,2,,,12:00,2023/3/28
10,749.3,762,19,4,,,12:00,2023/3/27
5,750.6,763.5,31,3,,,12:00,2023/3/26
3,752.7,765.8,38,5,,,12:00,2023/3/25
1,754.9,768.1,41,4,,,12:00,2023/3/24
0,747.4,760.5,32,8,,,12:00,2023/3/23
