,学工号,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,平均风速,特殊天象
0,2021****86,11.84,2023/04/25 17:35,美食林小猪憨尼麻辣烫,2023-04-25,17:35,0,3,1,
1,2021****86,13.0,2023/04/25 11:46,美食林川蜀源烤鱼,2023-04-25,11:46,0,3,1,
2,2021****86,2.65,2023/04/25 07:49,学苑食堂副食一组,2023-04-25,07:49,0,3,1,
3,2021****86,36.8,2023/04/24 17:57,紫丁香餐吧机器人收银组,2023-04-24,17:57,0,10,2,
4,2021****86,2.25,2023/04/24 07:43,学苑食堂副食一组,2023-04-24,07:43,0,10,2,
5,2021****86,16.7,2023/04/23 17:36,回味斋一餐厅副食一组,2023-04-23,17:36,0,7,3,
6,2021****86,20.4,2023/04/23 11:42,紫丁香餐吧机器人收银组,2023-04-23,11:42,0,7,3,
7,2021****86,5.1,2023/04/23 08:59,百味佳副食一组,2023-04-23,08:59,0,7,3,
8,2021****86,32.0,2023/04/22 17:40,紫丁香餐吧机器人收银组,2023-04-22,17:40,1,7,3,
9,2021****86,2.1,2023/04/22 09:13,百味佳副食一组,2023-04-22,09:13,1,7,3,
10,2021****86,10.0,2023/04/21 17:33,学苑食堂真牛铁板,2023-04-21,17:33,0,7,4,
11,2021****86,17.4,2023/04/21 11:51,紫丁香餐吧机器人收银组,2023-04-21,11:51,0,7,4,
12,2021****86,2.6,2023/04/21 07:45,学苑食堂副食一组,2023-04-21,07:45,0,7,4,
13,2021****86,22.4,2023/04/20 18:03,紫丁香餐吧机器人收银组,2023-04-20,18:03,0,8,6,
14,2021****86,13.0,2023/04/20 11:29,美食林蜀香麻辣烫(川香麻辣烫),2023-04-20,11:29,0,8,6,
15,2021****86,3.5,2023/04/20 07:43,百味佳副食一组,2023-04-20,07:43,0,8,6,
16,2021****86,10.0,2023/04/19 17:33,学苑食堂真牛铁板,2023-04-19,17:33,0,13,2,
17,2021****86,20.4,2023/04/19 11:16,紫丁香餐吧机器人收银组,2023-04-19,11:16,0,13,2,
18,2021****86,5.1,2023/04/19 07:32,百味佳副食一组,2023-04-19,07:32,0,13,2,
19,2021****86,12.0,2023/04/18 11:42,美食林川蜀源烤鱼,2023-04-18,11:42,0,11,3,
20,2021****86,1.65,2023/04/18 07:42,学苑食堂副食一组,2023-04-18,07:42,0,11,3,
21,2021****86,13.0,2023/04/17 17:49,阳光广式猪脚饭,2023-04-17,17:49,0,12,3,
22,2021****86,16.6,2023/04/17 11:57,紫丁香餐吧机器人收银组,2023-04-17,11:57,0,12,3,
23,2021****86,1.65,2023/04/17 07:45,学苑食堂副食一组,2023-04-17,07:45,0,12,3,
24,2021****86,12.0,2023/04/16 18:08,学苑食堂香恋香拌砂锅,2023-04-16,18:08,1,8,4,
25,2021****86,18.6,2023/04/16 11:54,紫丁香餐吧机器人收银组,2023-04-16,11:54,1,8,4,
26,2021****86,2.95,2023/04/16 09:08,百味佳副食一组,2023-04-16,09:08,1,8,4,
