当地时间 哈尔滨太平(机场）,气温,气象站大气压,海平面大气压,相对湿度,风向,平均风速,最大阵风,特殊天象,重要天象,总云量,能见度,露点温度,时间,日期
01.05.2023 16:00,19,746,758.2,37,从西南方吹来的风,4,9,,,无明显的云,10.0 大于等于,4,16:00,01.05.2023
01.05.2023 15:00,19,746,758.2,35,从西南偏西方向吹来的风,7,,,,无明显的云,10.0 大于等于,3,15:00,01.05.2023
01.05.2023 14:00,19,746.8,759,40,从西南方吹来的风,5,,,,无明显的云,10.0 大于等于,5,14:00,01.05.2023
01.05.2023 13:00,17,746.7,759,45,从西方吹来的风,5,,,,无明显的云,10.0 大于等于,5,13:00,01.05.2023
01.05.2023 12:00,17,746.7,759,42,从西方吹来的风,5,,,,无明显的云,10.0 大于等于,4,12:00,01.05.2023
01.05.2023 11:00,17,746.7,759,45,从西方吹来的风,4,,,,无明显的云,10.0 大于等于,5,11:00,01.05.2023
01.05.2023 10:00,15,746.6,759,51,从西北偏西方向吹来的风,5,,,,无明显的云,10.0 大于等于,5,10:00,01.05.2023
01.05.2023 09:00,14,746.6,759,63,从西南偏西方向吹来的风,4,,,,无明显的云,10.0 大于等于,7,9:00,01.05.2023
01.05.2023 08:00,11,746.4,759,72,从西方吹来的风,4,,,,无明显的云,10.0 大于等于,6,8:00,01.05.2023
01.05.2023 07:00,8,745.5,758.2,82,从西方吹来的风,4,,,,无明显的云,10.0 大于等于,5,7:00,01.05.2023
01.05.2023 06:00,6,744.9,757.7,87,从西方吹来的风,4,,,,无明显的云,10.0 大于等于,4,6:00,01.05.2023
01.05.2023 05:00,4,744.8,757.7,93,从西南偏西方向吹来的风,4,,,,无明显的云,10.0 大于等于,3,5:00,01.05.2023
01.05.2023 04:00,4,744,756.9,93,从西方吹来的风,4,,,,无明显的云,10.0 大于等于,3,4:00,01.05.2023
01.05.2023 03:00,5,743.4,756.2,87,从西南偏西方向吹来的风,4,,,,无明显的云,10.0 大于等于,3,3:00,01.05.2023
01.05.2023 02:00,5,743.4,756.2,93,从西方吹来的风,5,,,,无明显的云,10.0 大于等于,4,2:00,01.05.2023
01.05.2023 01:00,6,743.4,756.2,87,从西南偏西方向吹来的风,5,,,,无明显的云,10.0 大于等于,4,1:00,01.05.2023
01.05.2023 00:00,6,742.7,755.4,87,从西南偏西方向吹来的风,4,,,,无明显的云,10.0 大于等于,4,0:00,01.05.2023
30.04.2023 23:00,6,742.7,755.4,87,从西南偏西方向吹来的风,5,,,,无明显的云,10.0 大于等于,4,23:00,30.04.2023
30.04.2023 22:00,6,741.9,754.6,87,从西南偏西方向吹来的风,5,,,,无明显的云,10.0 大于等于,4,22:00,30.04.2023
30.04.2023 21:00,7,741.9,754.6,87,从西方吹来的风,4,,,,无明显的云,10.0 大于等于,5,21:00,30.04.2023
30.04.2023 20:00,7,741.9,754.6,87,从西方吹来的风,4,,,,无明显的云,10.0 大于等于,5,20:00,30.04.2023
30.04.2023 19:00,8,741.3,753.9,87,从西方吹来的风,3,,,,无明显的云,10.0 大于等于,6,19:00,30.04.2023
30.04.2023 18:00,8,741.3,753.9,87,从西北偏西方向吹来的风,4,,,,无明显的云,10.0 大于等于,6,18:00,30.04.2023
