Summary,Start Time,End Time,Date
策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/10/01
概率论与数理统计B,10:00:00,11:45:00,2022/08/26
策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/09/17
数据结构与算法(实验),15:45:00,17:25:00,2022/10/11
项目管理的哲学,18:30:00,20:15:00,2022/09/19
学术英语综合(提高),10:00:00,11:45:00,2022/11/22
项目管理的哲学,18:30:00,20:15:00,2022/08/22
数理逻辑与近世代数,13:45:00,15:15:00,2022/11/14
毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:15:00,2022/09/23
数理逻辑与近世代数,08:00:00,09:45:00,2022/10/28
数理逻辑与近世代数,13:45:00,15:15:00,2022/11/28
策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/09/24
策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/09/10
毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:15:00,2022/09/02
数理逻辑与近世代数,13:45:00,15:15:00,2022/11/21
项目管理的哲学,18:30:00,20:15:00,2022/10/03
数理逻辑与近世代数,08:00:00,09:45:00,2022/11/29
数理逻辑与近世代数,08:00:00,09:45:00,2022/12/06
数理逻辑与近世代数,08:00:00,09:45:00,2022/10/25
毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:15:00,2022/09/30
数据结构与算法(实验),15:45:00,17:25:00,2022/10/25
需求分析与系统设计,13:45:00,15:15:00,2022/10/18
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:25:00,2022/08/31
数据结构与算法,08:00:00,09:45:00,2022/09/05
需求分析与系统设计,15:45:00,17:25:00,2022/11/17
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:25:00,2022/09/14
需求分析与系统设计,15:45:00,17:25:00,2022/11/03
数理逻辑与近世代数,08:00:00,09:45:00,2022/11/15
毛泽东思想和中国特色社会主义理论体系概论(实验),18:30:00,20:15:00,2022/10/21
学术英语综合(提高),10:00:00,11:45:00,2022/11/15
数理逻辑与近世代数,08:00:00,09:45:00,2022/11/25
项目管理的哲学,18:30:00,20:15:00,2022/09/05
大学物理实验B,13:45:00,17:25:00,2022/08/30
策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/10/15
学术英语综合(提高),10:00:00,11:45:00,2022/08/23
数理逻辑与近世代数,08:00:00,09:45:00,2022/11/22
项目管理的哲学,18:30:00,20:15:00,2022/09/12
数理逻辑与近世代数,08:00:00,09:45:00,2022/12/02
项目管理的哲学,18:30:00,20:15:00,2022/08/29
数理逻辑与近世代数,13:45:00,15:15:00,2022/10/24
策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/10/22
需求分析与系统设计(实验),10:00:00,11:45:00,2022/11/23
毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:15:00,2022/10/07
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:25:00,2022/08/24
概率论与数理统计B,15:45:00,17:25:00,2022/08/22
软件工程专业导论,08:00:00,09:45:00,2022/10/20
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:25:00,2022/10/05
共和国重大外交事件评述,18:30:00,20:15:00,2022/08/30
毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:15:00,2022/08/26
项目管理的哲学,18:30:00,20:15:00,2022/09/26
策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/10/08
需求分析与系统设计,15:45:00,17:25:00,2022/10/20
数理逻辑与近世代数,08:00:00,09:45:00,2022/12/16
数据结构与算法(实验),15:45:00,17:25:00,2022/11/08
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:25:00,2022/09/28
数理逻辑与近世代数,08:00:00,09:45:00,2022/12/09
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:25:00,2022/09/07
共和国重大外交事件评述,18:30:00,20:15:00,2022/08/31
数理逻辑与近世代数,08:00:00,09:45:00,2022/12/13
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:25:00,2022/09/21
数据结构与算法,08:00:00,09:45:00,2022/09/07
策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/09/03
项目管理的哲学,18:30:00,20:15:00,2022/10/10
数理逻辑与近世代数,13:45:00,15:15:00,2022/12/05
数理逻辑与近世代数,13:45:00,15:15:00,2022/12/12
数理逻辑与近世代数,08:00:00,09:45:00,2022/11/18
毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:15:00,2022/09/16
需求分析与系统设计,15:45:00,17:25:00,2022/12/01
毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:15:00,2022/09/09
