Summary,Start Time,End Time,Date
算法设计与分析,13:45:00,15:15:00,2023/02/21
软件构造,08:00:00,09:45:00,2023/02/20
软件与社会,18:30:00,22:10:00,2023/05/29
马克思主义基本原理,13:45:00,15:15:00,2023/03/15
软件与社会,18:30:00,22:10:00,2023/06/05
软件与社会,18:30:00,22:10:00,2023/05/15
翻译实践(提高),10:00:00,11:45:00,2023/02/21
软件过程与项目管理,13:45:00,15:15:00,2023/04/18
移动互联网应用开发实践,08:00:00,11:45:00,2023/04/08
移动互联网应用开发实践,08:00:00,11:45:00,2023/04/01
Web开发技术(实验),15:45:00,17:25:00,2023/03/09
算法设计与分析,08:00:00,09:45:00,2023/02/23
形式语言与自动机,10:00:00,11:45:00,2023/02/20
形式语言与自动机,10:00:00,11:45:00,2023/02/23
计算机组成原理(实验),08:00:00,11:45:00,2023/06/02
管理沟通,18:30:00,22:10:00,2023/04/03
管理沟通,18:30:00,22:10:00,2023/03/06
移动互联网应用开发实践,08:00:00,11:45:00,2023/03/25
体育,13:45:00,15:15:00,2023/03/09
软件过程与项目管理,10:00:00,11:45:00,2023/05/25
形势与政策（2）,15:45:00,17:25:00,2023/04/21
移动互联网应用开发实践,08:00:00,11:45:00,2023/04/22
管理沟通,18:30:00,22:10:00,2023/02/27
计算机组成原理,15:45:00,17:25:00,2023/04/05
软件过程与项目管理,10:00:00,11:45:00,2023/04/27
软件与社会,18:30:00,22:10:00,2023/05/01
软件构造,08:00:00,09:45:00,2023/02/22
管理沟通,18:30:00,22:10:00,2023/03/13
移动互联网应用开发实践,08:00:00,11:45:00,2023/04/29
管理沟通,18:30:00,22:10:00,2023/03/20
移动互联网应用开发实践,08:00:00,11:45:00,2023/04/15
马克思主义基本原理,13:45:00,15:15:00,2023/03/13
身边的营养学,18:30:00,22:10:00,2023/03/14
马克思主义基本原理(实验),18:30:00,20:15:00,2023/03/29
软件过程与项目管理(实验),10:00:00,11:45:00,2023/05/28
移动互联网应用开发实践,08:00:00,11:45:00,2023/03/11
身边的营养学,18:30:00,22:10:00,2023/03/23
身边的营养学,18:30:00,22:10:00,2023/03/16
计算机组成原理,08:00:00,09:45:00,2023/04/04
软件过程与项目管理,10:00:00,11:45:00,2023/06/08
计算机组成原理,10:00:00,11:45:00,2023/04/07
软件构造(实验),15:45:00,17:25:00,2023/03/07
软件与社会,18:30:00,22:10:00,2023/05/08
Web开发技术,15:45:00,17:25:00,2023/02/20
身边的营养学,18:30:00,22:10:00,2023/03/21
Web开发技术,10:00:00,11:45:00,2023/02/22
形势与政策（2）,10:00:00,11:45:00,2023/04/17
移动互联网应用开发实践,08:00:00,11:45:00,2023/03/18
软件与社会,18:30:00,22:10:00,2023/05/22
体育理论,13:45:00,15:15:00,2023/02/23
软件过程与项目管理,10:00:00,11:45:00,2023/05/11
管理沟通,18:30:00,22:10:00,2023/03/27
