,Summary,Start Time,End Time,Date
0,策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/10/01
1,概率论与数理统计B,10:00:00,11:45:00,2022/08/26
2,策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/09/17
3,数据结构与算法(实验),15:45:00,17:25:00,2022/10/11
4,项目管理的哲学,18:30:00,20:15:00,2022/09/19
5,学术英语综合(提高),10:00:00,11:45:00,2022/11/22
6,项目管理的哲学,18:30:00,20:15:00,2022/08/22
7,数理逻辑与近世代数,13:45:00,15:15:00,2022/11/14
8,毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:15:00,2022/09/23
9,数理逻辑与近世代数,08:00:00,09:45:00,2022/10/28
10,数理逻辑与近世代数,13:45:00,15:15:00,2022/11/28
11,策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/09/24
12,策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/09/10
13,毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:15:00,2022/09/02
14,数理逻辑与近世代数,13:45:00,15:15:00,2022/11/21
15,项目管理的哲学,18:30:00,20:15:00,2022/10/03
16,数理逻辑与近世代数,08:00:00,09:45:00,2022/11/29
17,数理逻辑与近世代数,08:00:00,09:45:00,2022/12/06
18,数理逻辑与近世代数,08:00:00,09:45:00,2022/10/25
19,毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:15:00,2022/09/30
20,数据结构与算法(实验),15:45:00,17:25:00,2022/10/25
21,需求分析与系统设计,13:45:00,15:15:00,2022/10/18
22,毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:25:00,2022/08/31
23,数据结构与算法,08:00:00,09:45:00,2022/09/05
24,需求分析与系统设计,15:45:00,17:25:00,2022/11/17
25,毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:25:00,2022/09/14
26,需求分析与系统设计,15:45:00,17:25:00,2022/11/03
27,数理逻辑与近世代数,08:00:00,09:45:00,2022/11/15
28,毛泽东思想和中国特色社会主义理论体系概论(实验),18:30:00,20:15:00,2022/10/21
29,学术英语综合(提高),10:00:00,11:45:00,2022/11/15
30,数理逻辑与近世代数,08:00:00,09:45:00,2022/11/25
31,项目管理的哲学,18:30:00,20:15:00,2022/09/05
32,大学物理实验B,13:45:00,17:25:00,2022/08/30
33,策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/10/15
34,学术英语综合(提高),10:00:00,11:45:00,2022/08/23
35,数理逻辑与近世代数,08:00:00,09:45:00,2022/11/22
36,项目管理的哲学,18:30:00,20:15:00,2022/09/12
37,数理逻辑与近世代数,08:00:00,09:45:00,2022/12/02
38,项目管理的哲学,18:30:00,20:15:00,2022/08/29
39,数理逻辑与近世代数,13:45:00,15:15:00,2022/10/24
40,策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/10/22
41,需求分析与系统设计(实验),10:00:00,11:45:00,2022/11/23
42,毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:15:00,2022/10/07
43,毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:25:00,2022/08/24
44,概率论与数理统计B,15:45:00,17:25:00,2022/08/22
45,软件工程专业导论,08:00:00,09:45:00,2022/10/20
46,毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:25:00,2022/10/05
47,共和国重大外交事件评述,18:30:00,20:15:00,2022/08/30
48,毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:15:00,2022/08/26
49,项目管理的哲学,18:30:00,20:15:00,2022/09/26
50,策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/10/08
51,需求分析与系统设计,15:45:00,17:25:00,2022/10/20
52,数理逻辑与近世代数,08:00:00,09:45:00,2022/12/16
53,数据结构与算法(实验),15:45:00,17:25:00,2022/11/08
