Summary,Start Time,End Time,Date
基于java EE平台的软件开发(实验),13:45:00,17:30:00,2022/07/06
饮用水与健康,08:00:00,11:45:00,2022/07/11
基于java EE平台的软件开发,10:00:00,11:45:00,2022/07/15
饮用水与健康,08:00:00,11:45:00,2022/07/12
饮用水与健康,08:00:00,11:45:00,2022/07/04
基于java EE平台的软件开发,10:00:00,11:45:00,2022/07/06
基于java EE平台的软件开发,10:00:00,11:45:00,2022/07/13
饮用水与健康,08:00:00,11:45:00,2022/07/07
基于java EE平台的软件开发(实验),13:45:00,17:30:00,2022/07/13
基于java EE平台的软件开发(实验),13:45:00,17:30:00,2022/07/15
基于java EE平台的软件开发(实验),13:45:00,17:30:00,2022/07/08
饮用水与健康,08:00:00,11:45:00,2022/07/05
饮用水与健康,08:00:00,11:45:00,2022/07/14
基于java EE平台的软件开发,10:00:00,11:45:00,2022/07/08
