Summary,Start Time,End Time,Date
数理逻辑与近世代数,13:45:00,15:30:00,2022/11/16
数据结构与算法(实验),15:45:00,17:30:00,2022/10/27
数据结构与算法(实验),15:45:00,17:30:00,2022/10/13
数字逻辑与数字系统设计(实验),15:45:00,17:30:00,2022/11/13
工程设计中的工程伦理问题,18:30:00,22:15:00,2022/08/29
数字逻辑与数字系统设计,13:45:00,15:30:00,2022/09/06
数理逻辑与近世代数,10:00:00,11:45:00,2022/10/31
数据结构与算法(实验),15:45:00,17:30:00,2022/11/10
人工智能程序设计实践 (实验),13:45:00,17:30:00,2022/08/30
《道德经》浅析与当代大学生生活,08:00:00,11:45:00,2022/09/10
毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:30:00,2022/08/22
数据结构与算法,08:00:00,09:45:00,2022/09/07
算法设计与分析,08:00:00,09:45:00,2022/12/06
毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:30:00,2022/10/31
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/11/02
算法设计与分析,13:45:00,15:30:00,2022/11/18
学术英语综合(提高),10:00:00,11:45:00,2022/08/30
数理逻辑与近世代数,15:45:00,17:30:00,2022/11/25
工程设计中的工程伦理问题,18:30:00,22:15:00,2022/09/01
算法设计与分析,08:00:00,09:45:00,2022/11/29
数理逻辑与近世代数,10:00:00,11:45:00,2022/11/07
《道德经》浅析与当代大学生生活,08:00:00,11:45:00,2022/09/17
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/08/31
概率论与数理统计B,15:45:00,17:30:00,2022/08/22
数理逻辑与近世代数,13:45:00,15:30:00,2022/11/02
《道德经》浅析与当代大学生生活,08:00:00,11:45:00,2022/10/01
学术英语综合(提高),10:00:00,11:45:00,2022/08/23
数理逻辑与近世代数,15:45:00,17:30:00,2022/11/04
数理逻辑与近世代数,10:00:00,11:45:00,2022/11/21
人工智能程序设计实践 (实验),08:00:00,11:45:00,2022/08/31
概率论与数理统计B,10:00:00,11:45:00,2022/11/18
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/11/09
毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:30:00,2022/10/24
毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:30:00,2022/11/07
工程设计中的工程伦理问题,18:30:00,22:15:00,2022/08/30
大学物理实验B,08:00:00,11:45:00,2022/09/03
人工智能程序设计实践 (实验),13:45:00,17:30:00,2022/08/23
人工智能程序设计实践 (实验),08:00:00,11:45:00,2022/08/24
数字逻辑与数字系统设计(实验),15:45:00,17:30:00,2022/10/23
数字逻辑与数字系统设计(实验),15:45:00,17:30:00,2022/11/06
《道德经》浅析与当代大学生生活,08:00:00,11:45:00,2022/09/24
数理逻辑与近世代数,10:00:00,11:45:00,2022/12/12
数理逻辑与近世代数,13:45:00,15:30:00,2022/11/09
毛泽东思想和中国特色社会主义理论体系概论(实验),08:00:00,09:45:00,2022/10/16
工程设计中的工程伦理问题,18:30:00,22:15:00,2022/09/02
数理逻辑与近世代数,10:00:00,11:45:00,2022/10/24
数理逻辑与近世代数,13:45:00,15:30:00,2022/10/26
数字逻辑与数字系统设计,10:00:00,11:45:00,2022/09/08
人工智能程序设计实践 (实验),08:00:00,11:45:00,2022/09/01
数理逻辑与近世代数,10:00:00,11:45:00,2022/11/14
概率论与数理统计B,10:00:00,11:45:00,2022/12/02
算法设计与分析,08:00:00,09:45:00,2022/11/22
人工智能程序设计实践 (实验),08:00:00,11:45:00,2022/08/22
算法设计与分析,08:00:00,09:45:00,2022/10/18
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/09/14
数理逻辑与近世代数,10:00:00,11:45:00,2022/11/28
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/09/07
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/10/26
数理逻辑与近世代数,13:45:00,15:30:00,2022/11/23
算法设计与分析,13:45:00,15:30:00,2022/10/21
数字逻辑与数字系统设计(实验),15:45:00,17:30:00,2022/12/04
数理逻辑与近世代数,15:45:00,17:30:00,2022/11/11
数理逻辑与近世代数,15:45:00,17:30:00,2022/10/28
数理逻辑与近世代数,10:00:00,11:45:00,2022/12/05
算法设计与分析,13:45:00,15:30:00,2022/11/25
概率论与数理统计B,15:45:00,17:30:00,2022/11/28
概率论与数理统计B,10:00:00,11:45:00,2022/08/26
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/08/24
概率论与数理统计B,15:45:00,17:30:00,2022/11/21
数字逻辑与数字系统设计(实验),10:00:00,11:45:00,2022/10/30
数理逻辑与近世代数,15:45:00,17:30:00,2022/11/18
概率论与数理统计B,10:00:00,11:45:00,2022/11/25
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/09/21
体育(排球（软式）),13:45:00,15:30:00,2022/08/25
数据结构与算法,08:00:00,09:45:00,2022/09/05
数字逻辑与数字系统设计(实验),10:00:00,11:45:00,2022/11/10
毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:30:00,2022/09/19
人工智能程序设计实践 (实验),08:00:00,11:45:00,2022/08/25
人工智能程序设计实践 (实验),08:00:00,11:45:00,2022/08/29
