Summary,Start Time,End Time,Date
体育,13:45:00,15:30:00,2023/02/23
人工智能导论(实验),08:00:00,11:45:00,2023/05/26
人工智能数学基础(实验),13:45:00,17:30:00,2023/05/13
Web开发技术,10:00:00,11:45:00,2023/02/22
计算机系统,10:00:00,11:45:00,2023/02/24
马克思主义基本原理,15:45:00,17:30:00,2023/03/15
形式语言与自动机,13:45:00,15:30:00,2023/02/20
形势与政策（2）,13:45:00,15:30:00,2023/04/05
计算机系统,08:00:00,09:45:00,2023/02/21
计算机系统(实验),10:00:00,11:45:00,2023/04/30
人工智能导论(实验),08:00:00,11:45:00,2023/05/19
计算机系统(实验),10:00:00,11:45:00,2023/04/16
马克思主义基本原理,15:45:00,17:30:00,2023/03/17
Web开发技术(实验),18:30:00,20:15:00,2023/03/09
计算机组成原理(实验),15:45:00,17:30:00,2023/04/16
计算机组成原理,08:00:00,09:45:00,2023/02/24
形式语言与自动机,08:00:00,09:45:00,2023/02/23
计算机组成原理(实验),15:45:00,17:30:00,2023/04/23
计算机系统(实验),10:00:00,11:45:00,2023/04/02
马克思主义基本原理(实验),13:45:00,15:30:00,2023/04/07
计算机组成原理(实验),15:45:00,17:30:00,2023/03/19
计算机组成原理,15:45:00,17:30:00,2023/02/21
人工智能数学基础,08:00:00,09:45:00,2023/04/17
人工智能数学基础,08:00:00,09:45:00,2023/04/19
人工智能数学基础(实验),13:45:00,17:30:00,2023/05/27
Web开发技术,15:45:00,17:30:00,2023/02/20
翻译实践(提高),10:00:00,11:45:00,2023/02/21
人工智能导论,08:00:00,09:45:00,2023/04/20
计算机组成原理(实验),15:45:00,17:30:00,2023/04/02
人工智能数学基础(实验),13:45:00,17:30:00,2023/06/10
人工智能导论,10:00:00,11:45:00,2023/04/17
计算机系统(实验),10:00:00,11:45:00,2023/03/05
人工智能数学基础(实验),13:45:00,17:30:00,2023/04/29
