,Summary,Start Time,End Time,Date
0,数理逻辑与近世代数,13:45:00,15:30:00,2022/11/16
1,数据结构与算法(实验),15:45:00,17:30:00,2022/10/27
2,数据结构与算法(实验),15:45:00,17:30:00,2022/10/13
3,数字逻辑与数字系统设计(实验),15:45:00,17:30:00,2022/11/13
4,工程设计中的工程伦理问题,18:30:00,22:15:00,2022/08/29
5,数字逻辑与数字系统设计,13:45:00,15:30:00,2022/09/06
6,数理逻辑与近世代数,10:00:00,11:45:00,2022/10/31
7,数据结构与算法(实验),15:45:00,17:30:00,2022/11/10
8,人工智能程序设计实践 (实验),13:45:00,17:30:00,2022/08/30
9,《道德经》浅析与当代大学生生活,08:00:00,11:45:00,2022/09/10
10,毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:30:00,2022/08/22
11,数据结构与算法,08:00:00,09:45:00,2022/09/07
12,算法设计与分析,08:00:00,09:45:00,2022/12/06
13,毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:30:00,2022/10/31
14,毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/11/02
15,算法设计与分析,13:45:00,15:30:00,2022/11/18
16,学术英语综合(提高),10:00:00,11:45:00,2022/08/30
17,数理逻辑与近世代数,15:45:00,17:30:00,2022/11/25
18,工程设计中的工程伦理问题,18:30:00,22:15:00,2022/09/01
19,算法设计与分析,08:00:00,09:45:00,2022/11/29
20,数理逻辑与近世代数,10:00:00,11:45:00,2022/11/07
21,《道德经》浅析与当代大学生生活,08:00:00,11:45:00,2022/09/17
22,毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/08/31
23,概率论与数理统计B,15:45:00,17:30:00,2022/08/22
24,数理逻辑与近世代数,13:45:00,15:30:00,2022/11/02
25,《道德经》浅析与当代大学生生活,08:00:00,11:45:00,2022/10/01
26,学术英语综合(提高),10:00:00,11:45:00,2022/08/23
27,数理逻辑与近世代数,15:45:00,17:30:00,2022/11/04
28,数理逻辑与近世代数,10:00:00,11:45:00,2022/11/21
29,人工智能程序设计实践 (实验),08:00:00,11:45:00,2022/08/31
30,概率论与数理统计B,10:00:00,11:45:00,2022/11/18
31,毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/11/09
32,毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:30:00,2022/10/24
33,毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:30:00,2022/11/07
34,工程设计中的工程伦理问题,18:30:00,22:15:00,2022/08/30
35,大学物理实验B,08:00:00,11:45:00,2022/09/03
36,人工智能程序设计实践 (实验),13:45:00,17:30:00,2022/08/23
37,人工智能程序设计实践 (实验),08:00:00,11:45:00,2022/08/24
38,数字逻辑与数字系统设计(实验),15:45:00,17:30:00,2022/10/23
39,数字逻辑与数字系统设计(实验),15:45:00,17:30:00,2022/11/06
40,《道德经》浅析与当代大学生生活,08:00:00,11:45:00,2022/09/24
41,数理逻辑与近世代数,10:00:00,11:45:00,2022/12/12
42,数理逻辑与近世代数,13:45:00,15:30:00,2022/11/09
43,毛泽东思想和中国特色社会主义理论体系概论(实验),08:00:00,09:45:00,2022/10/16
44,工程设计中的工程伦理问题,18:30:00,22:15:00,2022/09/02
45,数理逻辑与近世代数,10:00:00,11:45:00,2022/10/24
46,数理逻辑与近世代数,13:45:00,15:30:00,2022/10/26
47,数字逻辑与数字系统设计,10:00:00,11:45:00,2022/09/08
48,人工智能程序设计实践 (实验),08:00:00,11:45:00,2022/09/01
49,数理逻辑与近世代数,10:00:00,11:45:00,2022/11/14
50,概率论与数理统计B,10:00:00,11:45:00,2022/12/02
51,算法设计与分析,08:00:00,09:45:00,2022/11/22
52,人工智能程序设计实践 (实验),08:00:00,11:45:00,2022/08/22
53,算法设计与分析,08:00:00,09:45:00,2022/10/18
54,毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/09/14
55,数理逻辑与近世代数,10:00:00,11:45:00,2022/11/28
56,毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/09/07
57,毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/10/26
58,数理逻辑与近世代数,13:45:00,15:30:00,2022/11/23
59,算法设计与分析,13:45:00,15:30:00,2022/10/21
60,数字逻辑与数字系统设计(实验),15:45:00,17:30:00,2022/12/04
61,数理逻辑与近世代数,15:45:00,17:30:00,2022/11/11
62,数理逻辑与近世代数,15:45:00,17:30:00,2022/10/28
63,数理逻辑与近世代数,10:00:00,11:45:00,2022/12/05
64,算法设计与分析,13:45:00,15:30:00,2022/11/25
65,概率论与数理统计B,15:45:00,17:30:00,2022/11/28
