Summary,Start Time,End Time,Date
毛泽东思想和中国特色社会主义理论体系概论(实验),07:45:00,09:30:00,2022/10/29
战略管理,00:00:00,01:45:00,2022/08/22
国际商务,02:00:00,03:45:00,2022/10/13
体育 曲棍球,02:00:00,03:45:00,2022/08/26
国际商务,02:00:00,03:45:00,2022/09/29
国际商务,05:45:00,07:30:00,2022/09/26
国际商务,02:00:00,03:45:00,2022/10/20
管理信息系统,07:45:00,09:30:00,2022/08/29
领导力与沟通,02:00:00,03:45:00,2022/10/24
毛泽东思想和中国特色社会主义理论体系概论,05:45:00,07:30:00,2022/08/25
管理信息系统,05:45:00,07:30:00,2022/09/02
国际商务,02:00:00,03:45:00,2022/08/25
管理信息系统,05:45:00,07:30:00,2022/09/09
宏观经济学,05:45:00,07:30:00,2022/09/20
国际商务,05:45:00,07:30:00,2022/08/22
基本乐理,10:30:00,13:30:00,2022/08/30
概率论与数理统计C,05:45:00,07:30:00,2022/08/24
管理信息系统,07:45:00,09:30:00,2022/09/12
国际商务,05:45:00,07:30:00,2022/10/10
战略管理,00:00:00,01:45:00,2022/08/24
管理信息系统,07:45:00,09:30:00,2022/09/05
宏观经济学,07:45:00,09:30:00,2022/09/23
国际商务,05:45:00,07:30:00,2022/09/19
毛泽东思想和中国特色社会主义理论体系概论,00:00:00,01:45:00,2022/08/23
国际商务,02:00:00,03:45:00,2022/09/22
概率论与数理统计C,00:00:00,01:45:00,2022/08/26
学术英语综合(提高),02:00:00,03:45:00,2022/08/24
管理信息系统(实验),07:45:00,09:30:00,2022/09/29
管理信息系统,05:45:00,07:30:00,2022/09/16
国际商务,05:45:00,07:30:00,2022/10/17
领导力与沟通,00:00:00,01:45:00,2022/10/27
