Summary,Start Time,End Time,Date
英语文化基础(提高),02:00:00,03:45:00,2023/02/22
应用统计(实验),10:30:00,14:15:00,2023/04/27
形势与政策（2）,00:00:00,01:45:00,2023/04/14
应用统计,07:45:00,09:30:00,2023/02/23
运筹学,00:00:00,01:45:00,2023/02/22
马克思主义基本原理,02:00:00,03:45:00,2023/03/14
计量经济学,05:45:00,07:30:00,2023/03/20
应用统计(实验),10:30:00,14:15:00,2023/04/20
马克思主义基本原理(实验),00:00:00,01:45:00,2023/03/30
运筹学,02:00:00,03:45:00,2023/02/20
财务管理,02:00:00,03:45:00,2023/02/23
应用统计,05:45:00,07:30:00,2023/02/21
计量经济学(实验),10:30:00,14:15:00,2023/04/19
法律、伦理与社会责任,00:00:00,01:45:00,2023/05/02
马克思主义基本原理,05:45:00,07:30:00,2023/03/17
财务管理,00:00:00,01:45:00,2023/02/21
法律、伦理与社会责任,02:00:00,03:45:00,2023/05/04
计量经济学,05:45:00,07:30:00,2023/03/22
