,Summary,Start Time,End Time,Date
0,毛泽东思想和中国特色社会主义理论体系概论(实验),07:45:00,09:30:00,2022/10/29
1,战略管理,00:00:00,01:45:00,2022/08/22
2,国际商务,02:00:00,03:45:00,2022/10/13
3,体育 曲棍球,02:00:00,03:45:00,2022/08/26
4,国际商务,02:00:00,03:45:00,2022/09/29
5,国际商务,05:45:00,07:30:00,2022/09/26
6,国际商务,02:00:00,03:45:00,2022/10/20
7,管理信息系统,07:45:00,09:30:00,2022/08/29
8,领导力与沟通,02:00:00,03:45:00,2022/10/24
9,毛泽东思想和中国特色社会主义理论体系概论,05:45:00,07:30:00,2022/08/25
10,管理信息系统,05:45:00,07:30:00,2022/09/02
11,国际商务,02:00:00,03:45:00,2022/08/25
12,管理信息系统,05:45:00,07:30:00,2022/09/09
13,宏观经济学,05:45:00,07:30:00,2022/09/20
14,国际商务,05:45:00,07:30:00,2022/08/22
15,基本乐理,10:30:00,13:30:00,2022/08/30
16,概率论与数理统计C,05:45:00,07:30:00,2022/08/24
17,管理信息系统,07:45:00,09:30:00,2022/09/12
18,国际商务,05:45:00,07:30:00,2022/10/10
19,战略管理,00:00:00,01:45:00,2022/08/24
20,管理信息系统,07:45:00,09:30:00,2022/09/05
21,宏观经济学,07:45:00,09:30:00,2022/09/23
22,国际商务,05:45:00,07:30:00,2022/09/19
23,毛泽东思想和中国特色社会主义理论体系概论,00:00:00,01:45:00,2022/08/23
24,国际商务,02:00:00,03:45:00,2022/09/22
25,概率论与数理统计C,00:00:00,01:45:00,2022/08/26
26,学术英语综合(提高),02:00:00,03:45:00,2022/08/24
27,管理信息系统(实验),07:45:00,09:30:00,2022/09/29
28,管理信息系统,05:45:00,07:30:00,2022/09/16
29,国际商务,05:45:00,07:30:00,2022/10/17
30,领导力与沟通,00:00:00,01:45:00,2022/10/27
31,英语文化基础(提高),02:00:00,03:45:00,2023/02/22
32,应用统计(实验),10:30:00,14:15:00,2023/04/27
33,形势与政策（2）,00:00:00,01:45:00,2023/04/14
34,应用统计,07:45:00,09:30:00,2023/02/23
35,运筹学,00:00:00,01:45:00,2023/02/22
36,马克思主义基本原理,02:00:00,03:45:00,2023/03/14
37,计量经济学,05:45:00,07:30:00,2023/03/20
38,应用统计(实验),10:30:00,14:15:00,2023/04/20
39,马克思主义基本原理(实验),00:00:00,01:45:00,2023/03/30
40,运筹学,02:00:00,03:45:00,2023/02/20
41,财务管理,02:00:00,03:45:00,2023/02/23
42,应用统计,05:45:00,07:30:00,2023/02/21
43,计量经济学(实验),10:30:00,14:15:00,2023/04/19
44,法律、伦理与社会责任,00:00:00,01:45:00,2023/05/02
45,马克思主义基本原理,05:45:00,07:30:00,2023/03/17
46,财务管理,00:00:00,01:45:00,2023/02/21
47,法律、伦理与社会责任,02:00:00,03:45:00,2023/05/04
48,计量经济学,05:45:00,07:30:00,2023/03/22
