Summary,Start Time,End Time,Date
计算机科学与工程程序设计实践(实验),00:00:00,03:45:00,2022/08/24
概率论与数理统计B,05:45:00,07:30:00,2022/08/22
毛泽东思想和中国特色社会主义理论体系概论,07:45:00,09:30:00,2022/08/26
数据结构与算法,00:00:00,01:45:00,2022/09/07
毛泽东思想和中国特色社会主义理论体系概论,05:45:00,07:30:00,2022/08/24
数理逻辑与近世代数,05:45:00,07:30:00,2022/10/28
计算机系统(实验),07:45:00,09:30:00,2022/09/28
英语科技文献阅读(发展),02:00:00,03:45:00,2022/08/23
计算机系统,02:00:00,03:45:00,2022/08/26
概率论与数理统计B,00:00:00,01:45:00,2022/08/26
数理逻辑与近世代数,02:00:00,03:45:00,2022/10/24
数据结构与算法(实验),02:00:00,03:45:00,2022/10/15
计算机科学与工程程序设计实践(实验),05:45:00,09:30:00,2022/08/23
数字逻辑与数字系统设计,05:45:00,07:30:00,2022/09/06
计算机系统(实验),07:45:00,09:30:00,2022/10/19
数据结构与算法(实验),02:00:00,03:45:00,2022/10/29
数据结构与算法,00:00:00,01:45:00,2022/09/05
数字逻辑与数字系统设计(实验),05:45:00,07:30:00,2022/12/04
数理逻辑与近世代数,02:00:00,03:45:00,2022/10/26
计算机系统,00:00:00,01:45:00,2022/08/23
体育（户外）,05:45:00,07:30:00,2022/09/01
数理逻辑与近世代数,02:00:00,03:45:00,2022/11/21
数据结构与算法(实验),02:00:00,03:45:00,2022/11/12
计算机科学与工程程序设计实践(实验),00:00:00,03:45:00,2022/08/22
计算机系统(实验),07:45:00,09:30:00,2022/09/14
数理逻辑与近世代数,05:45:00,07:30:00,2022/11/18
基本乐理,10:30:00,14:15:00,2022/08/30
数理逻辑与近世代数,02:00:00,03:45:00,2022/11/23
计算机系统(实验),07:45:00,09:30:00,2022/11/02
数字逻辑与数字系统设计,02:00:00,03:45:00,2022/09/08
毛泽东思想和中国特色社会主义理论体系概论(实验),02:00:00,03:45:00,2022/10/17
计算机科学与工程程序设计实践(实验),05:45:00,09:30:00,2022/08/27
大学物理实验B,00:00:00,03:45:00,2022/09/01
数字逻辑与数字系统设计(实验),05:45:00,07:30:00,2022/10/23
数字逻辑与数字系统设计(实验),02:00:00,03:45:00,2022/11/10
