Summary,Start Time,End Time,Date
Web开发技术,07:45:00,09:30:00,2023/02/20
体育 户外,05:45:00,07:30:00,2023/02/23
Web开发技术,02:00:00,03:45:00,2023/02/22
马克思主义基本原理,07:45:00,09:30:00,2023/03/15
形势与政策（2）,05:45:00,07:30:00,2023/04/17
计算机组成原理,00:00:00,01:45:00,2023/02/24
计算机组成原理(实验),02:00:00,03:45:00,2023/04/15
人工智能导论,00:00:00,01:45:00,2023/04/18
计算理论,02:00:00,03:45:00,2023/04/12
形势与政策（2）,05:45:00,07:30:00,2023/04/19
计算机组成原理(实验),02:00:00,03:45:00,2023/03/18
马克思主义基本原理,02:00:00,03:45:00,2023/03/17
马克思主义基本原理(实验),10:30:00,12:15:00,2023/04/18
计算机组成原理,02:00:00,03:45:00,2023/02/20
人工智能导论(实验),10:30:00,14:15:00,2023/05/26
国际交流英语(发展),02:00:00,03:45:00,2023/02/21
软件构造,00:00:00,01:45:00,2023/02/22
计算机组成原理(实验),02:00:00,03:45:00,2023/04/29
计算机组成原理(实验),02:00:00,03:45:00,2023/04/01
人工智能导论(实验),10:30:00,14:15:00,2023/05/19
算法设计与分析,02:00:00,03:45:00,2023/02/23
计算理论,05:45:00,07:30:00,2023/04/14
形式语言与自动机,00:00:00,01:45:00,2023/02/23
人工智能导论,00:00:00,01:45:00,2023/04/20
软件构造,00:00:00,01:45:00,2023/02/20
算法设计与分析,07:45:00,09:30:00,2023/02/21
Web开发技术(实验),07:45:00,09:30:00,2023/03/09
形式语言与自动机,05:45:00,07:30:00,2023/02/21
