,Summary,Start Time,End Time,Date
0,计算机科学与工程程序设计实践(实验),00:00:00,03:45:00,2022/08/24
1,概率论与数理统计B,05:45:00,07:30:00,2022/08/22
2,毛泽东思想和中国特色社会主义理论体系概论,07:45:00,09:30:00,2022/08/26
3,数据结构与算法,00:00:00,01:45:00,2022/09/07
4,毛泽东思想和中国特色社会主义理论体系概论,05:45:00,07:30:00,2022/08/24
5,数理逻辑与近世代数,05:45:00,07:30:00,2022/10/28
6,计算机系统(实验),07:45:00,09:30:00,2022/09/28
7,英语科技文献阅读(发展),02:00:00,03:45:00,2022/08/23
8,计算机系统,02:00:00,03:45:00,2022/08/26
9,概率论与数理统计B,00:00:00,01:45:00,2022/08/26
10,数理逻辑与近世代数,02:00:00,03:45:00,2022/10/24
11,数据结构与算法(实验),02:00:00,03:45:00,2022/10/15
12,计算机科学与工程程序设计实践(实验),05:45:00,09:30:00,2022/08/23
13,数字逻辑与数字系统设计,05:45:00,07:30:00,2022/09/06
14,计算机系统(实验),07:45:00,09:30:00,2022/10/19
15,数据结构与算法(实验),02:00:00,03:45:00,2022/10/29
16,数据结构与算法,00:00:00,01:45:00,2022/09/05
17,数字逻辑与数字系统设计(实验),05:45:00,07:30:00,2022/12/04
18,数理逻辑与近世代数,02:00:00,03:45:00,2022/10/26
19,计算机系统,00:00:00,01:45:00,2022/08/23
20,体育（户外）,05:45:00,07:30:00,2022/09/01
21,数理逻辑与近世代数,02:00:00,03:45:00,2022/11/21
22,数据结构与算法(实验),02:00:00,03:45:00,2022/11/12
23,计算机科学与工程程序设计实践(实验),00:00:00,03:45:00,2022/08/22
24,计算机系统(实验),07:45:00,09:30:00,2022/09/14
25,数理逻辑与近世代数,05:45:00,07:30:00,2022/11/18
26,基本乐理,10:30:00,14:15:00,2022/08/30
27,数理逻辑与近世代数,02:00:00,03:45:00,2022/11/23
28,计算机系统(实验),07:45:00,09:30:00,2022/11/02
29,数字逻辑与数字系统设计,02:00:00,03:45:00,2022/09/08
30,毛泽东思想和中国特色社会主义理论体系概论(实验),02:00:00,03:45:00,2022/10/17
31,计算机科学与工程程序设计实践(实验),05:45:00,09:30:00,2022/08/27
32,大学物理实验B,00:00:00,03:45:00,2022/09/01
33,数字逻辑与数字系统设计(实验),05:45:00,07:30:00,2022/10/23
34,数字逻辑与数字系统设计(实验),02:00:00,03:45:00,2022/11/10
35,Web开发技术,07:45:00,09:30:00,2023/02/20
36,体育 户外,05:45:00,07:30:00,2023/02/23
37,Web开发技术,02:00:00,03:45:00,2023/02/22
38,马克思主义基本原理,07:45:00,09:30:00,2023/03/15
39,形势与政策（2）,05:45:00,07:30:00,2023/04/17
40,计算机组成原理,00:00:00,01:45:00,2023/02/24
41,计算机组成原理(实验),02:00:00,03:45:00,2023/04/15
42,人工智能导论,00:00:00,01:45:00,2023/04/18
43,计算理论,02:00:00,03:45:00,2023/04/12
44,形势与政策（2）,05:45:00,07:30:00,2023/04/19
45,计算机组成原理(实验),02:00:00,03:45:00,2023/03/18
46,马克思主义基本原理,02:00:00,03:45:00,2023/03/17
47,马克思主义基本原理(实验),10:30:00,12:15:00,2023/04/18
48,计算机组成原理,02:00:00,03:45:00,2023/02/20
49,人工智能导论(实验),10:30:00,14:15:00,2023/05/26
50,国际交流英语(发展),02:00:00,03:45:00,2023/02/21
51,软件构造,00:00:00,01:45:00,2023/02/22
52,计算机组成原理(实验),02:00:00,03:45:00,2023/04/29
53,计算机组成原理(实验),02:00:00,03:45:00,2023/04/01
54,人工智能导论(实验),10:30:00,14:15:00,2023/05/19
55,算法设计与分析,02:00:00,03:45:00,2023/02/23
56,计算理论,05:45:00,07:30:00,2023/04/14
57,形式语言与自动机,00:00:00,01:45:00,2023/02/23
58,人工智能导论,00:00:00,01:45:00,2023/04/20
59,软件构造,00:00:00,01:45:00,2023/02/20
60,算法设计与分析,07:45:00,09:30:00,2023/02/21
61,Web开发技术(实验),07:45:00,09:30:00,2023/03/09
62,形式语言与自动机,05:45:00,07:30:00,2023/02/21
