Summary,Start Time,End Time,Date
计算机科学与工程程序设计实践(实验),13:45:00,17:30:00,2022/08/30
计算机系统,08:00:00,09:45:00,2022/08/23
数据结构与算法,10:00:00,11:45:00,2022/09/24
数理逻辑与近世代数,10:00:00,11:45:00,2022/11/23
概率论与数理统计B,08:00:00,09:45:00,2022/08/26
计算机系统(实验),15:45:00,17:30:00,2022/09/14
计算机系统,10:00:00,11:45:00,2022/08/26
数理逻辑与近世代数,10:00:00,11:45:00,2022/11/30
数理逻辑与近世代数,10:00:00,11:45:00,2022/12/07
计算机科学与工程程序设计实践(实验),08:00:00,11:45:00,2022/08/24
数理逻辑与近世代数,10:00:00,11:45:00,2022/12/05
数理逻辑与近世代数,10:00:00,11:45:00,2022/11/14
毛泽东思想和中国特色社会主义理论体系概论(实验),10:00:00,11:45:00,2022/10/17
计算机系统(实验),15:45:00,17:30:00,2022/09/28
计算机科学与工程程序设计实践(实验),13:45:00,17:30:00,2022/08/23
毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:30:00,2022/08/26
数据结构与算法(实验),10:00:00,11:45:00,2022/10/29
数理逻辑与近世代数,10:00:00,11:45:00,2022/12/14
数据结构与算法(实验),10:00:00,11:45:00,2022/11/12
毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:30:00,2022/08/24
计算机系统(实验),15:45:00,17:30:00,2022/11/02
计算机科学与工程程序设计实践(实验),08:00:00,11:45:00,2022/08/31
数理逻辑与近世代数,10:00:00,11:45:00,2022/11/28
数理逻辑与近世代数,13:45:00,15:30:00,2022/11/25
数字逻辑与数字系统设计(实验),13:45:00,15:30:00,2022/12/04
数理逻辑与近世代数,13:45:00,15:30:00,2022/11/18
概率论与数理统计B,13:45:00,15:30:00,2022/08/22
数理逻辑与近世代数,13:45:00,15:30:00,2022/12/16
计算机科学与工程程序设计实践(实验),08:00:00,11:45:00,2022/08/29
计算机系统(实验),15:45:00,17:30:00,2022/10/19
数理逻辑与近世代数,10:00:00,11:45:00,2022/11/16
数字逻辑与数字系统设计(实验),10:00:00,11:45:00,2022/11/10
数理逻辑与近世代数,13:45:00,15:30:00,2022/12/09
计算机科学与工程程序设计实践(实验),13:45:00,17:30:00,2022/09/03
数理逻辑与近世代数,10:00:00,11:45:00,2022/10/26
数字逻辑与数字系统设计,10:00:00,11:45:00,2022/09/08
数据结构与算法,08:00:00,09:45:00,2022/09/21
学术英语综合(提高),10:00:00,11:45:00,2022/08/23
数字逻辑与数字系统设计(实验),13:45:00,15:30:00,2022/10/23
数理逻辑与近世代数,13:45:00,15:30:00,2022/12/02
数理逻辑与近世代数,10:00:00,11:45:00,2022/12/12
大学物理实验B,08:00:00,11:45:00,2022/09/01
数理逻辑与近世代数,10:00:00,11:45:00,2022/11/21
计算机科学与工程程序设计实践(实验),08:00:00,11:45:00,2022/08/22
数据结构与算法,08:00:00,09:45:00,2022/09/07
数理逻辑与近世代数,13:45:00,15:30:00,2022/10/28
数字逻辑与数字系统设计,13:45:00,15:30:00,2022/09/06
数理逻辑与近世代数,10:00:00,11:45:00,2022/10/24
数据结构与算法,08:00:00,09:45:00,2022/09/05
数据结构与算法(实验),10:00:00,11:45:00,2022/10/15
计算机科学与工程程序设计实践(实验),13:45:00,17:30:00,2022/08/27
