Summary,Start Time,End Time,Date
计算机组成原理(实验),10:00:00,11:45:00,2023/04/22
高分子复合材料工艺学,13:45:00,15:30:00,2023/02/23
人工智能导论,08:00:00,09:45:00,2023/04/20
人工智能导论(实验),18:30:00,22:15:00,2023/05/26
形势与政策（2）,13:45:00,15:30:00,2023/04/19
计算理论,10:00:00,11:45:00,2023/04/12
Web开发技术,10:00:00,11:45:00,2023/02/22
计算机组成原理(实验),10:00:00,11:45:00,2023/03/18
形式语言与自动机,08:00:00,09:45:00,2023/02/23
英语语音与诵读(提高),10:00:00,11:45:00,2023/02/21
计算理论,13:45:00,15:30:00,2023/04/14
Web开发技术(实验),18:30:00,20:15:00,2023/03/09
算法设计与分析,15:45:00,17:30:00,2023/02/21
人工智能导论(实验),18:30:00,22:15:00,2023/05/19
人工智能导论,08:00:00,09:45:00,2023/04/18
形式语言与自动机,13:45:00,15:30:00,2023/02/21
高分子复合材料工艺学,15:45:00,17:30:00,2023/02/25
计算机组成原理(实验),10:00:00,11:45:00,2023/04/15
计算机组成原理,08:00:00,09:45:00,2023/02/24
计算机组成原理,10:00:00,11:45:00,2023/02/20
软件构造,08:00:00,09:45:00,2023/02/22
计算机组成原理(实验),10:00:00,11:45:00,2023/04/01
软件构造,08:00:00,09:45:00,2023/02/20
Web开发技术,15:45:00,17:30:00,2023/02/20
形势与政策（2）,13:45:00,15:30:00,2023/04/17
马克思主义基本原理,15:45:00,17:30:00,2023/03/15
算法设计与分析,10:00:00,11:45:00,2023/02/23
马克思主义基本原理,10:00:00,11:45:00,2023/03/17
马克思主义基本原理(实验),18:30:00,20:15:00,2023/04/18
