Summary,Start Date,End Date,Weekday,Start Time,End Time,Node,Location,Teacher
数据结构与算法,2022/9/5,2022/11/20,Monday,8:00,9:45,第1 - 2节,正心316,臧天仪
数理逻辑与近世代数,2022/10/24,2022/11/13,Monday,13:45,15:15,第5 - 6节,正心320,陈建文
数理逻辑与近世代数,2022/11/14,2022/11/20,Monday,13:45,15:15,第5 - 6节,正心320,陈建文
数理逻辑与近世代数,2022/11/21,2022/11/27,Monday,13:45,15:15,第5 - 6节,正心320,胡杨
数理逻辑与近世代数,2022/12/5,2022/12/11,Monday,13:45,15:15,第5 - 6节,正心320,胡杨
数理逻辑与近世代数,2022/12/12,2022/12/18,Monday,13:45,15:15,第5 - 6节,正心320,胡杨
数理逻辑与近世代数,2022/11/28,2022/12/4,Monday,13:45,15:15,第5 - 6节,线上教学,胡杨
概率论与数理统计B,2022/8/22,2022/12/4,Monday,15:45,17:25,第7 - 8节,正心34,张海莹
项目管理的哲学,2022/8/22,2022/8/28,Monday,18:30,20:15,第9 - 10节,正心902,刘延芳
项目管理的哲学,2022/8/29,2022/9/4,Monday,18:30,20:15,第9 - 10节,正心902,刘延芳
项目管理的哲学,2022/9/5,2022/9/11,Monday,18:30,20:15,第9 - 10节,正心902,刘延芳
项目管理的哲学,2022/9/12,2022/9/18,Monday,18:30,20:15,第9 - 10节,正心902,刘延芳
项目管理的哲学,2022/9/19,2022/9/25,Monday,18:30,20:15,第9 - 10节,正心902,刘延芳
项目管理的哲学,2022/9/26,2022/10/2,Monday,18:30,20:15,第9 - 10节,正心902,刘延芳
项目管理的哲学,2022/10/3,2022/10/9,Monday,18:30,20:15,第9 - 10节,正心902,刘延芳
项目管理的哲学,2022/10/10,2022/10/16,Monday,18:30,20:15,第9 - 10节,正心902,刘延芳
数据结构与算法,2022/9/7,2022/11/22,Wednesday,8:00,9:45,第1 - 2节,正心316,臧天仪
需求分析与系统设计(实验),2022/11/23,2022/12/13,Wednesday,10:00,11:45,第3 - 4节,格物207,范国祥
毛泽东思想和中国特色社会主义理论体系概论,2022/8/24,2022/8/30,Wednesday,15:45,17:25,第7 - 8节,线上教学,王海荣
毛泽东思想和中国特色社会主义理论体系概论,2022/8/31,2022/9/6,Wednesday,15:45,17:25,第7 - 8节,线上教学,王海荣
毛泽东思想和中国特色社会主义理论体系概论,2022/9/7,2022/9/13,Wednesday,15:45,17:25,第7 - 8节,线上教学,王海荣
毛泽东思想和中国特色社会主义理论体系概论,2022/9/14,2022/9/20,Wednesday,15:45,17:25,第7 - 8节,线上教学,王海荣
毛泽东思想和中国特色社会主义理论体系概论,2022/9/21,2022/9/27,Wednesday,15:45,17:25,第7 - 8节,线上教学,王海荣
毛泽东思想和中国特色社会主义理论体系概论,2022/10/5,2022/12/20,Wednesday,15:45,17:25,第7 - 8节,线上教学,王海荣
毛泽东思想和中国特色社会主义理论体系概论,2022/9/28,2022/10/4,Wednesday,15:45,17:25,第7 - 8节,线上教学,王海荣
共和国重大外交事件评述,2022/8/31,2022/9/27,Wednesday,18:30,20:15,第9 - 10节,正心416,蔡文雪
数理逻辑与近世代数,2022/10/25,2022/11/14,Tuesday,8:00,9:45,第1 - 2节,正心320,陈建文
数理逻辑与近世代数,2022/11/15,2022/11/21,Tuesday,8:00,9:45,第1 - 2节,正心320,陈建文
数理逻辑与近世代数,2022/11/22,2022/11/28,Tuesday,8:00,9:45,第1 - 2节,正心320,胡杨
数理逻辑与近世代数,2022/12/6,2022/12/12,Tuesday,8:00,9:45,第1 - 2节,正心320,胡杨
数理逻辑与近世代数,2022/12/13,2022/12/19,Tuesday,8:00,9:45,第1 - 2节,正心320,胡杨
数理逻辑与近世代数,2022/11/29,2022/12/5,Tuesday,8:00,9:45,第1 - 2节,线上教学,胡杨
