Summary,Start Date,End Date,Weekday,Start Time,End Time,Node,Location,Teacher
基于.Net平台的软件开发,2022/7/5,2022/7/11,Tuesday,10:00,11:45,第3 - 4节,软件学院三楼,郭勇
基于.Net平台的软件开发,2022/7/12,2022/7/18,Tuesday,10:00,11:45,第3 - 4节,软件学院三楼,郭勇
基于.Net平台的软件开发(实验),2022/7/5,2022/7/11,Tuesday,13:45,17:25,第5 - 8节,软件学院三楼,郭勇
基于.Net平台的软件开发(实验),2022/7/12,2022/7/18,Tuesday,13:45,17:25,第5 - 8节,软件学院三楼,郭勇
基于.Net平台的软件开发,2022/7/7,2022/7/13,Thursday,10:00,11:45,第3 - 4节,软件学院三楼,郭勇
基于.Net平台的软件开发,2022/7/14,2022/7/20,Thursday,10:00,11:45,第3 - 4节,软件学院三楼,郭勇
基于.Net平台的软件开发(实验),2022/7/7,2022/7/13,Thursday,13:45,17:25,第5 - 8节,软件学院三楼,郭勇
基于.Net平台的软件开发(实验),2022/7/14,2022/7/20,Thursday,13:45,17:25,第5 - 8节,软件学院三楼,郭勇
Python程序设计,2022/7/6,2022/7/12,Wednesday,10:00,11:45,第3 - 4节,正心410,车万翔
Python程序设计,2022/7/13,2022/7/19,Wednesday,10:00,11:45,第3 - 4节,正心410,车万翔
Python程序设计(实验),2022/7/6,2022/7/12,Wednesday,13:45,17:25,第5 - 8节,G712,车万翔
Python程序设计(实验),2022/7/13,2022/7/19,Wednesday,13:45,17:25,第5 - 8节,G712,车万翔
Python程序设计,2022/7/8,2022/7/14,Friday,10:00,11:45,第3 - 4节,正心410,车万翔
Python程序设计,2022/7/15,2022/7/21,Friday,10:00,11:45,第3 - 4节,正心410,车万翔
Python程序设计(实验),2022/7/8,2022/7/14,Friday,13:45,17:25,第5 - 8节,G712,车万翔
Python程序设计(实验),2022/7/15,2022/7/21,Friday,13:45,17:25,第5 - 8节,G712,车万翔
