Summary,Start Date,End Date,Weekday,Start Time,End Time,Node,Location,Teacher,End
软件构造,2023/2/20,2023/4/16,Monday,8:00,9:45,第1 - 2节,正心13,王忠杰,2023/4/16
形式语言与自动机,2023/2/20,2023/4/16,Monday,10:00,11:45,第3 - 4节,致知31,丁效,2023/4/16
形势与政策（2）,2023/4/17,2023/5/14,Monday,10:00,11:45,第3 - 4节,正心416,由田,2023/5/14
Web开发技术,2023/2/20,2023/4/2,Monday,15:45,17:25,第7 - 8节,正心14,田英鑫,2023/4/2
马克思主义基本原理,2023/3/13,2023/6/4,Monday,13:45,15:15,第5 - 6节,正心11,杨婉琳,2023/6/4
管理沟通,2023/2/27,2023/3/5,Monday,18:30,22:10,第9 - 12节,正心209,田也壮,2023/3/5
管理沟通,2023/3/6,2023/3/12,Monday,18:30,22:10,第9 - 12节,正心209,田也壮,2023/3/12
管理沟通,2023/3/13,2023/3/19,Monday,18:30,22:10,第9 - 12节,正心209,田也壮,2023/3/19
管理沟通,2023/3/20,2023/3/26,Monday,18:30,22:10,第9 - 12节,正心209,田也壮,2023/3/26
管理沟通,2023/3/27,2023/4/2,Monday,18:30,22:10,第9 - 12节,正心209,田也壮,2023/4/2
管理沟通,2023/4/3,2023/4/9,Monday,18:30,22:10,第9 - 12节,正心209,田也壮,2023/4/9
软件与社会,2023/5/1,2023/5/7,Monday,18:30,22:10,第9 - 12节,正心11,王忠杰,2023/5/7
软件与社会,2023/5/8,2023/5/14,Monday,18:30,22:10,第9 - 12节,正心11,王忠杰,2023/5/14
软件与社会,2023/5/15,2023/5/21,Monday,18:30,22:10,第9 - 12节,正心11,王忠杰,2023/5/21
软件与社会,2023/5/22,2023/5/28,Monday,18:30,22:10,第9 - 12节,正心11,王忠杰,2023/5/28
软件与社会,2023/5/29,2023/6/4,Monday,18:30,22:10,第9 - 12节,正心11,王忠杰,2023/6/4
软件与社会,2023/6/5,2023/6/11,Monday,18:30,22:10,第9 - 12节,正心11,王忠杰,2023/6/11
软件构造,2023/2/22,2023/4/18,Wednesday,8:00,9:45,第1 - 2节,正心13,王忠杰,2023/4/18
计算机组成原理,2023/4/5,2023/5/30,Wednesday,15:45,17:25,第7 - 8节,正心824,刘松波,2023/5/30
Web开发技术,2023/2/22,2023/4/4,Wednesday,10:00,11:45,第3 - 4节,正心14,田英鑫,2023/4/4
马克思主义基本原理,2023/3/15,2023/6/6,Wednesday,13:45,15:15,第5 - 6节,正心11,杨婉琳,2023/6/6
马克思主义基本原理(实验),2023/3/29,2023/4/4,Wednesday,18:30,20:15,第9 - 10节,正心103,杨婉琳,2023/4/4
计算机组成原理,2023/4/4,2023/5/29,Tuesday,8:00,9:45,第1 - 2节,正心824,刘松波,2023/5/29
算法设计与分析,2023/2/21,2023/4/17,Tuesday,13:45,15:15,第5 - 6节,正心41,丁小欧,2023/4/17
翻译实践(提高),2023/2/21,2023/6/12,Tuesday,10:00,11:45,第3 - 4节,正心401,郑淑明,2023/6/12
软件过程与项目管理,2023/4/18,2023/6/12,Tuesday,13:45,15:15,第5 - 6节,致知13,范国祥,2023/6/12
软件构造(实验),2023/3/7,2023/5/1,Tuesday,15:45,17:25,第7 - 8节,格物207,刘铭,2023/5/1
