交易额,商户名称,交易日期,交易时间,星期,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳,饭点课程_早,饭点课程_午,饭点课程_晚
7.0,学苑食堂主食三组（面条）,2023-04-25,17:30,2,0,2,744.0,756.9,100,3,0,1682415000.0,1,1,1
16.0,阳光广式猪脚饭,2023-04-25,11:53,2,0,7,742.7,755.4,66,10,0,1682394780.0,1,1,1
16.0,美食林肠粉,2023-04-24,17:31,1,0,13,750.2,762.8,16,3,0,1682328660.0,0,1,0
14.4,阳光副食二组,2023-04-24,11:44,1,0,14,754.0,766.6,14,7,0,1682307840.0,0,1,0
25.0,紫丁香餐吧主食一组,2023-04-23,17:36,7,0,9,756.8,769.6,18,4,0,1682242560.0,0,0,0
12.0,民族餐厅山西饸饹面,2023-04-22,18:12,6,1,8,755.2,768.1,25,5,0,1682158320.0,1,1,0
21.0,民族餐厅铁板料理,2023-04-22,12:29,6,1,11,755.4,768.1,17,7,0,1682137740.0,1,1,0
18.0,美食林肠粉,2023-04-21,17:06,5,0,9,750.1,762.8,13,8,0,1682067960.0,0,1,1
13.97,阳光副食二组,2023-04-21,11:54,5,0,10,750.1,762.8,22,9,0,1682049240.0,0,1,1
16.0,美食林肠粉,2023-04-20,17:35,4,0,9,743.6,756.2,15,8,0,1681983300.0,0,0,0
12.0,学苑食堂香恋香拌砂锅,2023-04-20,11:24,4,0,9,742.0,754.6,15,13,1,1681961040.0,0,0,0
10.08,阳光副食二组,2023-04-19,12:18,3,0,15,739.3,751.6,31,5,0,1681877880.0,0,0,1
12.0,民族餐厅山西饸饹面,2023-04-18,18:38,2,0,11,744.4,756.9,28,3,0,1681814280.0,1,1,1
12.0,一区饺子园主食二组,2023-04-18,11:53,2,0,11,740.6,753.1,44,8,0,1681789980.0,1,1,1
3.85,学苑食堂包子,2023-04-18,7:45,2,0,9,739.1,751.6,66,9,0,1681775100.0,1,1,1
16.0,阳光广式猪脚饭,2023-04-14,17:56,5,0,9,746.3,759.0,37,3,0,1681466160.0,0,1,0
16.0,美食林肠粉,2023-04-14,11:47,5,0,12,748.6,761.2,30,2,0,1681444020.0,0,1,0
9.6,一区饺子园凉菜组,2023-04-13,11:42,4,0,11,745.1,757.7,30,5,0,1681357320.0,1,1,0
8.0,民族餐厅山西饸饹面,2023-04-11,18:23,2,0,2,737.3,750.1,56,5,0,1681208580.0,1,1,1
13.13,淘乐水果捞店,2023-04-11,11:49,2,0,9,732.3,744.7,34,6,0,1681184940.0,1,1,1
12.0,一区饺子园主食二组,2023-04-10,17:27,1,0,16,732.6,744.7,55,7,1,1681118820.0,1,1,0
10.8,阳光副食二组,2023-04-10,11:50,1,0,17,733.4,745.5,52,13,1,1681098600.0,1,1,0
2.25,百味佳副食一组,2023-04-10,9:43,1,0,16,734.1,746.3,48,10,1,1681090980.0,1,1,0
14.0,学苑食堂香恋香拌砂锅,2023-04-09,18:09,7,1,17,737.1,749.3,30,3,1,1681034940.0,0,0,0
25.0,紫丁香餐吧主食一组,2023-04-09,11:57,7,1,19,738.0,750.1,26,10,0,1681012620.0,0,0,0
2.5,百味佳副食一组,2023-04-09,9:37,7,1,15,738.5,750.8,31,8,0,1681004220.0,0,0,0
12.0,民族餐厅金家店,2023-04-08,18:18,6,1,8,744.2,756.9,25,3,0,1680949080.0,1,1,0
12.0,民族餐厅山西饸饹面,2023-04-08,12:45,6,1,10,745.6,758.2,25,8,0,1680929100.0,1,1,0
4.25,百味佳副食一组,2023-04-08,9:06,6,1,4,746.8,759.7,56,5,0,1680915960.0,1,1,0
15.84,阳光副食二组,2023-04-07,11:52,5,0,3,743.3,756.2,30,9,0,1680839520.0,0,1,0
13.92,阳光副食二组,2023-04-06,11:40,4,0,11,742.1,754.6,22,2,0,1680752400.0,1,1,0
16.0,美食林肠粉,2023-04-05,18:15,3,1,9,747.0,759.7,27,2,1,1680689700.0,1,0,1
16.0,美食林肠粉,2023-04-05,11:22,3,1,9,750.8,763.5,27,2,1,1680664920.0,1,0,1
16.0,美食林肠粉,2023-04-04,11:55,2,0,7,757.5,770.4,19,2,0,1680580500.0,1,1,1
3.85,学苑食堂包子,2023-04-04,7:53,2,0,3,759.5,772.7,33,4,0,1680565980.0,1,1,1
7.2,一区饺子园凉菜组,2023-04-03,17:36,1,0,8,755.2,768.1,57,3,0,1680514560.0,1,1,0
6.6,学苑食堂副食四组,2023-04-03,11:48,1,0,15,751.8,764.3,59,7,0,1680493680.0,1,1,0
3.85,学苑食堂包子,2023-04-03,7:46,1,0,14,751.0,763.5,36,5,1,1680479160.0,1,1,0
12.0,一区饺子园主食二组,2023-04-02,11:56,7,1,22,749.8,762.0,23,9,0,1680407760.0,0,0,0
21.0,紫丁香餐吧主食一组,2023-04-01,11:22,6,1,20,746.8,759.0,35,8,1,1680319320.0,1,1,0
13.91,美食林小猪憨尼麻辣烫,2023-03-31,18:26,5,0,17,745.9,758.2,32,3,1,1680258360.0,0,0,0
