Summary,Start Date,End Date,Weekday,Start Time,End Time,Node,Location,Teacher
饮用水与健康,2022-07-04,2022-07-10,Monday,08:00,11:45,第1 - 4节,B512,张子峰
饮用水与健康,2022-07-11,2022-07-17,Monday,08:00,11:45,第1 - 4节,B512,张子峰
饮用水与健康,2022-07-05,2022-07-11,Tuesday,08:00,11:45,第1 - 4节,B512,张子峰
饮用水与健康,2022-07-12,2022-07-18,Tuesday,08:00,11:45,第1 - 4节,B512,张子峰
饮用水与健康,2022-07-07,2022-07-13,Thursday,08:00,11:45,第1 - 4节,B512,张子峰
饮用水与健康,2022-07-14,2022-07-20,Thursday,08:00,11:45,第1 - 4节,B512,张子峰
基于java EE平台的软件开发,2022-07-06,2022-07-12,Wednesday,10:00,11:45,第3 - 4节,软件学院三楼,田英鑫
基于java EE平台的软件开发,2022-07-13,2022-07-19,Wednesday,10:00,11:45,第3 - 4节,软件学院三楼,田英鑫
基于java EE平台的软件开发(实验),2022-07-06,2022-07-12,Wednesday,13:45,17:30,第5 - 8节,软件学院三楼,田英鑫
基于java EE平台的软件开发(实验),2022-07-13,2022-07-19,Wednesday,13:45,17:30,第5 - 8节,软件学院三楼,田英鑫
基于java EE平台的软件开发,2022-07-08,2022-07-14,Friday,10:00,11:45,第3 - 4节,软件学院三楼,田英鑫
基于java EE平台的软件开发,2022-07-15,2022-07-21,Friday,10:00,11:45,第3 - 4节,软件学院三楼,田英鑫
基于java EE平台的软件开发(实验),2022-07-08,2022-07-14,Friday,13:45,17:30,第5 - 8节,软件学院三楼,田英鑫
基于java EE平台的软件开发(实验),2022-07-15,2022-07-21,Friday,13:45,17:30,第5 - 8节,软件学院三楼,田英鑫
