Summary,Start Date,End Date,Weekday,Start Time,End Time,Node,Location,Teacher
Web开发技术,2023-02-20,2023-04-02,Monday,15:45,17:30,第7 - 8节,正心14,田英鑫
人工智能导论,2023-04-17,2023-05-28,Monday,10:00,11:45,第3 - 4节,正心820,李海峰
人工智能数学基础,2023-04-17,2023-06-11,Monday,08:00,09:45,第1 - 2节,正心314,刘绍辉
形式语言与自动机,2023-02-20,2023-04-16,Monday,13:45,15:30,第5 - 6节,致知31,丁效
Web开发技术,2023-02-22,2023-04-04,Wednesday,10:00,11:45,第3 - 4节,正心14,田英鑫
人工智能数学基础,2023-04-19,2023-06-13,Wednesday,08:00,09:45,第1 - 2节,正心314,刘绍辉
形势与政策（2）,2023-04-05,2023-05-30,Wednesday,13:45,15:30,第5 - 6节,致知14,刘忠奎
马克思主义基本原理,2023-03-15,2023-06-06,Wednesday,15:45,17:30,第7 - 8节,正心11,杨婉琳
人工智能导论,2023-04-20,2023-05-31,Thursday,08:00,09:45,第1 - 2节,正心820,李海峰
形式语言与自动机,2023-02-23,2023-04-19,Thursday,08:00,09:45,第1 - 2节,致知31,丁效
Web开发技术(实验),2023-03-09,2023-04-05,Thursday,18:30,20:15,第9 - 10节,软件学院三楼,田英鑫
体育,2023-02-23,2023-06-14,Thursday,13:45,15:30,第5 - 6节,,王菊
翻译实践(提高),2023-02-21,2023-06-12,Tuesday,10:00,11:45,第3 - 4节,正心920,朱卫民
计算机系统,2023-02-21,2023-05-01,Tuesday,08:00,09:45,第1 - 2节,致知43,郑贵滨
计算机组成原理,2023-02-21,2023-05-01,Tuesday,15:45,17:30,第7 - 8节,正心33,徐冰
计算机系统,2023-02-24,2023-05-04,Friday,10:00,11:45,第3 - 4节,致知43,郑贵滨
计算机组成原理,2023-02-24,2023-05-04,Friday,08:00,09:45,第1 - 2节,正心33,徐冰
马克思主义基本原理,2023-03-17,2023-06-08,Friday,15:45,17:30,第7 - 8节,正心11,杨婉琳
人工智能导论(实验),2023-05-19,2023-05-25,Friday,08:00,11:45,第1 - 4节,格物207,李海峰
人工智能导论(实验),2023-05-26,2023-06-01,Friday,08:00,11:45,第1 - 4节,格物207,李海峰
马克思主义基本原理(实验),2023-04-07,2023-04-13,Friday,13:45,15:30,第5 - 6节,正心103,杨婉琳
人工智能数学基础(实验),2023-04-29,2023-05-05,Saturday,13:45,17:30,第5 - 8节,格物207,刘绍辉
人工智能数学基础(实验),2023-05-13,2023-05-19,Saturday,13:45,17:30,第5 - 8节,格物207,刘绍辉
人工智能数学基础(实验),2023-05-27,2023-06-02,Saturday,13:45,17:30,第5 - 8节,格物207,刘绍辉
人工智能数学基础(实验),2023-06-10,2023-06-16,Saturday,13:45,17:30,第5 - 8节,格物207,刘绍辉
计算机系统(实验),2023-03-05,2023-03-11,Sunday,10:00,11:45,第3 - 4节,G709,郑贵滨
计算机系统(实验),2023-04-02,2023-04-08,Sunday,10:00,11:45,第3 - 4节,G709,郑贵滨
计算机系统(实验),2023-04-16,2023-04-22,Sunday,10:00,11:45,第3 - 4节,G709,郑贵滨
计算机系统(实验),2023-04-30,2023-05-06,Sunday,10:00,11:45,第3 - 4节,G709,郑贵滨
计算机组成原理(实验),2023-03-19,2023-03-25,Sunday,15:45,17:30,第7 - 8节,G712,徐冰
计算机组成原理(实验),2023-04-02,2023-04-08,Sunday,15:45,17:30,第7 - 8节,G712,徐冰
计算机组成原理(实验),2023-04-16,2023-04-22,Sunday,15:45,17:30,第7 - 8节,G712,徐冰
计算机组成原理(实验),2023-04-23,2023-04-29,Sunday,15:45,17:30,第7 - 8节,G712,徐冰
