Summary,Start Date,End Date,Weekday,Start Time,End Time,Node,Location,Teacher
基本乐理,2022/8/30,2022/10/24,Tuesday,18:30,22:15,第9 - 12节,正心122 ,范美娟
毛泽东思想和中国特色社会主义理论体系概论,2022/8/23,2022/12/19,Tuesday,8:00,9:45,第1 - 2节,正心414 ,黄钰婉
宏观经济学,2022/9/20,2022/12/19,Tuesday,13:45,15:30,第5 - 6节,正心332 ,王玲
国际商务,2022/10/20,2022/10/26,Thursday,10:00,11:45,第3 - 4节,正心320,王雅杰
国际商务,2022/10/13,2022/10/19,Thursday,10:00,11:45,第3 - 4节,正心320,王雅杰
国际商务,2022/8/25,2022/9/21,Thursday,10:00,11:45,第3 - 4节,正心320,姜明辉
国际商务,2022/9/29,2022/10/5,Thursday,10:00,11:45,第3 - 4节,正心320,王雅杰
国际商务,2022/9/22,2022/9/28,Thursday,10:00,11:45,第3 - 4节,正心320,王雅杰
管理信息系统(实验),2022/9/29,2022/11/2,Thursday,15:45,17:30,第7 - 8节,G002,邵真
毛泽东思想和中国特色社会主义理论体系概论,2022/8/25,2022/12/21,Thursday,13:45,15:30,第5 - 6节,正心414,黄钰婉
领导力与沟通,2022/10/27,2022/12/21,Thursday,8:00,11:45,第1 - 4节,正心303,叶蔓
国际商务,2022/10/17,2022/10/23,Monday,13:45,15:30,第5 - 6节,正心320,王雅杰
国际商务,2022/9/19,2022/9/25,Monday,13:45,15:30,第5 - 6节,正心320,王雅杰
国际商务,2022/10/10,2022/10/16,Monday,13:45,15:30,第5 - 6节,正心320,王雅杰
国际商务,2022/8/22,2022/9/18,Monday,13:45,15:30,第5 - 6节,正心320,姜明辉
国际商务,2022/9/26,2022/10/2,Monday,13:45,15:30,第5 - 6节,正心320,王雅杰
管理信息系统,2022/9/5,2022/9/11,Monday,15:45,17:30,第7 - 8节,正心21,冯玉强
管理信息系统,2022/9/12,2022/10/30,Monday,15:45,17:30,第7 - 8节,正心21,邵真
管理信息系统,2022/8/29,2022/9/4,Monday,15:45,17:30,第7 - 8节,正心21,冯玉强
战略管理,2022/8/22,2022/10/23,Monday,8:00,9:45,第1 - 2节,正心310,王民
毛泽东思想和中国特色社会主义理论体系概论(实验),2022/10/29,2022/11/4,Saturday,15:45,17:30,第7 - 8节,正心117,黄钰婉
体育(软式曲棍球),2022/8/26,2022/12/15,Friday,10:00,11:45,第3 - 4节, ,徐磊
管理信息系统,2022/9/9,2022/9/15,Friday,13:45,15:30,第5 - 6节,正心21   ,Douglas Rudy Vogel
管理信息系统,2022/9/2,2022/9/8,Friday,13:45,15:30,第5 - 6节,正心21   ,冯玉强
管理信息系统,2022/9/16,2022/11/3,Friday,13:45,15:30,第5 - 6节,正心21   ,邵真
宏观经济学,2022/9/23,2022/12/22,Friday,15:45,17:30,第7 - 8节,正心332   ,王玲
概率论与数理统计C,2022/8/26,2022/11/24,Friday,8:00,9:45,第1 - 2节,致知41   ,王力
概率论与数理统计C,2022/8/24,2022/11/22,Wednesday,13:45,15:30,第5 - 6节,致知41,王力
学术英语综合(提高),2022/8/24,2022/12/13,Wednesday,10:00,11:45,第3 - 4节,正心303,杨莉萍
战略管理,2022/8/24,2022/10/25,Wednesday,8:00,9:45,第1 - 2节,正心310,王民
