Summary,Start Date,End Date,Weekday,Start Time,End Time,Node,Location,Teacher
马克思主义基本原理(实验),2023/3/30,2023/4/5,Thursday,8:00,9:45,第1 - 2节,正心116,史焕翔
财务管理,2023/2/23,2023/5/3,Thursday,10:00,11:45,第3 - 4节,正心416,刘先伟
应用统计(实验),2023/4/20,2023/4/26,Thursday,18:30,22:15,第9 - 12节,G002,朱洪文
应用统计(实验),2023/4/27,2023/5/3,Thursday,18:30,22:15,第9 - 12节,G002,朱洪文
法律、伦理与社会责任,2023/5/4,2023/6/14,Thursday,10:00,11:45,第3 - 4节,正心416,待定
应用统计,2023/2/23,2023/5/3,Thursday,15:45,17:30,第7 - 8节,正心210,朱洪文
计量经济学,2023/3/20,2023/5/14,Monday,13:45,15:30,第5 - 6节,正心304,李锬
运筹学,2023/2/20,2023/5/14,Monday,10:00,11:45,第3 - 4节,正心210,陈莹
计量经济学,2023/3/22,2023/5/16,Wednesday,13:45,15:30,第5 - 6节,正心304,李锬
英语文化基础(提高),2023/2/22,2023/6/13,Wednesday,10:00,11:45,第3 - 4节,正心217,孙盛萍
运筹学,2023/2/22,2023/5/16,Wednesday,8:00,9:45,第1 - 2节,正心210,陈莹
计量经济学(实验),2023/4/19,2023/5/16,Wednesday,18:30,22:15,第9 - 12节,G002,李锬
财务管理,2023/2/21,2023/5/1,Tuesday,8:00,9:45,第1 - 2节,正心416,刘先伟
法律、伦理与社会责任,2023/5/2,2023/6/12,Tuesday,8:00,9:45,第1 - 2节,正心416,待定
应用统计,2023/2/21,2023/5/1,Tuesday,13:45,15:30,第5 - 6节,正心210,朱洪文
马克思主义基本原理,2023/3/14,2023/6/5,Tuesday,10:00,11:45,第3 - 4节,致知43,史焕翔
形势与政策（2）,2023/4/14,2023/6/8,Friday,8:00,9:45,第1 - 2节,正心31,白雪
马克思主义基本原理,2023/3/17,2023/6/8,Friday,13:45,15:30,第5 - 6节,致知43,史焕翔
