交易额,商户名称,交易日期,交易时间,星期,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳
32,美食林肠粉,2023/4/25,11:44,2,0,7,742.7,755.4,66,10,0,1682394240
19.4,紫丁香餐吧副食一组（中西套餐）,2023/4/24,17:30,1,0,13,750.2,762.8,16,3,0,1682328600
13,学苑食堂香恋香拌砂锅,2023/4/24,11:53,1,0,14,754,766.6,14,7,0,1682308380
6,学苑食堂主食三组（面条）,2023/4/23,18:01,7,0,9,756.8,769.6,18,4,0,1682244060
13.8,阳光小是小简餐,2023/4/23,11:55,7,0,10,758.3,771.1,19,8,0,1682222100
14,学苑食堂副食一组,2023/4/21,18:15,5,0,8,750.7,763.5,18,6,0,1682072100
13.1,阳光副食二组,2023/4/21,11:33,5,0,10,750.1,762.8,22,9,0,1682047980
13.92,阳光副食二组,2023/4/19,17:24,3,0,17,735.7,747.8,37,4,0,1681896240
7.25,学苑食堂包子,2023/4/19,11:53,3,0,15,739.3,751.6,31,5,0,1681876380
11.76,阳光副食二组,2023/4/18,17:16,2,0,14,743,755.4,25,7,0,1681809360
32,美食林肠粉,2023/4/18,11:45,2,0,11,740.6,753.1,44,8,0,1681789500
10,学苑食堂重庆小面,2023/4/17,17:12,1,0,16,743.9,756.2,27,3,0,1681722720
14.6,紫丁香餐吧机器人收银组,2023/4/17,11:57,1,0,16,745.4,757.7,39,4,0,1681703820
5.5,美食林东农豆坊,2023/4/17,9:52,1,0,13,745.7,758.2,44,5,0,1681696320
12,民族餐厅金家店,2023/4/16,12:42,7,1,13,739.9,752.3,47,5,0,1681620120
14,美食林阿咪酱骨扒肉,2023/4/15,12:20,6,1,13,741.5,753.9,33,5,0,1681532400
12,美食林老上客砂锅,2023/4/14,18:12,5,0,9,746.3,759,37,3,0,1681467120
5.8,学苑食堂副食二组,2023/4/14,11:46,5,0,12,748.6,761.2,30,2,0,1681443960
8.5,学苑食堂包子,2023/4/14,11:40,5,0,12,748.6,761.2,30,2,0,1681443600
17,学苑食堂香恋香拌砂锅,2023/4/14,11:34,5,0,12,748.6,761.2,30,2,0,1681443240
12.62,阳光副食二组,2023/4/12,17:24,3,0,10,740.6,753.1,20,6,0,1681291440
24,美食林川蜀源烤鱼,2023/4/12,11:48,3,0,8,740.5,753.1,32,8,0,1681271280
6.7,学苑食堂副食二组,2023/4/12,7:55,3,0,4,738.8,751.6,42,8,0,1681257300
20,学院食堂陕西名小吃,2023/4/11,17:29,2,0,3,737.3,750.1,52,8,0,1681205340
12.62,阳光副食二组,2023/4/11,11:48,2,0,9,732.3,744.7,34,6,0,1681184880
4.1,学苑食堂副食二组,2023/4/11,7:53,2,0,9,733.8,746.3,46,6,1,1681170780
16.4,紫丁香餐吧机器人收银组,2023/4/10,17:23,1,0,16,732.6,744.7,55,7,1,1681118580
26,美食林阿咪酱骨扒肉,2023/4/10,11:43,1,0,17,733.4,745.5,52,13,1,1681098180
13.8,学苑食堂副食一组,2023/4/9,17:14,7,1,20,737.3,749.3,24,6,0,1681031640
13.39,阳光副食二组,2023/4/9,11:57,7,1,19,738,750.1,26,10,0,1681012620
14.8,阳光小是小简餐,2023/4/8,11:47,6,1,9,746.3,759,29,7,0,1680925620
12,美食林老上客砂锅,2023/4/7,18:00,5,0,1,743.9,756.9,41,4,0,1680861600
13,学苑食堂香恋香拌砂锅,2023/4/7,11:44,5,0,3,743.3,756.2,30,9,0,1680839040
14.93,阳光副食二组,2023/4/6,11:45,4,0,11,742.1,754.6,22,2,0,1680752700
14,美食林那小味面馆,2023/4/5,10:47,3,1,9,750.8,763.5,27,2,1,1680662820
32,美食林肠粉,2023/4/4,17:25,2,0,8,754.5,767.3,21,4,0,1680600300
3.6,学苑食堂副食二组,2023/4/4,8:02,2,0,3,759.5,772.7,33,4,0,1680566520
14.21,美食林小猪憨尼麻辣烫,2023/4/3,17:21,1,0,8,754.5,767.3,57,5,0,1680513660
12,民族餐厅金家店,2023/4/2,11:21,7,1,21,749.8,762,29,7,1,1680405660
12,学苑食堂包子,2023/4/1,12:40,6,1,23,746.1,758.2,22,9,1,1680324000
17.4,紫丁香餐吧机器人收银组,2023/3/30,17:38,4,0,14,747.2,759.7,29,2,1,1680169080
14,美食林阿咪酱骨扒肉,2023/3/30,11:48,4,0,15,747.3,759.7,23,6,0,1680148080
4.7,学苑食堂副食一组,2023/3/30,7:48,4,0,11,747.9,760.5,32,2,0,1680133680
13.92,阳光副食二组,2023/3/29,17:27,3,0,18,742.4,754.6,24,9,0,1680082020
26,美食林美美卤肉饭,2023/3/29,11:48,3,0,18,744.7,756.9,28,9,0,1680061680
12.29,阳光副食二组,2023/3/28,17:26,2,0,12,749.4,762,19,5,0,1679995560
18,学苑食堂副食一组,2023/3/28,11:45,2,0,12,751.7,764.3,21,2,0,1679975100
5.7,学苑食堂副食二组,2023/3/28,7:40,2,0,5,752.1,765,39,2,0,1679960400
