交易额,商户名称,交易日期,交易时间,星期,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳,饭点课程_早,饭点课程_午,饭点课程_晚
32.0,美食林肠粉,2023-04-25,11:44,2,0,7,742.7,755.4,66,10,0,1682394240,1,1,0
19.4,紫丁香餐吧副食一组（中西套餐）,2023-04-24,17:30,1,0,13,750.2,762.8,16,3,0,1682328600,0,1,0
13.0,学苑食堂香恋香拌砂锅,2023-04-24,11:53,1,0,14,754.0,766.6,14,7,0,1682308380,0,1,0
6.0,学苑食堂主食三组（面条）,2023-04-23,18:01,7,0,9,756.8,769.6,18,4,0,1682244060,0,0,0
13.8,阳光小是小简餐,2023-04-23,11:55,7,0,10,758.3,771.1,19,8,0,1682222100,0,0,0
14.0,学苑食堂副食一组,2023-04-21,18:15,5,0,8,750.7,763.5,18,6,0,1682072100,1,0,0
13.1,阳光副食二组,2023-04-21,11:33,5,0,10,750.1,762.8,22,9,0,1682047980,1,0,0
13.92,阳光副食二组,2023-04-19,17:24,3,0,17,735.7,747.8,37,4,0,1681896240,1,1,0
7.25,学苑食堂包子,2023-04-19,11:53,3,0,15,739.3,751.6,31,5,0,1681876380,1,1,0
11.76,阳光副食二组,2023-04-18,17:16,2,0,14,743.0,755.4,25,7,0,1681809360,1,1,0
32.0,美食林肠粉,2023-04-18,11:45,2,0,11,740.6,753.1,44,8,0,1681789500,1,1,0
10.0,学苑食堂重庆小面,2023-04-17,17:12,1,0,16,743.9,756.2,27,3,0,1681722720,0,1,0
14.6,紫丁香餐吧机器人收银组,2023-04-17,11:57,1,0,16,745.4,757.7,39,4,0,1681703820,0,1,0
5.5,美食林东农豆坊,2023-04-17,9:52,1,0,13,745.7,758.2,44,5,0,1681696320,0,1,0
12.0,民族餐厅金家店,2023-04-16,12:42,7,1,13,739.9,752.3,47,5,0,1681620120,0,0,0
14.0,美食林阿咪酱骨扒肉,2023-04-15,12:20,6,1,13,741.5,753.9,33,5,0,1681532400,0,0,0
12.0,美食林老上客砂锅,2023-04-14,18:12,5,0,9,746.3,759.0,37,3,0,1681467120,1,0,0
5.8,学苑食堂副食二组,2023-04-14,11:46,5,0,12,748.6,761.2,30,2,0,1681443960,1,0,0
8.5,学苑食堂包子,2023-04-14,11:40,5,0,12,748.6,761.2,30,2,0,1681443600,1,0,0
17.0,学苑食堂香恋香拌砂锅,2023-04-14,11:34,5,0,12,748.6,761.2,30,2,0,1681443240,1,0,0
12.62,阳光副食二组,2023-04-12,17:24,3,0,10,740.6,753.1,20,6,0,1681291440,1,1,0
24.0,美食林川蜀源烤鱼,2023-04-12,11:48,3,0,8,740.5,753.1,32,8,0,1681271280,1,1,0
6.7,学苑食堂副食二组,2023-04-12,7:55,3,0,4,738.8,751.6,42,8,0,1681257300,1,1,0
20.0,学院食堂陕西名小吃,2023-04-11,17:29,2,0,3,737.3,750.1,52,8,0,1681205340,1,1,0
12.62,阳光副食二组,2023-04-11,11:48,2,0,9,732.3,744.7,34,6,0,1681184880,1,1,0
4.1,学苑食堂副食二组,2023-04-11,7:53,2,0,9,733.8,746.3,46,6,1,1681170780,1,1,0
16.4,紫丁香餐吧机器人收银组,2023-04-10,17:23,1,0,16,732.6,744.7,55,7,1,1681118580,0,1,0
26.0,美食林阿咪酱骨扒肉,2023-04-10,11:43,1,0,17,733.4,745.5,52,13,1,1681098180,0,1,0
13.8,学苑食堂副食一组,2023-04-09,17:14,7,1,20,737.3,749.3,24,6,0,1681031640,0,0,0
13.39,阳光副食二组,2023-04-09,11:57,7,1,19,738.0,750.1,26,10,0,1681012620,0,0,0
14.8,阳光小是小简餐,2023-04-08,11:47,6,1,9,746.3,759.0,29,7,0,1680925620,0,0,0
12.0,美食林老上客砂锅,2023-04-07,18:00,5,0,1,743.9,756.9,41,4,0,1680861600,0,0,0
13.0,学苑食堂香恋香拌砂锅,2023-04-07,11:44,5,0,3,743.3,756.2,30,9,0,1680839040,0,0,0
14.93,阳光副食二组,2023-04-06,11:45,4,0,11,742.1,754.6,22,2,0,1680752700,0,1,1
14.0,美食林那小味面馆,2023-04-05,10:47,3,1,9,750.8,763.5,27,2,1,1680662820,1,1,0
32.0,美食林肠粉,2023-04-04,17:25,2,0,8,754.5,767.3,21,4,0,1680600300,1,1,0
3.6,学苑食堂副食二组,2023-04-04,8:02,2,0,3,759.5,772.7,33,4,0,1680566520,1,1,0
14.21,美食林小猪憨尼麻辣烫,2023-04-03,17:21,1,0,8,754.5,767.3,57,5,0,1680513660,0,1,0
12.0,民族餐厅金家店,2023-04-02,11:21,7,1,21,749.8,762.0,29,7,1,1680405660,0,0,0
12.0,学苑食堂包子,2023-04-01,12:40,6,1,23,746.1,758.2,22,9,1,1680324000,0,0,0
17.4,紫丁香餐吧机器人收银组,2023-03-30,17:38,4,0,14,747.2,759.7,29,2,1,1680169080,1,1,1
14.0,美食林阿咪酱骨扒肉,2023-03-30,11:48,4,0,15,747.3,759.7,23,6,0,1680148080,1,1,1
4.7,学苑食堂副食一组,2023-03-30,7:48,4,0,11,747.9,760.5,32,2,0,1680133680,1,1,1
13.92,阳光副食二组,2023-03-29,17:27,3,0,18,742.4,754.6,24,9,0,1680082020,1,1,0
26.0,美食林美美卤肉饭,2023-03-29,11:48,3,0,18,744.7,756.9,28,9,0,1680061680,1,1,0
12.29,阳光副食二组,2023-03-28,17:26,2,0,12,749.4,762.0,19,5,0,1679995560,1,1,0
18.0,学苑食堂副食一组,2023-03-28,11:45,2,0,12,751.7,764.3,21,2,0,1679975100,1,1,0
5.7,学苑食堂副食二组,2023-03-28,7:40,2,0,5,752.1,765.0,39,2,0,1679960400,1,1,0
26.0,美食林阿咪酱骨扒肉,2023-03-27,11:45,1,0,10,749.3,762.0,19,4,0,1679888700,0,1,0
12.0,民族餐厅金家店,2023-03-24,19:18,5,0,-1,754.0,767.3,47,1,0,1679656680,0,0,0
32.0,阳光副食三组,2023-03-23,17:34,4,0,-1,749.6,762.8,37,5,0,1679564040,0,1,1
26.0,美食林阿咪酱骨扒肉,2023-03-22,17:27,3,0,6,741.9,754.6,26,10,1,1679477220,1,1,0
28.0,学院食堂陕西名小吃,2023-03-21,17:22,2,0,14,739.3,751.6,39,5,0,1679390520,1,1,0
3.7,学苑食堂副食三组,2023-03-21,7:49,2,0,7,739.7,752.3,71,6,1,1679356140,1,1,0
12.8,阳光小是小简餐,2023-03-20,17:28,1,0,14,740.0,752.3,39,6,0,1679304480,0,1,0
14.0,美食林那小味面馆,2023-03-19,18:25,7,1,8,743.5,756.2,21,4,0,1679221500,0,0,0
15.6,紫丁香餐吧机器人收银组,2023-03-19,11:56,7,1,14,746.6,759.0,20,6,0,1679198160,0,0,0
11.1,美食林小猪憨尼麻辣烫,2023-03-17,17:11,5,0,5,749.9,762.8,28,7,0,1679044260,0,0,0
6.0,学苑食堂副食三组,2023-03-16,11:50,4,0,-1,754.0,767.3,64,7,0,1678938600,0,1,1
10.0,学苑食堂包子,2023-03-15,17:31,3,0,-3,749.5,762.8,80,4,0,1678872660,1,1,0
19.4,紫丁香餐吧机器人收银组,2023-03-15,11:58,3,0,-1,746.6,759.7,69,8,0,1678852680,1,1,0
3.6,学苑食堂副食三组,2023-03-15,7:56,3,0,-4,744.9,758.2,100,5,1,1678838160,1,1,0
32.0,美食林肠粉,2023-03-14,17:20,2,0,1,742.4,755.4,51,5,0,1678785600,1,1,0
6.7,学苑食堂副食三组,2023-03-14,7:50,2,0,-4,745.7,759.0,54,3,0,1678751400,1,1,0
32.0,美食林肠粉,2023-03-13,11:52,1,0,0,748.1,761.2,25,3,0,1678679520,0,1,0
29.14,淘乐水果捞店,2023-03-12,15:22,7,1,-2,753.3,766.6,34,5,0,1678605720,0,0,0
14.0,美食林阿咪酱骨扒肉,2023-03-12,12:45,7,1,-2,754.0,767.3,34,4,0,1678596300,0,0,0
17.9,紫丁香餐吧机器人收银组,2023-03-11,12:25,6,1,3,757.3,770.4,17,9,0,1678508700,0,0,0
9.72,淘乐水果捞店,2023-03-10,22:27,5,0,6,749.1,762.0,39,9,0,1678458420,0,0,0
10.5,学苑食堂副食三组,2023-03-10,17:41,5,0,12,742.1,754.6,47,6,0,1678441260,0,0,0
10.0,学院食堂陕西名小吃,2023-03-10,11:22,5,0,10,745.1,757.7,40,5,0,1678418520,0,0,0
