Summary,Start Date,End Date,Weekday,Start Time,End Time,Node,Location,Teacher
毛泽东思想和中国特色社会主义理论体系概论,2022/8/26,2022/12/22,Friday,15:45,17:30,第7 - 8节,正心410   ,李晓明
数理逻辑与近世代数,2022/11/18,2022/12/22,Friday,13:45,15:30,第5 - 6节,致知12  ,胡杨
数理逻辑与近世代数,2022/10/28,2022/11/17,Friday,13:45,15:30,第5 - 6节,致知12 ,陈建文
概率论与数理统计B,2022/8/26,2022/12/8,Friday,8:00,9:45,第1 - 2节,正心34  ,张海莹
计算机系统,2022/8/26,2022/11/10,Friday,10:00,11:45,第3 - 4节,致知13 ,刘宏伟
毛泽东思想和中国特色社会主义理论体系概论,2022/8/24,2022/12/20,Wednesday,13:45,15:30,第5 - 6节,正心410,李晓明
计算机科学与工程程序设计实践(实验),2022/8/24,2022/9/6,Wednesday,8:00,11:45,第1 - 4节,G712,骆吉洲
数理逻辑与近世代数,2022/11/23,2022/12/20,Wednesday,10:00,11:45,第3 - 4节,致知12,胡杨
数理逻辑与近世代数,2022/10/26,2022/11/22,Wednesday,10:00,11:45,第3 - 4节,致知12,陈建文
数据结构与算法,2022/9/7,2022/11/22,Wednesday,8:00,9:45,第1 - 2节,正心34,苗东菁
计算机系统(实验),2022/9/14,2022/9/20,Wednesday,15:45,17:30,第7 - 8节,G709,刘宏伟
计算机系统(实验),2022/10/19,2022/10/25,Wednesday,15:45,17:30,第7 - 8节,G709,刘宏伟
计算机系统(实验),2022/9/28,2022/10/4,Wednesday,15:45,17:30,第7 - 8节,G709,刘宏伟
计算机系统(实验),2022/11/2,2022/11/8,Wednesday,15:45,17:30,第7 - 8节,G709,刘宏伟
计算机科学与工程程序设计实践(实验),2022/8/22,2022/9/4,Monday,8:00,11:45,第1 - 4节,G712,骆吉洲
数理逻辑与近世代数,2022/11/21,2022/12/18,Monday,10:00,11:45,第3 - 4节,致知12,胡杨
数理逻辑与近世代数,2022/10/24,2022/11/20,Monday,10:00,11:45,第3 - 4节,致知12,陈建文
数据结构与算法,2022/9/5,2022/11/20,Monday,8:00,9:45,第1 - 2节,正心34,苗东菁
概率论与数理统计B,2022/8/22,2022/12/4,Monday,13:45,15:30,第5 - 6节,正心34,张海莹
毛泽东思想和中国特色社会主义理论体系概论(实验),2022/10/17,2022/10/23,Monday,10:00,11:45,第3 - 4节,正心109,李晓明
计算机科学与工程程序设计实践(实验),2022/8/23,2022/9/5,Tuesday,13:45,17:30,第5 - 8节,G712,骆吉洲
基本乐理,2022/8/30,2022/10/24,Tuesday,18:30,22:15,第9 - 12节,正心122,范美娟
英语科技文献阅读(发展),2022/8/23,2022/12/12,Tuesday,10:00,11:45,第3 - 4节,正心404,刘秀杰
计算机系统,2022/8/23,2022/11/7,Tuesday,8:00,9:45,第1 - 2节,致知13 ,刘宏伟
数字逻辑与数字系统设计,2022/9/6,2022/11/7,Tuesday,13:45,15:30,第5 - 6节,正心532 ,张彦航
计算机科学与工程程序设计实践(实验),2022/8/27,2022/9/9,Saturday,13:45,17:30,第5 - 8节,G712,骆吉洲
数据结构与算法(实验),2022/10/15,2022/10/21,Saturday,10:00,11:45,第3 - 4节,软件学院三楼,苗东菁
数据结构与算法(实验),2022/10/29,2022/11/4,Saturday,10:00,11:45,第3 - 4节,软件学院三楼,苗东菁
数据结构与算法(实验),2022/11/12,2022/11/18,Saturday,10:00,11:45,第3 - 4节,软件学院三楼,苗东菁
体育（户外）,2022/9/1,2022/12/21,Thursday,13:45,15:30,第5 - 6节,体育场,
大学物理实验B,2022/9/1,2022/9/7,Thursday,8:00,11:45,第1 - 4节,正心32,李俊庆
数字逻辑与数字系统设计(实验),2022/11/10,2022/11/16,Thursday,10:00,11:45,第3 - 4节,正心42,张彦航
数字逻辑与数字系统设计,2022/9/8,2022/11/9,Thursday,10:00,11:45,第3 - 4节,正心611,张彦航
数字逻辑与数字系统设计(实验),2022/12/4,2022/12/10,Sunday,13:45,15:30,第5 - 6节,G715,张彦航
数字逻辑与数字系统设计(实验),2022/10/23,2022/11/19,Sunday,13:45,15:30,第5 - 6节,G715,张彦航
