Summary,Start Date,End Date,Weekday,Start Time,End Time,Node,Location,Teacher
算法设计与分析,2023/2/23,2023/4/19,Thursday,10:00,11:45,第3 - 4节,正心11,丁小欧
体育 户外,2023/2/23,2023/6/28,Thursday,13:45,15:30,第5 - 6节,体育场,
形式语言与自动机,2023/2/23,2023/4/19,Thursday,8:00,9:45,第1 - 2节,正心31,王春宇
Web开发技术(实验),2023/3/9,2023/4/5,Thursday,15:45,17:30,第7 - 8节,软件学院三楼,田英鑫
人工智能导论,2023/4/20,2023/5/31,Thursday,8:00,9:45,第1 - 2节,正心31,张宇
算法设计与分析,2023/2/21,2023/4/17,Tuesday,15:45,17:30,第7 - 8节,正心11,丁小欧
国际交流英语(发展),2023/2/21,2023/6/12,Tuesday,10:00,11:45,第3 - 4节,之南[1-16]周正心304,周之南
形式语言与自动机,2023/2/21,2023/4/17,Tuesday,13:45,15:30,第5 - 6节,正心31,王春宇
人工智能导论,2023/4/18,2023/5/29,Tuesday,8:00,9:45,第1 - 2节,正心31,张宇
马克思主义基本原理(实验),2023/4/18,2023/4/24,Tuesday,18:30,20:15,第9 - 10节,正心120,佟宇佳
计算机组成原理(实验),2023/3/18,2023/3/24,Saturday,10:00,11:45,第3 - 4节,G712,张展
计算机组成原理(实验),2023/4/1,2023/4/7,Saturday,10:00,11:45,第3 - 4节,G712,张展
计算机组成原理(实验),2023/4/15,2023/4/21,Saturday,10:00,11:45,第3 - 4节,G712,张展
计算机组成原理(实验),2023/4/29,2023/5/5,Saturday,10:00,11:45,第3 - 4节,G712,张展
马克思主义基本原理,2023/3/17,2023/6/8,Friday,10:00,11:45,第3 - 4节,正心314,佟宇佳
计算机组成原理,2023/2/24,2023/5/4,Friday,8:00,9:45,第1 - 2节,正心522,张展
人工智能导论(实验),2023/5/19,2023/5/25,Friday,18:30,22:15,第9 - 12节,格物207,张宇
人工智能导论(实验),2023/5/26,2023/6/1,Friday,18:30,22:15,第9 - 12节,格物207,张宇
计算理论,2023/4/14,2023/6/8,Friday,13:45,15:30,第5 - 6节,格物201,刘显敏
马克思主义基本原理,2023/3/15,2023/6/6,Wednesday,15:45,17:30,第7 - 8节,致知12,佟宇佳
形势与政策（2）,2023/4/19,2023/5/16,Wednesday,13:45,15:30,第5 - 6节,致知22,由田
软件构造,2023/2/22,2023/4/18,Wednesday,8:00,9:45,第1 - 2节,正心12,刘铭
计算理论,2023/4/12,2023/6/6,Wednesday,10:00,11:45,第3 - 4节,格物201,刘显敏
Web开发技术,2023/2/22,2023/4/4,Wednesday,10:00,11:45,第3 - 4节,正心14,田英鑫
形势与政策（2）,2023/4/17,2023/5/14,Monday,13:45,15:30,第5 - 6节,致知22,由田
计算机组成原理,2023/2/20,2023/4/30,Monday,10:00,11:45,第3 - 4节,正心522,张展
软件构造,2023/2/20,2023/4/16,Monday,8:00,9:45,第1 - 2节,正心12,刘铭
Web开发技术,2023/2/20,2023/4/2,Monday,15:45,17:30,第7 - 8节,正心14,田英鑫
