交易额,商户名称,交易日期,交易时间,星期,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳,饭点课程_早,饭点课程_午,饭点课程_晚
15.0,学苑食堂香恋香拌砂锅,2023-04-25,17:24,2,0,2,744.0,756.9,93,4,1,1682414640.0,1,1,0
5.1,学苑食堂副食二组,2023-04-25,7:52,2,0,12,742.1,754.6,33,5,0,1682380320.0,1,1,0
6.0,紫丁香餐吧主食一组,2023-04-24,17:35,1,0,13,750.2,762.8,16,3,0,1682328900.0,0,1,0
17.4,紫丁香餐吧机器人收银组,2023-04-24,17:31,1,0,13,750.2,762.8,16,3,0,1682328660.0,0,1,0
17.0,学苑食堂香恋香拌砂锅,2023-04-24,11:44,1,0,14,754.0,766.6,14,7,0,1682307840.0,0,1,0
14.0,学院食堂陕西名小吃,2023-04-23,18:02,7,0,9,756.8,769.6,18,4,0,1682244120.0,0,0,0
13.8,阳光小是小简餐,2023-04-23,11:56,7,0,10,758.3,771.1,19,8,0,1682222160.0,0,0,0
20.0,学院食堂陕西名小吃,2023-04-21,18:16,5,0,8,750.7,763.5,18,6,0,1682072160.0,1,1,0
14.8,阳光小是小简餐,2023-04-21,11:47,5,0,10,750.1,762.8,22,9,0,1682048820.0,1,1,0
4.6,学苑食堂副食二组,2023-04-21,7:47,5,0,4,750.5,763.5,39,9,0,1682034420.0,1,1,0
16.0,美食林肠粉,2023-04-20,17:26,4,0,10,743.6,756.2,14,10,0,1681982760.0,1,0,0
12.0,美食林阿咪酱骨扒肉,2023-04-20,17:24,4,0,10,743.6,756.2,14,10,0,1681982640.0,1,0,0
20.0,学院食堂陕西名小吃,2023-04-20,11:39,4,0,11,741.4,753.9,12,13,1,1681961940.0,1,0,0
14.64,阳光副食二组,2023-04-19,17:26,3,0,17,735.7,747.8,37,4,0,1681896360.0,0,1,1
17.0,学苑食堂香恋香拌砂锅,2023-04-19,11:48,3,0,15,739.3,751.6,31,5,0,1681876080.0,0,1,1
10.8,阳光小是小简餐,2023-04-18,17:22,2,0,14,743.0,755.4,25,7,0,1681809720.0,1,1,0
17.0,学苑食堂香恋香拌砂锅,2023-04-17,17:09,1,0,16,743.9,756.2,27,3,0,1681722540.0,0,1,0
16.4,紫丁香餐吧机器人收银组,2023-04-17,11:58,1,0,16,745.4,757.7,39,4,0,1681703880.0,0,1,0
11.5,美食林东农豆坊,2023-04-17,9:52,1,0,13,745.7,758.2,44,5,0,1681696320.0,0,1,0
9.0,民族餐厅山西饸饹面,2023-04-16,12:43,7,1,13,739.9,752.3,47,5,0,1681620180.0,0,0,0
11.84,美食林小猪憨尼麻辣烫,2023-04-15,12:22,6,1,13,741.5,753.9,33,5,0,1681532520.0,0,1,0
7.7,学苑食堂包子,2023-04-15,9:54,6,1,11,742.9,755.4,41,6,0,1681523640.0,0,1,0
11.0,美食林老上客砂锅,2023-04-14,18:13,5,0,9,746.3,759.0,37,3,0,1681467180.0,1,1,0
11.16,学苑食堂副食二组,2023-04-14,11:46,5,0,12,748.6,761.2,30,2,0,1681443960.0,1,1,0
4.6,学苑食堂副食二组,2023-04-14,7:56,5,0,6,749.9,762.8,46,1,0,1681430160.0,1,1,0
11.0,学苑食堂主食三组（面条）,2023-04-13,17:25,4,0,11,745.6,758.2,32,5,0,1681377900.0,1,1,0
32.0,美食林肠粉,2023-04-13,11:49,4,0,11,745.1,757.7,30,5,0,1681357740.0,1,1,0
4.6,学苑食堂副食二组,2023-04-13,7:54,4,0,5,744.9,757.7,53,3,0,1681343640.0,1,1,0
12.43,阳光副食二组,2023-04-12,17:23,3,0,10,740.6,753.1,20,6,0,1681291380.0,1,1,1
4.6,学苑食堂副食二组,2023-04-12,8:03,3,0,4,738.8,751.6,42,8,0,1681257780.0,1,1,1
16.0,美食林肠粉,2023-04-11,11:49,2,0,9,732.3,744.7,34,6,0,1681184940.0,0,1,1
14.4,紫丁香餐吧副食一组（中西套餐）,2023-04-10,17:23,1,0,16,732.6,744.7,55,7,1,1681118580.0,1,1,0
