Summary,Start Date,End Date,Weekday,Start Time,End Time,Node,Location,Teacher
计算机科学与工程程序设计实践(实验),2022-08-22,2022-08-28,Monday,08:00,11:45,第1 - 4节,G712,骆吉洲
计算机科学与工程程序设计实践(实验),2022-08-29,2022-09-04,Monday,08:00,11:45,第1 - 4节,G712,骆吉洲
数据结构与算法,2022-09-05,2022-11-20,Monday,08:00,09:45,第1 - 2节,正心34,苗东菁
概率论与数理统计B,2022-08-22,2022-12-04,Monday,13:45,15:30,第5 - 6节,正心22,方茹
毛泽东思想和中国特色社会主义理论体系概论(实验),2022-10-17,2022-10-23,Monday,10:00,11:45,第3 - 4节,正心109,李晓明
数理逻辑与近世代数,2022-10-24,2022-11-13,Monday,10:00,11:45,第3 - 4节,致知12,陈建文
数理逻辑与近世代数,2022-11-14,2022-11-20,Monday,10:00,11:45,第3 - 4节,致知12,陈建文
数理逻辑与近世代数,2022-11-21,2022-11-27,Monday,10:00,11:45,第3 - 4节,致知12,胡杨
数理逻辑与近世代数,2022-12-05,2022-12-11,Monday,10:00,11:45,第3 - 4节,致知12,胡杨
数理逻辑与近世代数,2022-12-12,2022-12-18,Monday,10:00,11:45,第3 - 4节,致知12,胡杨
数理逻辑与近世代数,2022-11-28,2022-12-04,Monday,10:00,11:45,第3 - 4节,线上教学,胡杨
计算机科学与工程程序设计实践(实验),2022-08-24,2022-08-30,Wednesday,08:00,11:45,第1 - 4节,G712,骆吉洲
计算机科学与工程程序设计实践(实验),2022-08-31,2022-09-06,Wednesday,08:00,11:45,第1 - 4节,G712,骆吉洲
数据结构与算法,2022-09-07,2022-09-13,Wednesday,08:00,09:45,第1 - 2节,正心34,苗东菁
数据结构与算法,2022-09-21,2022-11-22,Wednesday,08:00,09:45,第1 - 2节,正心34,苗东菁
数理逻辑与近世代数,2022-10-26,2022-11-15,Wednesday,10:00,11:45,第3 - 4节,致知12,陈建文
数理逻辑与近世代数,2022-11-16,2022-11-22,Wednesday,10:00,11:45,第3 - 4节,致知12,陈建文
数理逻辑与近世代数,2022-11-23,2022-11-29,Wednesday,10:00,11:45,第3 - 4节,致知12,胡杨
数理逻辑与近世代数,2022-12-07,2022-12-13,Wednesday,10:00,11:45,第3 - 4节,致知12,胡杨
数理逻辑与近世代数,2022-12-14,2022-12-20,Wednesday,10:00,11:45,第3 - 4节,致知12,胡杨
数理逻辑与近世代数,2022-11-30,2022-12-06,Wednesday,10:00,11:45,第3 - 4节,线上教学,胡杨
毛泽东思想和中国特色社会主义理论体系概论,2022-08-24,2022-12-20,Wednesday,13:45,15:30,第5 - 6节,正心410,李晓明
计算机系统(实验),2022-09-14,2022-09-20,Wednesday,15:45,17:30,第7 - 8节,G709,刘宏伟
计算机系统(实验),2022-09-28,2022-10-04,Wednesday,15:45,17:30,第7 - 8节,G709,刘宏伟
计算机系统(实验),2022-10-19,2022-10-25,Wednesday,15:45,17:30,第7 - 8节,G709,刘宏伟
计算机系统(实验),2022-11-02,2022-11-08,Wednesday,15:45,17:30,第7 - 8节,G709,刘宏伟
计算机科学与工程程序设计实践(实验),2022-08-23,2022-08-29,Tuesday,13:45,17:30,第5 - 8节,G712,骆吉洲
计算机科学与工程程序设计实践(实验),2022-08-30,2022-09-05,Tuesday,13:45,17:30,第5 - 8节,G712,骆吉洲
计算机系统,2022-08-23,2022-11-07,Tuesday,08:00,09:45,第1 - 2节,致知13,刘宏伟
学术英语综合(提高),2022-08-23,2022-12-12,Tuesday,10:00,11:45,第3 - 4节,胜绪[1-16]周正心418,周胜绪
数字逻辑与数字系统设计,2022-09-06,2022-11-07,Tuesday,13:45,15:30,第5 - 6节,正心532,张彦航
计算机科学与工程程序设计实践(实验),2022-08-27,2022-09-02,Saturday,13:45,17:30,第5 - 8节,G712,骆吉洲
计算机科学与工程程序设计实践(实验),2022-09-03,2022-09-09,Saturday,13:45,17:30,第5 - 8节,G712,骆吉洲
数据结构与算法,2022-09-24,2022-09-30,Saturday,10:00,11:45,第3 - 4节,正心34,苗东菁
数据结构与算法(实验),2022-10-15,2022-10-21,Saturday,10:00,11:45,第3 - 4节,软件学院三楼,苗东菁
数据结构与算法(实验),2022-10-29,2022-11-04,Saturday,10:00,11:45,第3 - 4节,软件学院三楼,苗东菁
数据结构与算法(实验),2022-11-12,2022-11-18,Saturday,10:00,11:45,第3 - 4节,软件学院三楼,苗东菁
计算机系统,2022-08-26,2022-11-10,Friday,10:00,11:45,第3 - 4节,致知13,刘宏伟
概率论与数理统计B,2022-08-26,2022-12-08,Friday,08:00,09:45,第1 - 2节,正心22,方茹
数理逻辑与近世代数,2022-10-28,2022-11-17,Friday,13:45,15:30,第5 - 6节,致知12,陈建文
数理逻辑与近世代数,2022-11-18,2022-11-24,Friday,13:45,15:30,第5 - 6节,致知12,胡杨
数理逻辑与近世代数,2022-11-25,2022-12-01,Friday,13:45,15:30,第5 - 6节,致知12,胡杨
数理逻辑与近世代数,2022-12-09,2022-12-15,Friday,13:45,15:30,第5 - 6节,致知12,胡杨
数理逻辑与近世代数,2022-12-16,2022-12-22,Friday,13:45,15:30,第5 - 6节,致知12,胡杨
数理逻辑与近世代数,2022-12-02,2022-12-08,Friday,13:45,15:30,第5 - 6节,线上教学,胡杨
毛泽东思想和中国特色社会主义理论体系概论,2022-08-26,2022-12-22,Friday,15:45,17:30,第7 - 8节,正心410,李晓明
大学物理实验B,2022-09-01,2022-09-07,Thursday,08:00,11:45,第1 - 4节,正心32,李俊庆
数字逻辑与数字系统设计(实验),2022-11-10,2022-11-16,Thursday,10:00,11:45,第3 - 4节,正心611,张彦航
数字逻辑与数字系统设计,2022-09-08,2022-11-09,Thursday,10:00,11:45,第3 - 4节,正心611,张彦航
