amount,merchant_name,date,time,weekday,holiday,temperature,station_pressure,sea_level_pressure,relative_humidity,windspeed,special_weather,timestamp,meal_course_breakfast,meal_course_lunch,meal_course_dinner,merchant_code
32.0,民族餐厅德澳士,2023-04-25,17:24,2,0,2,744.0,756.9,93,4,1,1682414640.0,1,1,0,54
8.0,美食林榆林镇筋饼,2023-04-25,11:45,2,0,7,742.7,755.4,66,10,0,1682394300.0,1,1,0,53
13.8,美食林同乐妈妈菜,2023-04-24,11:54,1,0,14,754.0,766.6,14,7,0,1682308440.0,0,1,0,66
18.0,美食林那小味面馆,2023-04-23,17:19,7,0,10,756.8,769.6,16,6,0,1682241540.0,0,0,0,22
16.0,美食林肠粉,2023-04-23,12:04,7,0,10,758.3,771.1,19,8,0,1682222640.0,0,0,0,25
16.0,美食林肠粉,2023-04-21,16:52,5,0,9,750.1,762.8,13,8,0,1682067120.0,1,1,0,25
15.0,民族餐厅金家店,2023-04-21,11:49,5,0,10,750.1,762.8,22,9,0,1682048940.0,1,1,0,28
11.71,阳光副食二组,2023-04-20,17:20,4,0,10,743.6,756.2,14,10,0,1681982400.0,1,0,0,15
12.6,紫丁香餐吧机器人收银组,2023-04-20,11:33,4,0,11,741.4,753.9,12,13,1,1681961580.0,1,0,0,3
8.0,友来副食一组,2023-04-19,17:29,3,0,17,735.7,747.8,37,4,0,1681896540.0,0,1,1,38
25.0,民族餐厅金家店,2023-04-19,11:50,3,0,15,739.3,751.6,31,5,0,1681876200.0,0,1,1,28
29.0,百味佳副食一组,2023-04-18,11:50,2,0,11,740.6,753.1,44,8,0,1681789800.0,1,1,0,5
9.6,一区饺子园凉菜组,2023-04-17,17:42,1,0,14,743.8,756.2,33,3,0,1681724520.0,0,1,0,46
13.0,美食林酸辣粉烤肉拌饭,2023-04-17,12:01,1,0,16,745.4,757.7,39,4,0,1681704060.0,0,1,0,67
12.05,阳光副食二组,2023-04-15,16:56,6,1,13,739.2,751.6,28,5,0,1681548960.0,0,1,1,15
8.0,美食林肠粉,2023-04-15,12:20,6,1,13,741.5,753.9,33,5,0,1681532400.0,0,1,1,25
19.3,回味斋一餐厅副食一组,2023-04-14,17:26,5,0,11,746.4,759.0,32,3,0,1681464360.0,1,1,0,4
12.0,美食林榆林镇筋饼,2023-04-14,11:52,5,0,12,748.6,761.2,30,2,0,1681444320.0,1,1,0,53
3.6,百味佳副食一组,2023-04-14,7:26,5,0,3,749.8,762.8,65,2,0,1681428360.0,1,1,0,5
14.4,紫丁香餐吧机器人收银组,2023-04-13,17:29,4,0,11,745.6,758.2,32,5,0,1681378140.0,1,1,0,3
9.0,学苑食堂凉菜组,2023-04-13,11:48,4,0,11,745.1,757.7,30,5,0,1681357680.0,1,1,0,68
6.5,美食林东农豆坊,2023-04-13,8:54,4,0,8,745.0,757.7,40,4,0,1681347240.0,1,1,0,26
13.73,阳光副食二组,2023-04-12,17:24,3,0,10,740.6,753.1,20,6,0,1681291440.0,1,1,1,15
12.0,美食林美美卤肉饭,2023-04-12,11:52,3,0,8,740.5,753.1,32,8,0,1681271520.0,1,1,1,20
6.5,美食林东农豆坊,2023-04-12,9:48,3,0,6,739.6,752.3,36,8,0,1681264080.0,1,1,1,26
16.0,美食林肠粉,2023-04-11,11:47,2,0,9,732.3,744.7,34,6,0,1681184820.0,0,1,1,25
3.6,百味佳副食一组,2023-04-11,7:27,2,0,9,733.8,746.3,46,3,1,1681169220.0,0,1,1,5
11.0,美食林榆林镇筋饼,2023-04-10,17:20,1,0,16,732.6,744.7,55,7,1,1681118400.0,1,1,0,53
15.8,美食林酸辣粉烤肉拌饭,2023-04-10,11:45,1,0,17,733.4,745.5,52,13,1,1681098300.0,1,1,0,67
2.85,百味佳副食一组,2023-04-10,9:31,1,0,16,734.1,746.3,48,10,1,1681090260.0,1,1,0,5
12.4,百味佳副食一组,2023-04-09,11:41,7,1,19,738.0,750.1,26,10,0,1681011660.0,0,0,0,5
28.4,紫丁香餐吧机器人收银组,2023-04-08,17:53,6,1,8,744.2,756.9,25,3,0,1680947580.0,0,0,1,3
16.0,美食林肠粉,2023-04-08,11:34,6,1,9,746.3,759.0,29,7,0,1680924840.0,0,0,1,25
8.0,民族餐厅山西饸饹面,2023-04-07,11:42,5,0,3,743.3,756.2,30,9,0,1680838920.0,1,1,0,10
14.0,美食林榆林镇筋饼,2023-04-06,17:21,4,0,10,740.6,753.1,22,2,0,1680772860.0,1,1,0,53
12.48,阳光副食二组,2023-04-06,11:58,4,0,11,742.1,754.6,22,2,0,1680753480.0,1,1,0,15
14.2,民族餐厅旋转小火锅,2023-04-05,17:58,3,1,9,747.0,759.7,27,2,1,1680688680.0,1,0,1,33
