,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳,Mealtime_N,Mealtime_A,Mealtime_E,Eight
0,20.5,2022/11/30 17:28,民族餐厅旋转小火锅,2022-11-30,17:28,0,-17,754.8,768.9,55,4,0,1669800480.0,0,0,0,0
1,3.6,2022/11/30 09:09,百味佳副食一组,2022-11-30,09:09,0,-18,754.7,768.9,65,7,0,1669770540.0,0,0,0,0
2,12.0,2022/11/29 16:59,美食林90后串炒饭,2022-11-29,16:59,0,-14,751.9,765.8,72,6,0,1669712340.0,0,0,0,1
3,17.1,2022/11/29 11:52,百味佳副食一组,2022-11-29,11:52,0,-12,749.7,763.5,85,9,1,1669693920.0,0,0,0,1
4,13.0,2022/11/28 16:15,美食林老上客砂锅,2022-11-28,16:15,0,-9,749.2,762.8,86,5,0,1669623300.0,1,0,0,0
5,13.0,2022/11/28 11:52,民族餐厅铁板料理,2022-11-28,11:52,0,-6,750.8,764.3,80,6,0,1669607520.0,1,0,0,0
6,9.4,2022/11/27 11:49,百味佳副食一组,2022-11-27,11:49,1,-7,750.0,763.5,79,4,0,1669520940.0,-1,-1,-1,-1
7,15.0,2022/11/26 17:28,美食林陕西刀削面(川无界),2022-11-26,17:28,1,-10,749.8,763.5,67,3,0,1669454880.0,-1,-1,-1,-1
8,12.8,2022/11/26 12:14,阳光小是小简餐,2022-11-26,12:14,1,-6,747.8,761.2,58,6,0,1669436040.0,-1,-1,-1,-1
9,4.7,2022/11/26 08:30,百味佳副食一组,2022-11-26,08:30,1,-9,747.0,760.5,73,6,0,1669422600.0,-1,-1,-1,-1
10,20.0,2022/11/25 17:35,美食林真牛铁板,2022-11-25,17:35,0,-4,739.9,753.1,93,6,1,1669368900.0,1,0,0,0
11,17.0,2022/11/25 11:50,百味佳副食一组,2022-11-25,11:50,0,0,739.3,752.3,87,4,1,1669348200.0,1,0,0,0
12,2.0,2022/11/24 17:50,学苑食堂副食三组,2022-11-24,17:50,0,0,745.1,758.2,87,4,1,1669283400.0,0,0,0,0
13,16.28,2022/11/24 17:16,美食林小猪憨尼麻辣烫,2022-11-24,17:16,0,0,745.9,759.0,80,4,1,1669281360.0,0,0,0,0
14,17.9,2022/11/24 11:49,百味佳副食一组,2022-11-24,11:49,0,1,748.1,761.2,56,4,0,1669261740.0,0,0,0,0
15,16.0,2022/11/23 17:42,学苑食堂副食三组,2022-11-23,17:42,0,-6,752.3,765.8,74,2,0,1669196520.0,0,0,0,0
16,10.0,2022/11/23 11:37,民族餐厅山西饸饹面,2022-11-23,11:37,0,-1,751.1,764.3,64,3,0,1669174620.0,0,0,0,0
17,4.45,2022/11/23 08:44,百味佳副食一组,2022-11-23,08:44,0,-4,751.6,765.0,86,1,0,1669164240.0,0,0,0,0
18,12.43,2022/11/22 17:50,美食林小猪憨尼麻辣烫,2022-11-22,17:50,0,-5,753.8,767.3,74,2,0,1669110600.0,0,0,0,1
19,12.4,2022/11/22 11:51,百味佳副食一组,2022-11-22,11:51,0,0,755.6,768.9,55,2,0,1669089060.0,0,0,0,1
20,4.25,2022/11/22 07:47,百味佳展销组,2022-11-22,07:47,0,-9,755.9,769.6,86,1,0,1669074420.0,0,0,0,1
21,10.0,2022/11/21 17:33,美食林真牛铁板,2022-11-21,17:33,0,-4,754.7,768.1,54,3,0,1669023180.0,1,0,0,0
22,50.9,2022/11/21 11:47,百味佳副食一组,2022-11-21,11:47,0,-2,754.8,768.1,43,4,0,1669002420.0,1,0,0,0
23,11.0,2022/11/18 17:48,学苑食堂副食三组,2022-11-18,17:48,0,-1,758.5,771.9,86,2,0,1668764880.0,1,0,0,0
