,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳,Mealtime_N,Mealtime_A,Mealtime_E,Eight
0,13.0,2022/11/30 18:06,民族餐厅金家店,2022-11-30,18:06,0,-19,754.7,768.9,65,4,0,1669802760.0,0,0,0,0
1,15.0,2022/11/30 12:35,学苑食堂香恋香拌砂锅,2022-11-30,12:35,0,-15,754.1,768.1,51,9,0,1669782900.0,0,0,0,0
2,11.0,2022/11/29 12:11,学苑食堂包子,2022-11-29,12:11,0,-12,749.7,763.5,85,9,1,1669695060.0,0,0,0,0
3,8.0,2022/11/28 16:51,美食林真牛铁板,2022-11-28,16:51,0,-9,749.9,763.5,86,5,0,1669625460.0,0,0,0,0
4,12.0,2022/11/28 16:39,美食林老上客砂锅,2022-11-28,16:39,0,-9,749.9,763.5,86,5,0,1669624740.0,0,0,0,0
5,14.0,2022/11/28 12:11,学苑食堂副食三组,2022-11-28,12:11,0,-6,750.8,764.3,80,6,0,1669608660.0,0,0,0,0
6,12.24,2022/11/26 17:18,阳光副食二组,2022-11-26,17:18,1,-10,749.8,763.5,67,3,0,1669454280.0,-1,-1,-1,-1
7,14.65,2022/11/25 17:38,美食林小猪憨尼麻辣烫,2022-11-25,17:38,0,-4,739.9,753.1,93,6,1,1669369080.0,0,0,0,0
8,11.0,2022/11/25 12:11,学苑食堂包子,2022-11-25,12:11,0,0,739.3,752.3,87,4,1,1669349460.0,0,0,0,0
9,17.0,2022/11/24 18:32,学苑食堂香恋香拌砂锅,2022-11-24,18:32,0,0,745.1,758.2,93,4,1,1669285920.0,0,0,0,0
10,15.0,2022/11/24 12:13,阳光川蜀源烤鱼,2022-11-24,12:13,0,1,748.1,761.2,56,4,0,1669263180.0,0,0,0,0
11,10.0,2022/11/23 18:50,学院食堂陕西名小吃,2022-11-23,18:50,0,-6,752.3,765.8,74,2,0,1669200600.0,0,0,0,0
12,2.0,2022/11/23 12:10,学苑食堂主食二组,2022-11-23,12:10,0,-1,751.1,764.3,64,3,0,1669176600.0,0,0,0,0
13,10.0,2022/11/23 11:59,学苑食堂副食三组,2022-11-23,11:59,0,-1,751.1,764.3,64,3,0,1669175940.0,0,0,0,0
14,10.0,2022/11/22 18:46,学院食堂陕西名小吃,2022-11-22,18:46,0,-6,753.8,767.3,74,2,0,1669113960.0,0,0,0,0
15,12.0,2022/11/22 11:58,美食林陕西刀削面(川无界),2022-11-22,11:58,0,0,755.6,768.9,55,2,0,1669089480.0,0,0,0,0
16,12.0,2022/11/21 17:13,美食林老上客砂锅,2022-11-21,17:13,0,-5,754.6,768.1,58,3,0,1669021980.0,0,0,0,0
17,8.0,2022/11/21 12:06,学苑食堂包子,2022-11-21,12:06,0,-2,754.8,768.1,43,4,0,1669003560.0,0,0,0,0
18,8.0,2022/11/20 17:37,学苑食堂重庆小面,2022-11-20,17:37,1,-5,752.4,765.8,63,4,0,1668937020.0,-1,-1,-1,-1
19,19.0,2022/11/19 18:15,学苑食堂香恋香拌砂锅,2022-11-19,18:15,1,5,745.4,758.2,93,8,1,1668852900.0,-1,-1,-1,-1
20,11.64,2022/11/19 11:29,阳光副食二组,2022-11-19,11:29,1,5,748.3,761.2,57,7,0,1668828540.0,-1,-1,-1,-1
21,12.0,2022/11/18 16:48,美食林老上客砂锅,2022-11-18,16:48,0,-1,757.8,771.1,80,3,0,1668761280.0,0,0,0,0
22,10.0,2022/11/18 11:25,学苑食堂副食三组,2022-11-18,11:25,0,4,758.0,771.1,56,1,0,1668741900.0,0,0,0,0
23,11.0,2022/11/17 17:00,学苑食堂包子,2022-11-17,17:00,0,2,748.2,761.2,81,4,0,1668675600.0,0,0,0,0
24,10.6,2022/11/17 11:48,百味佳主食二组,2022-11-17,11:48,0,3,749.0,762.0,65,5,0,1668656880.0,0,0,0,0
25,12.0,2022/11/16 18:06,美食林老上客砂锅,2022-11-16,18:06,0,-4,749.5,762.8,86,1,0,1668593160.0,0,0,0,0
26,15.0,2022/11/16 12:13,阳光川蜀源烤鱼,2022-11-16,12:13,0,2,748.2,761.2,60,3,0,1668571980.0,0,0,0,0
27,10.0,2022/11/15 16:59,学院食堂陕西名小吃,2022-11-15,16:59,0,-5,747.2,760.5,93,2,1,1668502740.0,0,0,0,0
28,18.0,2022/11/15 12:14,学苑食堂香恋香拌砂锅,2022-11-15,12:14,0,-1,747.3,760.5,80,4,0,1668485640.0,0,0,0,0
29,12.28,2022/11/14 17:23,美食林小猪憨尼麻辣烫,2022-11-14,17:23,0,-4,747.2,760.5,80,2,1,1668417780.0,0,0,0,0
30,3.0,2022/11/14 12:15,民族餐厅真味主题烧烤吧,2022-11-14,12:15,0,-3,747.3,760.5,69,4,0,1668399300.0,0,0,0,0
31,13.0,2022/11/14 12:05,民族餐厅金家店,2022-11-14,12:05,0,-3,747.3,760.5,69,4,0,1668398700.0,0,0,0,0
