,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳,Mealtime_N,Mealtime_A,Mealtime_E,Eight
0,12.0,2022/11/30 18:06,民族餐厅金家店,2022-11-30,18:06,0,-19,754.7,768.9,65,4,0,1669802760.0,0,0,0,0
1,17.0,2022/11/30 12:36,学苑食堂香恋香拌砂锅,2022-11-30,12:36,0,-15,754.1,768.1,51,9,0,1669782960.0,0,0,0,0
2,6.0,2022/11/29 12:11,学苑食堂包子,2022-11-29,12:11,0,-12,749.7,763.5,85,9,1,1669695060.0,0,0,0,0
3,13.0,2022/11/28 16:39,美食林老上客砂锅,2022-11-28,16:39,0,-9,749.9,763.5,86,5,0,1669624740.0,0,0,0,0
4,18.0,2022/11/28 12:14,学苑食堂副食三组,2022-11-28,12:14,0,-6,750.8,764.3,80,6,0,1669608840.0,0,0,0,0
5,14.02,2022/11/26 17:26,阳光副食二组,2022-11-26,17:26,1,-10,749.8,763.5,67,3,0,1669454760.0,-1,-1,-1,-1
6,34.0,2022/11/26 12:11,学苑食堂香恋香拌砂锅,2022-11-26,12:11,1,-6,747.8,761.2,58,6,0,1669435860.0,-1,-1,-1,-1
7,2.0,2022/11/25 18:21,学苑食堂副食三组,2022-11-25,18:21,0,-4,739.9,753.1,93,6,1,1669371660.0,0,0,0,0
8,15.69,2022/11/25 17:39,美食林小猪憨尼麻辣烫,2022-11-25,17:39,0,-4,739.9,753.1,93,6,1,1669369140.0,0,0,0,0
9,10.0,2022/11/25 12:16,学苑食堂包子,2022-11-25,12:16,0,0,739.3,752.3,87,4,1,1669349760.0,0,0,0,0
10,12.0,2022/11/24 18:32,学苑食堂香恋香拌砂锅,2022-11-24,18:32,0,0,745.1,758.2,93,4,1,1669285920.0,0,0,0,0
11,10.6,2022/11/24 18:31,学苑食堂副食三组,2022-11-24,18:31,0,0,745.1,758.2,93,4,1,1669285860.0,0,0,0,0
12,15.0,2022/11/24 12:13,阳光川蜀源烤鱼,2022-11-24,12:13,0,1,748.1,761.2,56,4,0,1669263180.0,0,0,0,0
13,10.0,2022/11/23 18:50,学院食堂陕西名小吃,2022-11-23,18:50,0,-6,752.3,765.8,74,2,0,1669200600.0,0,0,0,0
14,13.0,2022/11/23 11:58,学苑食堂副食三组,2022-11-23,11:58,0,-1,751.1,764.3,64,3,0,1669175880.0,0,0,0,0
15,14.0,2022/11/22 18:46,学院食堂陕西名小吃,2022-11-22,18:46,0,-6,753.8,767.3,74,2,0,1669113960.0,0,0,0,0
16,2.0,2022/11/22 12:23,学苑食堂副食三组,2022-11-22,12:23,0,0,755.6,768.9,55,2,0,1669090980.0,0,0,0,0
17,15.0,2022/11/22 11:58,美食林陕西刀削面(川无界),2022-11-22,11:58,0,0,755.6,768.9,55,2,0,1669089480.0,0,0,0,0
18,2.0,2022/11/21 17:58,学苑食堂副食三组,2022-11-21,17:58,0,-4,754.7,768.1,54,3,0,1669024680.0,0,0,0,0
19,13.0,2022/11/21 17:13,美食林老上客砂锅,2022-11-21,17:13,0,-5,754.6,768.1,58,3,0,1669021980.0,0,0,0,0
20,10.0,2022/11/21 12:11,学苑食堂包子,2022-11-21,12:11,0,-2,754.8,768.1,43,4,0,1669003860.0,0,0,0,0
21,2.0,2022/11/20 18:01,学苑食堂副食三组,2022-11-20,18:01,1,-5,752.4,765.8,63,4,0,1668938460.0,-1,-1,-1,-1
22,13.0,2022/11/20 17:37,学苑食堂重庆小面,2022-11-20,17:37,1,-5,752.4,765.8,63,4,0,1668937020.0,-1,-1,-1,-1
23,5.0,2022/11/19 18:16,学苑食堂副食三组,2022-11-19,18:16,1,5,745.4,758.2,93,8,1,1668852960.0,-1,-1,-1,-1
