Summary,Start Date,End Date,Weekday,Start Time,End Time,Node,Location,Teacher
人工智能程序设计实践 (实验),2022-08-22,2022-08-28,Monday,08:00,11:45,第1 - 4节,格物213,关毅
人工智能程序设计实践 (实验),2022-08-29,2022-09-04,Monday,08:00,11:45,第1 - 4节,格物213,关毅
数据结构与算法,2022-09-05,2022-11-20,Monday,08:00,09:45,第1 - 2节,正心527,李秀坤
数理逻辑与近世代数,2022-10-24,2022-10-30,Monday,10:00,11:45,第3 - 4节,线上教学,李涛
数理逻辑与近世代数,2022-10-31,2022-11-06,Monday,10:00,11:45,第3 - 4节,线上教学,李涛
数理逻辑与近世代数,2022-11-21,2022-11-27,Monday,10:00,11:45,第3 - 4节,线上教学,李涛
数理逻辑与近世代数,2022-12-05,2022-12-11,Monday,10:00,11:45,第3 - 4节,线上教学,李涛
数理逻辑与近世代数,2022-12-12,2022-12-18,Monday,10:00,11:45,第3 - 4节,线上教学,李涛
数理逻辑与近世代数,2022-11-07,2022-11-13,Monday,10:00,11:45,第3 - 4节,线上教学,李涛
数理逻辑与近世代数,2022-11-14,2022-11-20,Monday,10:00,11:45,第3 - 4节,线上教学,李涛
数理逻辑与近世代数,2022-11-28,2022-12-04,Monday,10:00,11:45,第3 - 4节,线上教学,李涛
概率论与数理统计B,2022-08-22,2022-11-20,Monday,15:45,17:30,第7 - 8节,线上教学,方茹
概率论与数理统计B,2022-11-28,2022-12-04,Monday,15:45,17:30,第7 - 8节,线上教学,方茹
概率论与数理统计B,2022-11-21,2022-11-27,Monday,15:45,17:30,第7 - 8节,线上教学,方茹
毛泽东思想和中国特色社会主义理论体系概论,2022-08-22,2022-09-18,Monday,13:45,15:30,第5 - 6节,诚意31,黄英
毛泽东思想和中国特色社会主义理论体系概论,2022-10-24,2022-10-30,Monday,13:45,15:30,第5 - 6节,诚意31,黄英
毛泽东思想和中国特色社会主义理论体系概论,2022-10-31,2022-11-06,Monday,13:45,15:30,第5 - 6节,诚意31,黄英
毛泽东思想和中国特色社会主义理论体系概论,2022-09-19,2022-10-23,Monday,13:45,15:30,第5 - 6节,诚意31,黄英
毛泽东思想和中国特色社会主义理论体系概论,2022-11-07,2022-12-18,Monday,13:45,15:30,第5 - 6节,诚意31,黄英
工程设计中的工程伦理问题,2022-08-29,2022-09-04,Monday,18:30,22:15,第9 - 12节,正心23,乔家庆
人工智能程序设计实践 (实验),2022-08-24,2022-08-30,Wednesday,08:00,11:45,第1 - 4节,格物213,关毅
人工智能程序设计实践 (实验),2022-08-31,2022-09-06,Wednesday,08:00,11:45,第1 - 4节,格物213,关毅
数据结构与算法,2022-09-07,2022-11-22,Wednesday,08:00,09:45,第1 - 2节,正心527,李秀坤
数理逻辑与近世代数,2022-10-26,2022-11-01,Wednesday,13:45,15:30,第5 - 6节,线上教学,李涛
数理逻辑与近世代数,2022-11-02,2022-11-08,Wednesday,13:45,15:30,第5 - 6节,线上教学,李涛
数理逻辑与近世代数,2022-11-23,2022-12-20,Wednesday,13:45,15:30,第5 - 6节,线上教学,李涛
数理逻辑与近世代数,2022-11-09,2022-11-15,Wednesday,13:45,15:30,第5 - 6节,线上教学,李涛
数理逻辑与近世代数,2022-11-16,2022-11-22,Wednesday,13:45,15:30,第5 - 6节,线上教学,李涛
毛泽东思想和中国特色社会主义理论体系概论,2022-08-24,2022-08-30,Wednesday,15:45,17:30,第7 - 8节,诚意31,黄英
毛泽东思想和中国特色社会主义理论体系概论,2022-09-07,2022-09-13,Wednesday,15:45,17:30,第7 - 8节,诚意31,黄英
毛泽东思想和中国特色社会主义理论体系概论,2022-09-14,2022-09-20,Wednesday,15:45,17:30,第7 - 8节,诚意31,黄英
毛泽东思想和中国特色社会主义理论体系概论,2022-10-26,2022-11-01,Wednesday,15:45,17:30,第7 - 8节,诚意31,黄英
毛泽东思想和中国特色社会主义理论体系概论,2022-11-02,2022-11-08,Wednesday,15:45,17:30,第7 - 8节,诚意31,黄英
毛泽东思想和中国特色社会主义理论体系概论,2022-08-31,2022-09-06,Wednesday,15:45,17:30,第7 - 8节,诚意31,黄英
毛泽东思想和中国特色社会主义理论体系概论,2022-09-21,2022-10-25,Wednesday,15:45,17:30,第7 - 8节,诚意31,黄英
毛泽东思想和中国特色社会主义理论体系概论,2022-11-09,2022-12-20,Wednesday,15:45,17:30,第7 - 8节,诚意31,黄英
人工智能程序设计实践 (实验),2022-08-25,2022-08-31,Thursday,08:00,11:45,第1 - 4节,格物213,关毅
人工智能程序设计实践 (实验),2022-09-01,2022-09-07,Thursday,08:00,11:45,第1 - 4节,格物213,关毅
数字逻辑与数字系统设计(实验),2022-11-10,2022-11-16,Thursday,10:00,11:45,第3 - 4节,正心311,张英涛
数字逻辑与数字系统设计,2022-09-08,2022-11-09,Thursday,10:00,11:45,第3 - 4节,正心311,张英涛
体育(排球（软式）),2022-08-25,2022-12-14,Thursday,13:45,15:30,第5 - 6节,,王菊
数据结构与算法(实验),2022-10-13,2022-10-19,Thursday,15:45,17:30,第7 - 8节,格物213,李秀坤
数据结构与算法(实验),2022-10-27,2022-11-02,Thursday,15:45,17:30,第7 - 8节,格物213,李秀坤
数据结构与算法(实验),2022-11-10,2022-11-16,Thursday,15:45,17:30,第7 - 8节,格物213,李秀坤
工程设计中的工程伦理问题,2022-09-01,2022-09-07,Thursday,18:30,22:15,第9 - 12节,正心23,乔家庆
人工智能程序设计实践 (实验),2022-08-23,2022-08-29,Tuesday,13:45,17:30,第5 - 8节,格物213,关毅
人工智能程序设计实践 (实验),2022-08-30,2022-09-05,Tuesday,13:45,17:30,第5 - 8节,格物213,关毅
算法设计与分析,2022-11-22,2022-11-28,Tuesday,08:00,09:45,第1 - 2节,正心32,张炜
算法设计与分析,2022-10-18,2022-11-21,Tuesday,08:00,09:45,第1 - 2节,正心32,张炜
算法设计与分析,2022-11-29,2022-12-05,Tuesday,08:00,09:45,第1 - 2节,正心32,张炜
算法设计与分析,2022-12-06,2022-12-12,Tuesday,08:00,09:45,第1 - 2节,正心32,张炜
学术英语综合(提高),2022-08-23,2022-08-29,Tuesday,10:00,11:45,第3 - 4节,正心514,杨宇慧
学术英语综合(提高),2022-08-30,2022-12-12,Tuesday,10:00,11:45,第3 - 4节,正心514,杨宇慧
数字逻辑与数字系统设计,2022-09-06,2022-11-07,Tuesday,13:45,15:30,第5 - 6节,正心311,张英涛
工程设计中的工程伦理问题,2022-08-30,2022-09-05,Tuesday,18:30,22:15,第9 - 12节,正心23,乔家庆
算法设计与分析,2022-11-18,2022-11-24,Friday,13:45,15:30,第5 - 6节,正心32,张炜
算法设计与分析,2022-10-21,2022-11-17,Friday,13:45,15:30,第5 - 6节,正心32,张炜
算法设计与分析,2022-11-25,2022-12-15,Friday,13:45,15:30,第5 - 6节,正心32,张炜
数理逻辑与近世代数,2022-10-28,2022-11-03,Friday,15:45,17:30,第7 - 8节,线上教学,李涛
数理逻辑与近世代数,2022-11-04,2022-11-10,Friday,15:45,17:30,第7 - 8节,线上教学,李涛
数理逻辑与近世代数,2022-11-25,2022-12-22,Friday,15:45,17:30,第7 - 8节,线上教学,李涛
数理逻辑与近世代数,2022-11-11,2022-11-17,Friday,15:45,17:30,第7 - 8节,线上教学,李涛
数理逻辑与近世代数,2022-11-18,2022-11-24,Friday,15:45,17:30,第7 - 8节,线上教学,李涛
概率论与数理统计B,2022-08-26,2022-11-17,Friday,10:00,11:45,第3 - 4节,线上教学,方茹
概率论与数理统计B,2022-11-25,2022-12-01,Friday,10:00,11:45,第3 - 4节,线上教学,方茹
概率论与数理统计B,2022-12-02,2022-12-08,Friday,10:00,11:45,第3 - 4节,线上教学,方茹
概率论与数理统计B,2022-11-18,2022-11-24,Friday,10:00,11:45,第3 - 4节,线上教学,方茹
