,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳,Mealtime_N,Mealtime_A,Mealtime_E,Eight
0,12.0,2022/11/30 17:14,美食林真牛铁板,2022-11-30,17:14,0,-17,754.8,768.9,55,4,0,1669799640.0,1,0,0,0
1,29.7,2022/11/29 17:24,民族餐厅旋转小火锅,2022-11-29,17:24,0,-14,751.9,765.8,72,6,0,1669713840.0,0,0,0,0
2,13.32,2022/11/29 12:12,阳光副食二组,2022-11-29,12:12,0,-12,749.7,763.5,85,9,1,1669695120.0,0,0,0,0
3,1.0,2022/11/28 17:28,民族餐厅真味主题烧烤吧,2022-11-28,17:28,0,-9,749.9,763.5,86,5,0,1669627680.0,1,0,0,0
4,14.0,2022/11/28 17:15,民族餐厅金家店,2022-11-28,17:15,0,-9,749.9,763.5,86,5,0,1669626900.0,1,0,0,0
5,8.0,2022/11/28 11:53,学苑食堂副食三组,2022-11-28,11:53,0,-6,750.8,764.3,80,6,0,1669607580.0,1,0,0,0
6,2.6,2022/11/28 08:23,百味佳副食一组,2022-11-28,08:23,0,-9,752.2,765.8,86,5,0,1669594980.0,1,0,0,0
7,13.8,2022/11/27 17:48,阳光小是小简餐,2022-11-27,17:48,1,-7,751.5,765.0,86,3,0,1669542480.0,-1,-1,-1,-1
8,10.0,2022/11/27 12:40,学苑食堂副食一组,2022-11-27,12:40,1,-6,750.0,763.5,68,4,0,1669524000.0,-1,-1,-1,-1
9,13.56,2022/11/26 17:19,阳光副食二组,2022-11-26,17:19,1,-10,749.8,763.5,67,3,0,1669454340.0,-1,-1,-1,-1
10,10.8,2022/11/26 12:23,阳光小是小简餐,2022-11-26,12:23,1,-6,747.8,761.2,58,6,0,1669436580.0,-1,-1,-1,-1
11,2.25,2022/11/26 08:21,百味佳副食一组,2022-11-26,08:21,1,-9,746.2,759.7,73,6,0,1669422060.0,-1,-1,-1,-1
12,14.0,2022/11/25 17:49,阳光广式猪脚饭,2022-11-25,17:49,0,-4,739.9,753.1,93,6,1,1669369740.0,0,0,0,0
13,17.38,2022/11/25 11:46,学子副食一组,2022-11-25,11:46,0,0,739.3,752.3,87,4,1,1669347960.0,0,0,0,0
14,16.0,2022/11/24 17:25,阳光广式猪脚饭,2022-11-24,17:25,0,0,745.9,759.0,80,4,1,1669281900.0,0,0,0,0
15,2.0,2022/11/24 17:16,学苑食堂副食三组,2022-11-24,17:16,0,0,745.9,759.0,80,4,1,1669281360.0,0,0,0,0
16,14.16,2022/11/24 11:16,阳光副食二组,2022-11-24,11:16,0,-1,749.6,762.8,64,2,0,1669259760.0,0,0,0,0
17,13.0,2022/11/23 17:43,学苑食堂副食一组,2022-11-23,17:43,0,-6,752.3,765.8,74,2,0,1669196580.0,1,0,0,0
18,13.8,2022/11/23 11:59,阳光小是小简餐,2022-11-23,11:59,0,-1,751.1,764.3,64,3,0,1669175940.0,1,0,0,0
19,2.5,2022/11/23 08:25,百味佳副食一组,2022-11-23,08:25,0,-5,751.6,765.0,93,2,1,1669163100.0,1,0,0,0
