amount,merchant_name,date,time,weekday,holiday,temperature,station_pressure,sea_level_pressure,relative_humidity,windspeed,special_weather,timestamp,meal_course_breakfast,meal_course_lunch,meal_course_dinner,merchant_code
10.0,民族餐厅山西饸饹面,2023-04-25,18:15:00,2,0,2,744.0,756.9,100,3,0,1682446500.0,1,1,1,10
3.65,一区饺子园凉菜组,2023-04-25,11:09:00,2,0,9,742.0,754.6,62,8,0,1682420940.0,1,1,1,46
36.0,美食林川蜀源烤鱼,2023-04-25,09:37:00,2,0,12,741.5,753.9,35,6,0,1682415420.0,1,1,1,1
13.0,学苑食堂香恋香拌砂锅,2023-04-24,17:45:00,1,0,13,750.2,762.8,16,3,0,1682358300.0,0,1,0,9
16.6,美食林肠粉,2023-04-24,11:53:00,1,0,14,754.0,766.6,14,7,0,1682337180.0,0,1,0,25
12.0,一区饺子园凉菜组,2023-04-23,11:57:00,7,0,10,758.3,771.1,19,8,0,1682251020.0,0,0,0,46
7.55,学苑食堂包子,2023-04-22,07:35:00,6,1,6,755.9,768.9,39,4,0,1682148900.0,1,1,0,17
12.0,民族餐厅金家店,2023-04-20,18:08:00,4,0,9,743.6,756.2,15,8,0,1682014080.0,0,0,0,28
4.55,学苑食堂包子,2023-04-20,09:01:00,4,0,10,742.1,754.6,32,12,0,1681981260.0,0,0,0,17
28.0,学苑食堂副食三组,2023-04-18,17:45:00,2,0,13,743.8,756.2,24,5,0,1681839900.0,1,1,1,24
30.2,民族餐厅铁板料理,2023-04-18,11:51:00,2,0,11,740.6,753.1,44,8,0,1681818660.0,1,1,1,19
13.0,美食林肠粉,2023-04-17,12:14:00,1,0,16,745.4,757.7,39,4,0,1681733640.0,0,1,0,25
22.05,学苑食堂主食三组（面条）,2023-04-16,17:48:00,7,1,9,741.3,753.9,58,6,0,1681667280.0,0,0,0,50
13.0,美食林陕西刀削面(川无界),2023-04-16,11:36:00,7,1,13,739.9,752.3,44,4,0,1681644960.0,0,0,0,34
11.38,阳光副食二组,2023-04-15,12:06:00,6,1,13,741.5,753.9,33,5,0,1681560360.0,1,1,0,15
5.0,学苑食堂主食三组（面条）,2023-04-12,10:58:00,3,0,7,739.7,752.3,37,9,0,1681297080.0,1,0,1,50
