amount,merchant_name,date,time
26.0,一区饺子园凉菜组,2023-02-20,7:35
36.0,学苑食堂主食三组（面条）,2023-04-19,17:45
12.0,一区饺子园主食一组,2022-07-24,12:31
13.68,学苑食堂包子,2022-11-09,7:49
8.0,学苑食堂副食三组,2023-04-23,19:01
15.0,百味佳副食一组,2023-03-01,9:09
7.15,民族餐厅山西饸饹面,2022-11-19,7:51
10.0,紫丁香餐吧机器人收银组,2023-04-17,16:56
3.5,一区饺子园凉菜组,2023-03-02,16:58
15.0,美食林广式猪脚饭,2022-09-10,12:33
6.0,紫丁香餐吧主食一组,2022-10-03,11:06
16.0,美食林陕西刀削面(罐罐面),2022-09-22,18:18
12.0,美食林陕西刀削面(罐罐面),2022-10-11,12:26
15.0,学苑食堂香恋香拌砂锅,2023-02-28,17:39
36.0,一区饺子园面条组,2022-09-08,12:00
16.0,美食林肠粉,2023-02-28,17:56
10.0,民族餐厅山西饸饹面,2022-12-21,11:12
15.24,阳光副食二组,2023-04-14,12:26
6.6,百味佳副食一组,2023-03-24,8:14
15.0,学苑食堂香恋香拌砂锅,2022-07-03,17:43
5.0,学苑食堂副食三组,2022-09-25,18:58
21.1,学苑食堂包子,2022-08-06,11:54
8.55,学苑食堂副食三组,2023-03-24,18:19
31.76,学苑食堂包子,2023-04-06,10:47
16.0,美食林陕西刀削面(罐罐面),2022-10-21,19:00
10.0,民族餐厅山西饸饹面,2022-11-24,18:37
12.0,美食林陕西刀削面(罐罐面),2022-08-06,12:04
10.0,友来美好米线馄饨,2022-11-10,16:42
25.0,美食林陕西刀削面(罐罐面),2022-07-19,17:33
10.0,学苑食堂香恋香拌砂锅,2023-03-20,13:09
16.88,阳光副食二组,2023-04-24,11:46
10.05,民族餐厅德澳士,2022-10-24,11:53
3.1,民族餐厅铁板料理,2022-07-26,12:07
10.0,民族餐厅山西饸饹面,2022-09-24,12:27
34.0,学苑食堂副食三组,2023-02-09,18:29
32.0,美食林肠粉,2023-02-15,17:37
27.9,阳光副食二组,2023-03-22,9:58
3.31,紫丁香餐吧主食一组,2023-04-24,11:27
12.0,紫丁香餐吧机器人收银组,2023-03-07,16:59
12.0,学苑食堂重庆小面,2022-09-18,12:28
9.0,百味佳副食一组,2022-10-05,8:58
8.02,民族餐厅山西饸饹面,2023-02-28,12:07
32.0,民族餐厅山西饸饹面,2022-09-03,18:12
6.0,学苑食堂副食三组,2022-09-18,17:25
16.0,美食林广式猪脚饭,2022-09-18,11:55
15.0,紫丁香餐吧主食一组,2023-02-18,11:58
6.5,百味佳副食一组,2023-04-16,7:37
9.8,一区饺子园凉菜组,2022-09-28,11:49
11.81,百味佳副食一组,2023-03-03,11:43
10.0,民族餐厅金家店,2023-03-25,17:38
7.8,学苑食堂包子,2022-11-06,12:54
27.0,学苑食堂香恋香拌砂锅,2023-02-15,17:49
13.0,一区饺子园主食一组,2022-08-12,10:56
11.4,美食林肠粉,2023-04-10,12:13
12.0,学苑食堂香恋香拌砂锅,2022-10-07,11:44
14.28,阳光副食二组,2022-11-01,11:42
15.0,美食林陕西刀削面(罐罐面),2022-10-13,17:33
6.0,阳光广式猪脚饭,2022-10-06,12:13
5.0,学苑食堂包子,2023-03-08,12:24
2.22,友来美好米线馄饨,2022-07-03,10:46
10.0,民族餐厅山西饸饹面,2022-09-20,18:57
15.0,友来美好米线馄饨,2022-10-07,12:16
13.9,美食林陕西刀削面(川无界),2023-02-17,11:54
10.78,阳光副食二组,2023-03-01,11:56
16.0,紫丁香餐吧主食一组,2023-03-24,7:33
16.0,美食林陕西刀削面(罐罐面),2022-11-23,11:53
47.18,民族餐厅山西饸饹面,2023-04-24,18:05
18.78,学苑食堂包子,2022-11-22,11:06
46.2,学苑食堂包子,2022-08-25,8:41
8.0,学苑食堂副食三组,2023-04-25,12:11
9.0,一区饺子园凉菜组,2023-03-11,10:54
26.2,学苑食堂铁锅焖面,2023-03-25,17:55
12.48,阳光副食二组,2023-04-24,12:04
4.45,学苑食堂包子,2022-07-03,9:24
8.0,一区饺子园凉菜组,2023-03-28,17:36
14.88,阳光副食二组,2023-04-25,8:52
11.0,民族餐厅山西饸饹面,2022-09-06,17:41
12.0,阳光广式猪脚饭,2022-09-02,17:05
13.42,阳光副食二组,2022-11-07,11:48
2.21,学苑食堂包子,2022-09-28,11:17
10.0,学苑食堂香恋香拌砂锅,2022-08-02,12:07
45.0,学苑食堂副食三组,2022-11-20,17:42
12.0,美食林陕西刀削面(罐罐面),2022-10-08,7:36
11.0,紫丁香餐吧主食一组,2023-03-20,17:12
12.0,学苑食堂香恋香拌砂锅,2022-07-03,12:33
16.0,美食林肠粉,2023-03-23,18:06
18.0,一区饺子园主食二组,2023-04-03,17:36
10.0,紫丁香餐吧主食一组,2023-04-24,11:58
10.0,阳光广式猪脚饭,2022-10-24,17:58
15.0,民族餐厅金家店,2023-03-07,17:34
15.0,美食林小是小简餐,2022-10-24,17:32
12.0,阳光小是小简餐,2022-08-24,17:28
8.0,学苑食堂包子,2023-04-25,8:23
16.0,民族餐厅山西饸饹面,2022-09-23,17:39
14.0,民族餐厅金家店,2023-04-22,7:36
15.0,学苑食堂香恋香拌砂锅,2023-03-05,18:12
3.1,百味佳副食一组,2022-08-07,7:56
12.0,友来美好米线馄饨,2022-10-06,18:56
10.0,民族餐厅山西饸饹面,2022-09-11,18:01
16.0,紫丁香餐吧主食一组,2023-03-21,11:46
10.0,学苑食堂香恋香拌砂锅,2022-11-20,18:02
13.14,阳光副食二组,2023-03-17,11:58
18.0,美食林肠粉,2023-04-18,17:04
12.0,友来美好米线馄饨,2022-11-17,11:39
16.0,美食林肠粉,2023-03-13,18:13
14.0,美食林陕西刀削面(罐罐面),2022-07-10,18:13
16.0,民族餐厅金家店,2023-04-05,11:02
9.2,学苑食堂包子,2022-08-28,7:57
11.0,民族餐厅山西饸饹面,2022-11-24,17:35
9.2,一区饺子园凉菜组,2023-02-27,18:36
6.0,民族餐厅山西饸饹面,2022-11-27,11:58
2.36,民族餐厅山西饸饹面,2022-09-25,18:16
11.0,民族餐厅山西饸饹面,2022-10-07,12:13
15.0,民族餐厅金家店,2023-04-23,11:04
30.0,美食林肠粉,2023-02-09,17:37
4.0,美食林陕西刀削面(罐罐面),2022-11-21,17:53
16.0,民族餐厅金家店,2023-03-20,17:30
2.5,学苑食堂副食三组,2023-04-25,18:39
11.24,阳光副食二组,2023-03-08,11:41
9.86,学苑食堂包子,2022-10-07,7:44
19.0,学苑食堂主食三组（面条）,2022-09-29,11:47
12.0,紫丁香餐吧主食一组,2023-03-17,18:07
8.0,一区饺子园凉菜组,2023-03-20,11:12
15.2,阳光副食二组,2022-11-17,12:12
36.0,美食林广式猪脚饭,2022-08-23,7:34
20.0,民族餐厅山西饸饹面,2022-11-10,16:46
10.45,阳光副食二组,2023-03-04,11:48
13.0,民族餐厅山西饸饹面,2023-03-16,12:04
15.0,美食林陕西刀削面(罐罐面),2022-08-09,12:04
4.4,学苑食堂包子,2022-11-22,8:11
12.0,民族餐厅金家店,2023-03-03,17:34
24.0,学苑食堂主食三组（面条）,2023-04-10,11:24
12.0,民族餐厅德澳士,2022-09-13,17:37
8.28,一区饺子园凉菜组,2023-03-30,11:59
12.23,阳光副食二组,2023-04-24,18:48
16.0,阳光广式猪脚饭,2023-03-25,11:56
14.0,学苑食堂副食三组,2023-02-22,17:56
10.0,美食林陕西刀削面(罐罐面),2022-11-02,18:31
8.0,民族餐厅山西饸饹面,2022-07-05,18:00
7.6,学苑食堂包子,2023-03-09,7:51
5.7,学苑食堂包子,2022-11-21,7:44
12.2,学子副食一组,2023-04-16,11:27
12.0,淘乐水果捞店,2023-03-03,17:41
3.5,百味佳机器人收银组,2022-07-03,17:34
3.84,阳光副食二组,2022-11-07,11:49
13.9,学苑食堂包子,2022-12-06,12:11
6.0,美食林九旦西北小吃,2022-11-11,12:45
8.0,学苑食堂副食三组,2023-03-10,16:45
12.0,美食林陕西刀削面(罐罐面),2022-09-02,12:04
16.0,美食林陕西刀削面(罐罐面),2022-09-09,17:16
11.0,民族餐厅山西饸饹面,2022-11-21,11:28
12.7,美食林陕西刀削面(川无界),2023-03-02,11:54
11.0,民族餐厅山西饸饹面,2022-09-21,12:22
11.95,阳光广式猪脚饭,2023-02-13,11:42
10.5,民族餐厅山西饸饹面,2022-10-22,17:20
17.0,紫丁香餐吧主食一组,2023-04-24,11:34
17.0,美食林肠粉,2023-03-25,18:45
10.0,紫丁香餐吧主食一组,2023-02-02,10:55
8.0,学苑食堂副食三组,2022-07-06,17:50
7.9,一区饺子园凉菜组,2023-02-04,7:34
2.44,百味佳机器人收银组,2022-12-01,8:40
28.0,紫丁香餐吧主食一组,2023-03-12,18:37
2.64,百味佳副食一组,2023-02-10,9:44
18.02,阳光广式猪脚饭,2022-11-29,18:48
10.0,民族餐厅山西饸饹面,2022-07-13,12:07
10.0,民族餐厅山西饸饹面,2022-08-07,17:59
7.1,学苑食堂包子,2022-12-03,8:41
16.0,美食林陕西刀削面(罐罐面),2022-10-11,17:34
2.88,百味佳副食一组,2022-07-12,7:51
2.57,学苑食堂包子,2022-11-13,7:40
3.2,一区饺子园凉菜组,2022-07-05,11:52
8.0,学苑食堂重庆小面,2023-04-25,11:42
12.0,阳光广式猪脚饭,2023-03-02,12:11
10.0,学苑食堂香恋香拌砂锅,2023-03-03,12:26
13.25,阳光副食二组,2022-07-28,17:58
11.05,阳光副食二组,2022-11-18,12:09
20.0,民族餐厅山西饸饹面,2022-07-05,18:22
7.9,民族餐厅山西饸饹面,2023-04-02,18:49
16.0,紫丁香餐吧主食一组,2023-04-25,10:54
11.0,友来美好米线馄饨,2022-07-05,12:23
12.0,民族餐厅金家店,2022-08-10,12:18
16.0,美食林陕西刀削面(罐罐面),2022-09-10,11:27
15.0,阳光川蜀源烤鱼,2022-07-13,12:03
13.0,美食林肠粉,2023-02-28,17:56
15.0,阳光广式猪脚饭,2022-09-26,11:58
38.0,学苑食堂副食三组,2023-03-12,11:38
13.0,民族餐厅山西饸饹面,2022-09-08,17:09
18.0,民族餐厅山西饸饹面,2022-10-21,19:11
16.0,学苑食堂香恋香拌砂锅,2022-09-06,12:25
12.0,美食林肠粉,2023-03-27,17:56
13.0,民族餐厅山西饸饹面,2022-11-10,16:49
5.0,学苑食堂主食三组（面条）,2023-03-14,12:05
8.0,民族餐厅德澳士,2022-11-27,19:01
10.0,民族餐厅山西饸饹面,2022-12-29,11:49
12.0,学苑食堂香恋香拌砂锅,2023-03-07,17:45
12.0,美食林肠粉,2022-07-05,17:38
13.2,学苑食堂副食二组,2022-11-21,17:27
11.0,民族餐厅铁板料理,2023-03-07,11:52
6.6,美食林广式猪脚饭,2022-09-23,11:44
5.4,美食林东农豆坊,2023-04-17,12:22
12.0,阳光小是小简餐,2022-09-30,16:52
10.15,紫丁香餐吧主食一组,2023-04-24,18:29
32.96,一区饺子园凉菜组,2023-04-05,12:14
10.0,民族餐厅德澳士,2022-11-29,11:50
9.0,学苑食堂副食三组,2022-09-19,17:58
2.51,学苑食堂重庆小面,2023-04-25,8:22
12.91,阳光副食二组,2023-04-17,12:11
17.88,阳光副食二组,2022-11-30,11:49
16.0,美食林川蜀源烤鱼,2023-03-08,11:16
