amount,merchant_name,date,Time
13.0,美食林陕西刀削面(罐罐面),2022-09-04,714
13.0,阳光广式猪脚饭,2022-10-04,1083
10.0,民族餐厅山西饸饹面,2022-11-02,1143
12.0,民族餐厅金家店,2023-04-20,1088
12.0,民族餐厅金家店,2022-09-02,717
23.17,阳光副食二组,2022-10-24,741
14.0,美食林陕西刀削面(罐罐面),2022-09-27,1048
8.0,一区饺子园凉菜组,2023-03-10,716
30.5,阳光川蜀源烤鱼,2022-07-05,710
16.0,美食林陕西刀削面(罐罐面),2022-11-25,689
12.0,友来美好米线馄饨,2022-11-13,671
12.0,阳光广式猪脚饭,2022-09-01,698
10.0,民族餐厅山西饸饹面,2022-10-29,1048
8.0,美食林九旦西北小吃,2023-04-24,1077
8.0,阳光广式猪脚饭,2022-11-30,733
4.55,学苑食堂包子,2023-03-06,592
10.0,民族餐厅山西饸饹面,2022-11-19,1016
12.53,美食林川蜀源烤鱼,2023-04-08,765
16.0,阳光广式猪脚饭,2022-11-26,706
14.2,百味佳副食一组,2022-07-03,582
13.0,美食林广式猪脚饭,2022-11-23,1130
10.0,民族餐厅山西饸饹面,2022-09-02,714
12.0,一区饺子园主食二组,2023-03-23,1067
15.0,友来美好米线馄饨,2022-10-18,708
31.0,学苑食堂副食三组,2022-11-21,661
15.32,美食林小是小简餐,2022-11-18,715
19.0,民族餐厅山西饸饹面,2023-04-02,1015
12.0,一区饺子园主食一组,2022-10-26,555
15.0,阳光广式猪脚饭,2022-12-25,703
12.0,美食林小是小简餐,2022-11-03,691
12.4,民族餐厅山西饸饹面,2022-11-16,1107
13.0,一区饺子园主食一组,2022-09-06,731
18.12,阳光副食二组,2022-11-26,718
9.52,学苑食堂包子,2023-02-09,462
14.38,学苑食堂香恋香拌砂锅,2023-03-13,713
10.0,民族餐厅金家店,2023-03-07,1072
6.0,学苑食堂副食三组,2023-04-03,1038
24.72,阳光副食二组,2022-11-25,721
13.87,阳光副食二组,2023-03-16,718
16.3,阳光副食二组,2023-02-28,708
7.0,学苑食堂副食三组,2022-07-05,1091
10.0,民族餐厅山西饸饹面,2022-11-12,1104
11.0,阳光副食二组,2023-03-04,787
10.0,民族餐厅山西饸饹面,2022-08-04,1014
38.6,学苑食堂包子,2022-09-08,714
14.28,阳光副食二组,2022-08-06,718
6.55,一区饺子园凉菜组,2023-04-24,768
17.0,学苑食堂主食三组（面条）,2023-03-12,714
25.65,阳光副食二组,2023-03-28,1130
17.0,阳光广式猪脚饭,2022-09-29,1054
39.6,民族餐厅金家店,2023-03-16,674
2.45,学苑食堂包子,2022-11-18,459
26.0,学苑食堂副食四组,2023-02-14,1096
12.0,一区饺子园主食二组,2023-03-03,1022
14.0,民族餐厅金家店,2022-07-30,720
12.0,紫丁香餐吧机器人收银组,2023-04-08,1053
18.0,美食林陕西刀削面(罐罐面),2022-07-05,1039
10.0,民族餐厅山西饸饹面,2022-07-29,1065
44.0,学苑食堂香恋香拌砂锅,2022-08-04,709
18.0,美食林川蜀源烤鱼,2023-03-14,746
15.0,美食林陕西刀削面(罐罐面),2022-12-29,1101
11.28,阳光副食二组,2023-04-24,1123
13.68,一区饺子园主食一组,2022-11-28,731
13.3,阳光副食二组,2022-09-10,701
28.0,学苑食堂副食三组,2023-04-18,1065
12.0,美食林陕西刀削面(罐罐面),2022-10-31,701
8.0,学苑食堂主食三组（面条）,2023-03-17,704
7.2,百味佳副食一组,2023-04-02,566
5.0,民族餐厅山西饸饹面,2022-09-23,1077
11.0,友来美好米线馄饨,2022-09-16,1057
12.0,紫丁香餐吧主食一组,2023-03-05,1123
12.0,美食林90后串炒饭,2022-09-21,699
7.0,学苑食堂香恋香拌砂锅,2022-09-28,708
9.62,民族餐厅山西饸饹面,2022-11-22,728
16.0,民族餐厅山西饸饹面,2022-09-18,746
16.2,阳光广式猪脚饭,2023-04-10,707
18.0,紫丁香餐吧主食一组,2023-02-28,1082
16.0,阳光广式猪脚饭,2022-10-24,1051
36.0,阳光副食二组,2022-09-11,718
12.0,美食林陕西刀削面(罐罐面),2022-09-01,1060
6.0,学苑食堂副食三组,2022-08-21,692
4.55,学苑食堂包子,2023-04-20,541
11.38,阳光副食二组,2023-04-15,726
16.0,民族餐厅山西饸饹面,2022-09-16,1041
10.0,一区饺子园面条组,2022-07-21,1035
16.0,民族餐厅金家店,2023-03-27,1051
12.0,美食林九旦西北小吃,2022-08-03,1138
13.78,一区饺子园凉菜组,2023-04-03,1052
15.0,美食林广式猪脚饭,2022-09-01,661
22.0,一区饺子园主食一组,2022-09-30,729
12.0,美食林90后串炒饭,2022-11-13,691
8.0,民族餐厅山西饸饹面,2022-10-08,1065
12.0,美食林陕西刀削面(罐罐面),2022-07-08,1072
12.0,美食林肠粉,2023-03-27,1143
6.7,一区饺子园凉菜组,2023-03-06,1065
16.0,美食林陕西刀削面(罐罐面),2022-09-14,708
14.83,美食林小是小简餐,2022-11-10,1027
12.05,阳光副食二组,2023-02-06,1075
11.0,民族餐厅山西饸饹面,2022-11-08,1035
18.0,紫丁香餐吧主食一组,2023-04-08,707
22.0,阳光川蜀源烤鱼,2022-09-09,1140
16.4,美食林90后串炒饭,2022-11-14,715
12.0,学苑食堂包子,2023-03-24,676
