amount,merchant_name,date,time,weekday,holiday,temperature,station_pressure,sea_level_pressure,relative_humidity,windspeed,special_weather,timestamp,meal_course_breakfast,meal_course_lunch,meal_course_dinner,merchant_code
14.02,学苑食堂真牛铁板,2023-04-25,17:44:00,2,0,2,744.0,756.9,100,3,0,1682444640.0,1,1,1,6
18.88,美食林蜀香麻辣烫(川香麻辣烫),2023-04-25,11:48:00,2,0,7,742.7,755.4,66,10,0,1682423280.0,1,1,1,7
12.0,美食林川蜀源烤鱼,2023-04-24,17:46:00,1,0,13,750.2,762.8,16,3,0,1682358360.0,1,1,0,1
15.0,美食林小猪憨尼麻辣烫,2023-04-24,10:56:00,1,0,14,754.7,767.3,14,6,0,1682333760.0,1,1,0,0
24.1,百味佳机器人收银组,2023-04-23,18:33:00,7,0,7,757.5,770.4,23,3,0,1682274780.0,0,0,1,45
12.2,美食林蜀香麻辣烫(川香麻辣烫),2023-04-22,18:00:00,6,1,8,755.2,768.1,25,5,0,1682186400.0,0,0,0,7
18.8,美食林小猪憨尼麻辣烫,2023-04-21,11:38:00,5,0,10,750.1,762.8,22,9,0,1682077080.0,1,1,1,0
11.2,百味佳副食一组,2023-04-20,11:55:00,4,0,11,741.4,753.9,12,13,1,1681991700.0,1,0,0,5
11.35,学苑食堂香恋香拌砂锅,2023-04-18,18:15:00,2,0,13,743.8,756.2,24,5,0,1681841700.0,1,1,1,9
12.4,百味佳副食一组,2023-04-17,11:49:00,1,0,16,745.4,757.7,39,4,0,1681732140.0,1,1,0,5
3.45,学苑食堂副食一组,2023-04-17,07:27:00,1,0,6,745.4,758.2,66,5,0,1681716420.0,1,1,0,2
12.1,美食林小猪憨尼麻辣烫,2023-04-16,11:51:00,7,1,13,739.9,752.3,44,4,0,1681645860.0,0,1,1,0
10.0,美食林小猪憨尼麻辣烫,2023-04-15,17:29:00,6,1,13,739.2,751.6,28,5,0,1681579740.0,0,0,0,0
3.5,紫丁香餐吧机器人收银组,2023-04-15,09:10:00,6,1,9,742.8,755.4,50,6,0,1681549800.0,0,0,0,3
12.0,民族餐厅金家店,2023-04-14,17:44:00,5,0,9,746.3,759.0,37,3,0,1681494240.0,1,1,1,28
