amount,merchant_name,time,date
18.0,美食林陕西刀削面(罐罐面),11:15,2022-8-17
11.85,一区饺子园凉菜组,11:15,2023-4-20
14.0,美食林真牛铁板,7:09,2022-10-26
2.39,百味佳副食一组,7:07,2023-2-13
12.4,百味佳机器人收银组,11:46,2022-8-1
2.48,百味佳副食一组,7:42,2023-4-12
3.6,百味佳副食一组,8:56,2023-4-16
4.1,百味佳副食一组,8:40,2023-3-9
9.2,百味佳副食一组,11:42,2022-10-4
11.82,美食林陕西刀削面(罐罐面),18:27,2022-11-18
9.5,学苑食堂副食一组,11:06,2022-10-9
2.31,百味佳副食一组,9:07,2022-11-15
15.2,百味佳主食二组,17:21,2022-8-12
3.5,百味佳副食一组,7:22,2022-10-2
3.4,百味佳副食一组,8:56,2023-3-4
13.2,百味佳副食一组,11:52,2022-9-18
13.2,友来副食一组,7:37,2022-11-15
17.0,学苑食堂真牛铁板,18:01,2022-9-20
4.55,美食林川蜀源烤鱼,9:08,2023-3-0
4.35,友来副食一组,7:43,2022-9-26
15.0,美食林川蜀源烤鱼,11:47,2022-11-23
2.2,百味佳副食一组,8:51,2023-4-20
17.6,回味斋一餐厅副食一组,11:19,2023-3-20
18.0,学苑食堂包子,17:34,2023-3-3
12.4,紫丁香餐吧机器人收银组,17:39,2023-3-0
13.0,美食林90后串炒饭,11:31,2023-3-10
11.92,美食林真牛铁板,17:34,2023-3-1
15.0,美食林90后串炒饭,11:39,2022-9-3
3.8,友来副食一组,7:32,2022-9-15
10.0,美食林广式猪脚饭,11:24,2022-8-23
4.95,友来副食一组,7:34,2022-10-27
12.0,学苑食堂包子,11:48,2022-10-16
5.95,百味佳展销组,8:15,2022-6-28
12.0,民族餐厅铁板料理,11:08,2023-2-16
15.0,美食林真牛铁板,16:10,2022-9-24
16.6,百味佳副食一组,11:52,2022-10-14
5.0,回味斋一餐厅副食一组,7:55,2023-4-11
15.0,回味斋一餐厅副食一组,11:40,2022-8-27
6.25,友来副食一组,7:46,2022-9-16
4.75,友来副食一组,7:47,2022-9-4
15.0,学苑食堂副食三组,17:13,2022-11-16
5.05,美食林90后串炒饭,11:36,2022-9-27
10.0,阳光广式猪脚饭,11:40,2023-4-4
4.35,友来副食一组,7:46,2022-10-10
3.5,百味佳副食一组,8:21,2023-2-18
4.2,百味佳副食一组,8:38,2022-11-14
10.6,美食林阿咪酱骨扒肉,11:50,2022-9-17
4.95,百味佳主食二组,8:52,2022-9-24
16.2,百味佳展销组,11:51,2022-10-5
15.0,美食林陕西刀削面(罐罐面),17:23,2022-7-5
11.28,学苑食堂副食三组,17:33,2022-7-22
5.1,百味佳副食一组,9:04,2023-3-18
3.85,友来副食一组,7:44,2022-9-26
2.48,学苑食堂副食三组,18:05,2022-9-17
9.9,百味佳机器人收银组,11:58,2022-6-28
12.9,百味佳副食一组,11:40,2023-4-20
11.0,学苑食堂包子,17:33,2023-3-7
2.1,百味佳副食一组,8:52,2023-2-29
12.0,美食林川蜀源烤鱼,11:31,2023-4-20
5.95,百味佳副食一组,7:23,2022-11-12
16.0,民族餐厅铁板料理,17:56,2022-9-16
20.32,百味佳展销组,7:13,2022-10-14
