amount,merchant_name,date,time
13.1,紫丁香餐吧机器人收银组,2023-04-13,8:16
24.0,学苑食堂真牛铁板,2023-03-20,9:17
11.0,阳光副食二组,2023-04-20,11:32
10.0,民族餐厅金家店,2022-11-13,18:08
25.0,民族餐厅铁板料理,2022-09-30,17:33
9.6,百味佳副食一组,2023-04-03,7:52
13.68,阳光川蜀源烤鱼,2022-09-23,11:52
12.2,美食林美美卤肉饭,2023-04-22,18:21
4.25,友来副食一组,2022-09-07,7:07
5.35,友来副食一组,2022-10-04,7:18
22.0,民族餐厅铁板料理,2022-09-26,11:46
25.0,民族餐厅旋转小火锅,2022-10-20,17:00
3.95,友来副食一组,2022-10-15,7:06
10.0,美食林陕西刀削面(罐罐面),2022-08-16,7:11
11.45,美食林肠粉,2023-03-06,17:46
19.4,美食林海南鸡饭,2022-07-03,18:37
20.0,美食林陕西刀削面(罐罐面),2022-10-24,17:41
23.2,百味佳副食一组,2023-04-03,11:46
10.6,紫丁香餐吧机器人收银组,2023-03-16,17:48
3.1,百味佳展销组,2022-09-26,8:31
19.0,美食林老上客砂锅,2022-08-09,17:33
3.5,百味佳主食二组,2022-11-29,8:29
10.0,美食林川蜀源烤鱼,2023-03-24,12:11
9.46,学苑食堂副食三组,2022-08-13,17:33
10.0,美食林美美卤肉饭,2023-04-10,17:46
3.8,美食林海南鸡饭,2022-10-12,11:39
5.4,百味佳副食一组,2023-04-25,9:09
16.3,百味佳机器人收银组,2022-11-19,11:19
6.5,美食林蜀香麻辣烫(川香麻辣烫),2023-04-25,17:46
12.0,友来朝鲜风味,2022-08-13,11:41
13.4,百味佳副食一组,2023-04-13,11:51
23.06,阳光小是小简餐,2023-04-25,17:31
3.35,百味佳副食一组,2022-09-17,9:54
2.24,阳光小是小简餐,2022-12-17,7:31
9.6,百味佳副食一组,2023-03-13,10:50
24.5,百味佳主食二组,2022-09-09,17:36
12.85,紫丁香餐吧机器人收银组,2023-02-28,7:26
10.0,美食林蜀香麻辣烫(川香麻辣烫),2022-10-21,11:06
10.2,百味佳展销组,2022-09-14,11:44
16.25,民族餐厅金家店,2022-11-09,11:58
15.1,美食林小猪憨尼麻辣烫,2022-10-05,17:35
16.4,南苑特色铁板烧,2022-10-11,17:37
26.0,美食林陕西刀削面(罐罐面),2022-09-08,18:02
4.6,友来副食一组,2022-09-15,7:37
13.0,美食林真牛铁板,2022-08-20,17:35
2.34,百味佳副食一组,2023-03-15,11:16
2.45,百味佳副食一组,2023-03-07,9:08
20.2,美食林海南鸡饭,2022-08-25,18:15
11.6,美食林陕西刀削面(罐罐面),2022-11-07,16:02
18.5,民族餐厅金家店,2022-11-06,9:15
18.0,学苑食堂副食三组,2023-04-15,18:09
5.6,学苑食堂副食一组,2023-04-08,17:52
13.44,美食林小猪憨尼麻辣烫,2023-04-25,11:38
11.25,回味斋一餐厅副食一组,2023-03-12,12:03
5.2,百味佳副食一组,2022-07-03,11:12
