amount,merchant_name,date,time
12.0,美食林90后串炒饭,2022-11-21,17:40
15.8,友来副食一组,2022-10-26,11:46
14.0,百味佳展销组,2022-11-01,17:34
10.4,民族餐厅金家店,2022-10-29,8:24
22.82,阳光广式猪脚饭,2023-04-22,11:51
3.6,百味佳副食一组,2023-04-22,11:57
13.85,百味佳副食一组,2023-03-23,8:10
2.84,百味佳副食一组,2023-04-24,9:13
12.0,百味佳副食一组,2023-03-24,7:58
14.0,美食林真牛铁板,2022-09-16,11:25
2.78,友来副食一组,2022-10-05,11:49
10.0,美食林川蜀源烤鱼,2023-04-15,7:46
6.55,美食林广式猪脚饭,2022-10-30,8:58
3.75,友来副食一组,2022-09-04,7:46
12.6,学苑食堂副食三组,2023-04-23,17:44
12.0,美食林真牛铁板,2022-10-03,17:34
8.35,友来副食一组,2022-10-17,17:30
2.77,美食林老上客砂锅,2023-02-08,7:52
18.0,美食林川蜀源烤鱼,2023-04-19,17:36
15.0,美食林广式猪脚饭,2022-10-08,17:53
5.75,百味佳副食一组,2022-07-28,7:42
13.4,美食林陕西刀削面(罐罐面),2022-10-06,17:48
13.4,学苑食堂铁锅焖面,2023-03-10,11:47
15.0,学苑食堂香恋香拌砂锅,2023-03-16,7:44
5.0,阳光川蜀源烤鱼,2022-07-25,17:28
15.0,学苑食堂副食三组,2023-04-23,11:49
2.85,民族餐厅铁板料理,2023-04-23,11:51
12.0,美食林90后串炒饭,2023-02-17,12:14
15.0,民族餐厅铁板料理,2023-04-23,11:00
10.0,美食林广式猪脚饭,2022-07-06,18:06
22.2,友来副食一组,2022-09-22,11:54
9.83,学苑食堂副食一组,2023-04-15,11:33
2.7,阳光广式猪脚饭,2023-04-24,11:53
10.0,阳光广式猪脚饭,2023-04-04,11:49
12.0,美食林小猪憨尼麻辣烫,2022-09-12,9:07
15.0,学苑食堂香恋香拌砂锅,2023-04-23,17:14
21.0,百味佳主食二组,2022-10-24,7:52
4.45,一区饺子园主食一组,2023-02-13,8:34
5.37,百味佳副食一组,2022-09-03,7:33
9.4,民族餐厅金家店,2022-09-06,11:42
2.76,友来副食一组,2022-09-22,11:55
2.76,学苑食堂铁锅焖面,2023-03-13,16:47
12.0,百味佳副食一组,2023-04-24,17:19
13.0,民族餐厅金家店,2022-11-06,12:03
3.76,学苑食堂副食三组,2022-07-06,11:41
9.65,友来副食一组,2022-09-12,17:28
3.2,美食林小猪憨尼麻辣烫,2023-04-23,17:32
17.0,民族餐厅铁板料理,2022-11-11,17:33
12.0,百味佳展销组,2022-11-08,17:35
10.0,友来副食一组,2022-07-21,11:57
11.0,紫丁香餐吧机器人收银组,2023-03-19,8:18
2.71,百味佳副食一组,2023-02-13,11:33
13.0,百味佳副食一组,2023-03-22,17:35
14.0,友来朝鲜风味,2022-09-30,17:49
11.0,美食林真牛铁板,2022-09-03,8:59
22.0,百味佳副食一组,2023-03-01,17:35
4.65,友来副食一组,2022-10-06,17:25
11.5,百味佳副食一组,2023-03-29,17:35
23.0,百味佳副食一组,2022-11-18,11:48
11.0,美食林川蜀源烤鱼,2023-03-20,11:32
4.0,美食林老上客砂锅,2022-09-08,16:36
12.2,百味佳展销组,2022-10-10,18:06
12.4,美食林老上客砂锅,2023-02-18,17:33
12.4,百味佳副食一组,2023-02-28,17:29
13.0,民族餐厅金家店,2022-07-29,11:51
3.9,美食林九旦西北小吃,2022-11-08,16:47
10.0,学苑食堂铁锅焖面,2023-03-17,11:47
12.4,美食林90后串炒饭,2022-11-30,11:44
3.8,学苑食堂真牛铁板,2023-03-14,17:33
16.0,学苑食堂真牛铁板,2022-11-22,11:39
22.0,百味佳机器人收银组,2022-10-02,11:27
2.95,紫丁香餐吧机器人收银组,2023-04-21,11:46
13.0,阳光广式猪脚饭,2023-04-18,16:39
13.0,学苑食堂副食二组,2023-03-03,17:48
11.1,百味佳副食一组,2023-04-13,11:57
4.1,百味佳副食一组,2022-11-02,7:38
10.2,紫丁香餐吧机器人收银组,2023-02-28,17:53
11.0,美食林小猪憨尼麻辣烫,2022-10-02,17:36
2.75,友来副食一组,2022-10-16,11:26
19.0,学苑食堂包子,2022-07-16,17:29
2.76,友来副食一组,2022-10-12,17:14
10.9,美食林川蜀源烤鱼,2022-11-12,17:33
18.0,学苑食堂铁锅焖面,2023-03-21,11:16
13.0,学院食堂陕西名小吃,2023-04-15,18:14
18.0,学苑食堂真牛铁板,2023-03-15,17:37
14.4,一区饺子园主食一组,2022-07-06,8:01
2.69,百味佳副食一组,2023-03-26,8:10
11.85,民族餐厅金家店,2022-11-03,8:20
12.2,学苑食堂副食三组,2022-11-13,17:12
2.82,美食林真牛铁板,2022-10-01,11:50
15.4,学苑食堂副食三组,2022-08-02,17:08
12.0,阳光副食二组,2022-10-06,7:54
3.5,百味佳副食一组,2022-11-13,11:37
2.81,百味佳副食一组,2023-04-24,18:08
9.95,美食林阿咪酱骨扒肉,2023-03-22,8:04
12.2,百味佳副食一组,2023-04-13,11:40
3.2,友来副食一组,2022-09-26,8:53
13.4,民族餐厅铁板料理,2022-11-24,12:05
10.0,百味佳副食一组,2023-03-03,17:43
12.0,百味佳副食一组,2023-03-07,18:13
9.1,学苑食堂副食三组,2022-07-07,7:47
10.0,学苑食堂副食二组,2022-09-29,11:37
15.0,百味佳副食一组,2022-08-05,17:29
15.0,美食林真牛铁板,2022-10-29,17:34
13.9,美食林90后串炒饭,2022-11-24,11:46
10.0,美食林老上客砂锅,2023-02-23,17:40
18.8,民族餐厅铁板料理,2023-04-22,9:21
23.32,美食林陕西刀削面(罐罐面),2022-10-20,11:46
2.77,美食林90后串炒饭,2023-02-25,17:09
2.67,百味佳副食一组,2022-11-25,8:53
22.06,百味佳副食一组,2023-04-04,8:05
13.4,美食林蜀香麻辣烫(川香麻辣烫),2022-07-07,11:40
13.0,回味斋一餐厅副食一组,2022-10-11,17:14
11.0,民族餐厅金家店,2023-02-16,8:49
18.7,友来副食一组,2022-10-05,17:48
2.8,美食林肠粉,2023-03-24,17:10
5.7,友来副食一组,2022-07-06,7:48
15.0,美食林真牛铁板,2022-10-18,11:37
11.2,阳光广式猪脚饭,2023-03-05,11:52
9.0,民族餐厅山西饸饹面,2022-10-16,12:04
3.85,美食林90后串炒饭,2022-07-07,7:30
11.4,回味斋一餐厅副食一组,2022-07-07,11:35
2.83,百味佳副食一组,2023-04-23,17:35
13.0,阳光小是小简餐,2023-03-04,17:32
11.2,百味佳副食一组,2023-02-14,17:38
12.0,民族餐厅山西饸饹面,2023-02-06,11:28
22.7,美食林老上客砂锅,2022-07-06,7:46
12.0,美食林阿咪酱骨扒肉,2023-04-09,11:09
22.08,百味佳副食一组,2023-02-02,11:51
10.0,民族餐厅铁板料理,2022-07-07,17:07
8.65,百味佳展销组,2022-09-29,9:01
12.0,美食林老上客砂锅,2023-03-23,7:35
11.3,美食林90后串炒饭,2022-11-05,8:53
21.4,美食林肠粉,2023-04-17,7:43
12.95,美食林海南鸡饭,2022-10-22,8:59
5.1,百味佳副食一组,2023-02-28,9:13
3.8,一区饺子园凉菜组,2022-10-11,8:30
14.0,美食林老上客砂锅,2023-04-24,11:51
2.71,百味佳机器人收银组,2022-07-21,7:31
13.0,美食林90后串炒饭,2022-11-23,17:57
11.0,阳光广式猪脚饭,2023-04-24,7:44
12.0,紫丁香餐吧机器人收银组,2023-04-24,11:52
18.0,美食林真牛铁板,2022-07-07,11:52
4.2,友来副食一组,2022-11-21,11:49
8.0,回味斋一餐厅副食一组,2022-09-01,11:18
12.0,百味佳主食二组,2022-07-12,11:46
12.0,美食林九旦西北小吃,2022-07-06,11:42
3.35,阳光广式猪脚饭,2023-02-25,7:19
13.0,美食林陕西刀削面(罐罐面),2022-10-19,11:09
5.3,友来副食一组,2022-10-06,7:42
8.93,学苑食堂副食三组,2022-07-16,9:02
2.8,学苑食堂副食一组,2022-07-06,7:35
14.5,阳光广式猪脚饭,2023-03-19,8:41
13.0,百味佳副食一组,2022-09-15,17:33
12.0,百味佳主食二组,2022-10-08,17:14
