amount,merchant_name,date,time
2.7,学苑食堂香恋香拌砂锅,2022-10-04,7:44
15.84,美食林小猪憨尼麻辣烫,2022-10-12,12:40
17.0,回味斋一餐厅副食一组,2022-08-07,17:22
10.0,民族餐厅山西饸饹面,2022-11-10,14:02
12.0,美食林肠粉,2023-02-28,11:48
40.0,学苑食堂副食三组,2022-09-10,11:30
15.8,美食林老上客砂锅,2023-02-09,17:57
17.9,民族餐厅旋转小火锅,2022-08-26,12:03
32.71,阳光副食二组,2022-10-03,17:34
11.5,紫丁香餐吧副食一组（中西套餐）,2022-10-17,16:40
12.0,阳光川蜀源烤鱼,2022-10-05,11:35
11.4,美食林海南鸡饭,2022-09-28,11:38
22.0,美食林阿咪酱骨扒肉,2023-02-26,11:22
30.7,紫丁香餐吧机器人收银组,2023-03-07,16:46
14.45,紫丁香餐吧机器人收银组,2023-03-24,11:07
13.77,阳光副食二组,2022-10-14,16:57
13.0,美食林阿咪酱骨扒肉,2023-03-10,17:23
37.2,紫丁香餐吧副食一组（中西套餐）,2023-03-05,9:18
52.0,民族餐厅金家店,2023-02-03,11:44
19.0,美食林小猪憨尼麻辣烫,2023-02-15,18:03
43.98,百味佳主食二组,2022-09-07,17:08
33.8,学苑食堂副食一组,2023-04-24,17:26
17.78,美食林小猪憨尼麻辣烫,2023-02-26,17:30
25.92,阳光副食二组,2022-11-29,10:39
14.23,美食林小猪憨尼麻辣烫,2023-02-10,18:01
10.1,学苑食堂副食三组,2023-04-19,17:26
37.0,民族餐厅铁板料理,2022-09-26,11:39
24.2,美食林陕西刀削面(罐罐面),2022-10-03,17:30
37.0,阳光副食二组,2022-09-23,17:59
14.57,阳光副食二组,2023-04-14,11:42
12.4,紫丁香餐吧机器人收银组,2022-11-03,18:12
5.46,学苑食堂副食三组,2022-09-26,18:16
2.47,学苑食堂副食三组,2022-11-17,11:10
7.9,美食林川蜀源烤鱼,2023-02-28,11:36
24.0,紫丁香餐吧机器人收银组,2022-11-02,18:19
4.2,学苑食堂副食二组,2023-04-21,7:47
10.0,百味佳主食二组,2022-11-26,11:41
16.18,紫丁香餐吧机器人收银组,2022-10-01,17:40
50.58,美食林小猪憨尼麻辣烫,2022-11-13,11:41
11.0,学苑食堂副食三组,2023-02-18,16:52
3.0,阳光川蜀源烤鱼,2022-09-02,11:57
12.0,美食林小猪憨尼麻辣烫,2023-04-04,17:21
2.51,学苑食堂重庆小面,2022-10-14,17:57
3.0,淘乐水果捞店,2023-03-13,16:40
42.0,紫丁香餐吧副食一组（中西套餐）,2023-02-19,17:24
15.59,阳光副食二组,2023-02-01,17:34
5.3,学苑食堂重庆小面,2023-02-14,18:19
35.71,学苑食堂副食一组,2023-04-18,17:28
10.0,学苑食堂香恋香拌砂锅,2023-04-23,11:01
15.0,美食林那小味面馆,2023-02-24,7:46
39.0,美食林老上客砂锅,2023-04-02,17:31
28.0,学苑食堂香恋香拌砂锅,2022-08-12,20:14
49.56,阳光川蜀源烤鱼,2022-11-24,18:44
6.7,友来副食一组,2022-10-30,7:55
10.0,美食林阿咪酱骨扒肉,2023-03-05,11:06
18.0,美食林老上客砂锅,2023-02-08,16:46
21.0,民族餐厅旋转小火锅,2022-11-01,18:34
12.72,阳光副食二组,2023-04-07,17:25
41.65,紫丁香餐吧机器人收银组,2022-09-18,12:57
13.0,美食林老上客砂锅,2023-03-30,18:06
36.3,美食林小猪憨尼麻辣烫,2022-10-18,17:05
17.95,学苑食堂副食三组,2022-08-21,11:13
14.6,美食林海南鸡饭,2022-10-25,11:31
28.0,美食林老上客砂锅,2023-04-16,18:04
16.0,阳光川蜀源烤鱼,2022-10-22,17:54
10.0,学苑食堂香恋香拌砂锅,2023-04-11,11:31
4.7,学苑食堂副食二组,2023-04-11,7:50
4.7,友来副食一组,2022-09-19,7:45
22.0,学苑食堂副食三组,2022-11-03,20:53
6.0,学苑食堂副食二组,2023-03-07,12:48
16.0,学苑食堂副食三组,2022-09-07,12:00
13.86,阳光副食二组,2023-03-14,11:38
35.0,学苑食堂香恋香拌砂锅,2023-03-04,16:41
15.3,美食林小猪憨尼麻辣烫,2022-11-28,18:00
2.55,学苑食堂副食三组,2022-09-25,7:59
12.0,民族餐厅金家店,2023-02-16,17:38
26.6,美食林肠粉,2023-04-10,11:46
48.4,学苑食堂包子,2022-10-23,11:55
8.0,一区饺子园主食一组,2023-02-28,17:48
8.6,学苑食堂副食三组,2022-10-07,18:10
24.0,美食林铁锅焖面,2022-10-22,11:54
15.33,美食林小猪憨尼麻辣烫,2023-04-23,17:11
32.62,学苑食堂副食一组,2023-04-25,7:50
3.93,学苑食堂副食二组,2023-03-07,7:45
12.35,美食林小猪憨尼麻辣烫,2023-03-12,17:38
18.0,阳光萌锅蒸饭,2023-03-28,11:57
16.0,学苑食堂香恋香拌砂锅,2022-12-17,11:59
19.0,民族二餐厅五谷鲜渔粉副食二组,2022-11-19,18:51
5.1,友来副食一组,2022-10-20,7:48
32.0,阳光萌锅蒸饭,2022-09-23,18:04
3.0,美食林阿咪酱骨扒肉,2023-02-15,11:44
12.84,阳光副食二组,2022-11-22,17:14
15.0,美食林美美卤肉饭,2023-04-08,7:46
26.5,紫丁香餐吧机器人收银组,2022-10-26,12:06
16.21,阳光副食二组,2022-10-11,10:58
15.75,紫丁香餐吧机器人收银组,2023-04-12,10:50
26.0,学院食堂陕西名小吃,2023-02-03,18:09
