amount,merchant_name,date,Time
14.3,学苑食堂包子,2023-03-13,677
12.8,美食林小猪憨尼麻辣烫,2023-04-25,1084
15.55,紫丁香餐吧机器人收银组,2022-09-30,1081
10.0,阳光小是小简餐,2023-02-17,1031
14.2,紫丁香餐吧机器人收银组,2023-02-28,675
12.0,学苑食堂香恋香拌砂锅,2022-08-22,686
8.7,友来副食一组,2022-09-19,462
27.0,学苑食堂副食三组,2022-07-03,1056
12.0,学院食堂陕西名小吃,2023-04-18,1025
11.61,紫丁香餐吧机器人收银组,2022-10-13,698
14.1,学苑食堂副食三组,2023-02-28,1075
8.8,学苑食堂副食三组,2023-03-25,475
19.26,阳光副食二组,2023-04-24,1044
20.0,民族餐厅旋转小火锅,2022-09-03,1044
14.6,紫丁香餐吧机器人收银组,2022-08-21,716
10.0,阳光川蜀源烤鱼,2022-10-20,1053
12.0,美食林那小味面馆,2023-03-21,1048
13.44,阳光副食二组,2022-10-29,712
34.8,阳光副食二组,2022-10-02,705
17.0,学苑食堂副食三组,2023-03-10,1035
12.8,民族餐厅铁板料理,2022-09-29,461
37.6,学苑食堂副食一组,2023-03-23,1030
26.0,美食林阿咪酱骨扒肉,2023-04-15,689
28.0,美食林阿咪酱骨扒肉,2023-02-05,711
2.8,美食林老上客砂锅,2023-02-25,1073
12.24,阳光副食二组,2023-02-04,728
11.21,阳光副食二组,2022-11-11,758
38.0,美食林老上客砂锅,2022-08-08,712
8.0,紫丁香餐吧主食一组,2022-12-24,1082
56.8,美食林阿咪酱骨扒肉,2023-03-14,1041
21.6,阳光副食二组,2023-04-08,647
13.0,民族餐厅金家店,2023-04-12,712
23.1,美食林阿咪酱骨扒肉,2023-02-14,1046
11.0,美食林阿咪酱骨扒肉,2022-12-28,734
40.0,美食林阿咪酱骨扒肉,2023-02-04,1045
23.3,紫丁香餐吧机器人收银组,2023-03-17,704
10.0,学院食堂陕西名小吃,2023-04-07,1046
49.34,学苑食堂副食三组,2023-03-02,667
14.28,百味佳主食二组,2022-09-09,1027
20.3,美食林海南鸡饭,2022-10-19,697
9.6,学苑食堂副食三组,2022-10-13,461
13.49,阳光副食二组,2022-08-30,1056
14.66,阳光副食二组,2022-10-19,1049
11.8,学苑食堂香恋香拌砂锅,2023-03-30,708
35.0,阳光副食三组,2023-04-01,1031
14.61,阳光副食二组,2022-09-11,1058
13.8,民族餐厅旋转小火锅,2022-09-19,1022
15.59,阳光副食二组,2022-11-20,1001
21.6,一区饺子园主食一组,2022-11-19,711
17.0,美食林阿咪酱骨扒肉,2022-08-21,704
23.74,阳光副食二组,2022-11-04,654
7.4,友来副食一组,2022-11-12,476
44.0,民族餐厅铁板料理,2022-09-03,706
12.8,美食林阿咪酱骨扒肉,2022-08-21,566
10.0,学苑食堂香恋香拌砂锅,2023-02-01,696
8.3,友来副食一组,2022-10-28,475
