amount,merchant_name,date,time
12.0,学苑食堂香恋香拌砂锅,2022-11-23,11:53
16.4,学苑食堂副食三组,2023-02-12,11:56
10.4,美食林东农豆坊,2023-04-24,12:49
11.6,友来副食一组,2022-09-28,19:53
12.5,学苑食堂香恋香拌砂锅,2022-09-07,10:26
12.66,美食林小猪憨尼麻辣烫,2023-03-05,17:36
17.0,美食林90后串炒饭,2022-10-05,17:54
19.64,学苑食堂副食一组,2023-03-02,10:46
17.3,美食林小猪憨尼麻辣烫,2023-03-26,19:02
5.21,阳光副食二组,2022-09-12,17:33
14.76,紫丁香餐吧主食一组,2023-04-24,17:14
8.89,紫丁香餐吧机器人收银组,2022-07-03,11:10
19.0,阳光川蜀源烤鱼,2023-04-24,11:40
36.0,美食林肠粉,2023-03-08,11:22
10.0,学苑食堂副食二组,2023-02-17,11:06
14.42,紫丁香餐吧机器人收银组,2023-04-11,7:22
4.3,友来副食一组,2022-10-28,7:54
13.6,阳光副食二组,2023-02-25,6:56
5.2,学苑食堂副食三组,2022-09-14,9:20
11.1,美食林蜀香麻辣烫(川香麻辣烫),2022-12-15,12:12
10.8,友来副食一组,2022-10-11,11:55
28.0,学苑食堂副食三组,2022-11-30,11:57
2.91,学苑食堂副食二组,2023-04-19,19:03
17.2,阳光副食二组,2022-09-04,17:24
5.0,民族餐厅金家店,2022-09-30,18:03
15.41,阳光副食二组,2022-09-04,12:29
15.43,阳光副食二组,2022-10-27,17:29
6.88,阳光副食二组,2022-10-07,11:15
3.2,友来副食一组,2022-11-10,7:55
39.97,美食林小猪憨尼麻辣烫,2022-10-17,18:13
6.0,美食林东农豆坊,2022-07-03,11:25
14.68,民族餐厅旋转小火锅,2022-08-19,18:04
16.0,阳光萌锅蒸饭,2023-04-24,17:25
27.0,学苑食堂副食二组,2023-03-30,11:20
3.8,学苑食堂副食三组,2022-10-25,9:26
15.27,阳光副食二组,2022-09-18,17:30
20.0,美食林90后串炒饭,2022-11-14,17:35
4.0,学苑食堂副食三组,2022-11-22,19:41
14.64,美食林小猪憨尼麻辣烫,2023-04-03,9:06
7.6,学子副食一组,2023-03-14,7:53
16.0,美食林阿咪酱骨扒肉,2023-02-21,7:27
16.0,阳光主食一组,2022-08-21,12:11
17.4,友来副食一组,2022-08-26,17:55
6.6,学苑食堂副食三组,2023-03-01,21:16
33.0,美食林老上客砂锅,2023-04-15,19:01
6.6,友来副食一组,2022-11-27,7:43
13.0,阳光萌锅蒸饭,2022-11-09,17:14
12.62,美食林蜀香麻辣烫(川香麻辣烫),2023-03-19,19:10
6.0,美食林那小味面馆,2023-02-28,11:56
22.0,美食林老上客砂锅,2022-11-24,11:33
18.0,美食林东农豆坊,2023-04-25,16:46
9.0,民族餐厅山西饸饹面,2022-11-09,11:55
15.54,民族二餐厅五谷鲜渔粉副食二组,2023-02-25,7:53
14.25,阳光小是小简餐,2022-07-03,17:22
12.0,美食林海南鸡饭,2022-08-03,12:09
14.0,学苑食堂副食一组,2023-02-03,16:58
6.1,民族餐厅金家店,2022-11-06,9:17
10.62,阳光副食二组,2022-10-04,18:00
4.2,学苑食堂副食三组,2022-09-05,12:14
13.5,学苑食堂副食三组,2022-09-21,18:33
10.0,美食林肠粉,2023-04-23,12:18
17.0,学苑食堂包子,2022-10-12,16:43
12.0,美食林90后串炒饭,2022-09-07,11:25
33.0,民族餐厅山西饸饹面,2022-10-28,16:53
10.0,学苑食堂香恋香拌砂锅,2022-11-23,11:39
16.0,美食林肠粉,2023-04-13,10:48
4.4,民族餐厅山西饸饹面,2022-07-03,12:37
4.0,学院食堂陕西名小吃,2023-04-16,18:12
7.0,学苑食堂香恋香拌砂锅,2022-10-03,11:58
14.4,紫丁香餐吧机器人收银组,2023-04-11,17:40
3.06,友来副食一组,2022-10-19,7:59
5.2,学苑食堂副食三组,2022-08-23,7:59
12.0,美食林老上客砂锅,2023-04-22,18:04
26.0,学苑食堂副食三组,2022-11-17,12:15
4.6,学苑食堂副食三组,2023-02-21,8:18
6.0,学院食堂陕西名小吃,2023-04-20,9:13
39.44,民族餐厅山西饸饹面,2023-02-04,7:46
15.0,学苑食堂副食一组,2023-04-04,16:49
24.0,美食林小猪憨尼麻辣烫,2022-10-03,17:35
11.1,阳光副食二组,2022-11-28,11:13
15.6,美食林东农豆坊,2023-02-21,16:43
18.0,美食林阿咪酱骨扒肉,2023-03-07,11:49
11.59,阳光副食二组,2022-12-20,7:21
11.0,阳光主食一组,2022-07-03,18:05
12.0,学苑食堂副食三组,2022-09-14,17:35
5.0,学苑食堂主食三组（面条）,2022-11-07,7:51
14.5,学院食堂陕西名小吃,2023-04-02,12:17
18.0,美食林90后串炒饭,2022-07-03,10:34
17.4,阳光副食二组,2022-10-26,17:26
16.0,民族餐厅山西饸饹面,2022-09-03,11:24
3.01,民族餐厅金家店,2022-11-15,12:10
16.02,学院食堂陕西名小吃,2023-04-17,17:17
2.5,美食林老上客砂锅,2023-03-11,8:41
10.8,美食林90后串炒饭,2022-09-02,17:31
4.7,友来副食一组,2022-09-20,7:57
6.7,学苑食堂副食三组,2022-11-30,7:43
6.5,友来副食一组,2022-11-16,13:18
2.66,学苑食堂副食三组,2023-04-15,7:40
16.0,学苑食堂副食三组,2022-11-16,11:50
4.0,阳光川蜀源烤鱼,2022-08-15,18:09
14.4,学苑食堂副食三组,2023-04-02,11:52
37.0,阳光主食一组,2023-04-25,11:59
3.4,友来副食一组,2022-09-12,7:45
12.0,百味佳副食一组,2022-08-23,12:11
13.0,学苑食堂香恋香拌砂锅,2022-09-15,11:23
26.0,学院食堂陕西名小吃,2023-04-20,18:04
27.6,阳光小是小简餐,2023-04-24,11:06
32.0,民族餐厅铁板料理,2023-02-25,13:21
16.0,学院食堂陕西名小吃,2023-04-15,11:22
14.1,学苑食堂副食三组,2023-04-24,9:59
20.2,学苑食堂副食一组,2023-03-02,7:50
2.87,学苑食堂副食三组,2022-10-27,11:12
12.0,美食林肠粉,2022-10-15,9:14
4.97,学苑食堂副食三组,2023-04-18,9:03
12.0,学苑食堂副食二组,2023-04-03,12:08
16.8,学苑食堂主食二组,2023-03-04,12:15
17.0,学苑食堂香恋香拌砂锅,2023-02-10,7:30
6.62,紫丁香餐吧机器人收银组,2023-02-23,11:28
4.11,学苑食堂副食三组,2022-09-26,9:18
12.28,阳光副食二组,2023-03-22,11:58
12.0,学苑食堂包子,2022-10-25,12:11
6.4,友来副食一组,2022-09-05,11:16
2.8,学苑食堂副食三组,2022-10-31,11:59
4.96,学苑食堂副食三组,2022-09-02,11:48
6.5,学苑食堂副食二组,2023-04-23,16:21
4.3,学苑食堂副食三组,2022-09-28,17:28
8.0,学苑食堂副食一组,2023-04-24,9:52
14.8,学苑食堂副食三组,2023-03-01,11:03
2.94,美食林老上客砂锅,2022-11-18,18:48
27.0,百味佳副食一组,2022-09-05,11:24
7.1,学苑食堂副食一组,2023-02-01,17:52
6.2,民族餐厅山西饸饹面,2023-03-20,7:52
33.0,美食林肠粉,2023-04-07,12:00
6.6,阳光主食一组,2022-09-21,12:13
12.0,美食林老上客砂锅,2022-09-23,17:26
6.3,学苑食堂副食三组,2022-09-13,12:13
2.83,学苑食堂香恋香拌砂锅,2022-11-16,11:51
30.4,紫丁香餐吧机器人收银组,2023-02-10,7:28
14.28,紫丁香餐吧机器人收银组,2023-04-24,8:32
37.0,美食林老上客砂锅,2023-02-28,11:57
24.0,学苑食堂香恋香拌砂锅,2023-04-24,10:45
10.0,民族餐厅山西饸饹面,2022-10-21,18:15
13.76,美食林小猪憨尼麻辣烫,2023-04-21,16:54
35.0,学院食堂陕西名小吃,2022-12-14,11:59
14.12,美食林肠粉,2023-03-20,17:33
15.0,学苑食堂香恋香拌砂锅,2022-07-03,11:57
14.13,阳光副食二组,2022-09-09,17:25
37.4,学苑食堂包子,2022-07-03,17:31
47.0,阳光川蜀源烤鱼,2022-11-11,17:21
13.0,学苑食堂副食三组,2023-03-26,11:44
10.0,学苑食堂包子,2023-04-25,11:49
14.0,美食林老上客砂锅,2022-10-10,8:59
29.0,学苑食堂主食二组,2023-04-02,11:29
10.57,紫丁香餐吧机器人收银组,2023-02-17,17:34
33.0,美食林海南鸡饭,2022-12-09,11:55
16.68,阳光副食二组,2022-09-12,18:19
15.0,民族餐厅金家店,2023-04-24,20:40
6.4,百味佳副食一组,2022-11-03,11:41
10.0,学苑食堂香恋香拌砂锅,2023-02-20,11:34
7.0,美食林东农豆坊,2023-04-03,11:25
29.0,民族餐厅铁板料理,2022-11-22,17:05
9.7,友来副食一组,2022-07-07,7:55
3.7,友来副食一组,2022-09-22,7:55
11.81,美食林老上客砂锅,2022-07-28,13:20
35.4,阳光副食二组,2022-09-11,16:55
15.0,学苑食堂副食三组,2022-09-03,18:34
14.0,美食林90后串炒饭,2022-09-25,11:36
17.13,美食林小猪憨尼麻辣烫,2023-04-23,17:25
14.38,阳光副食二组,2022-10-03,10:10
15.4,紫丁香餐吧机器人收银组,2022-09-28,11:47
15.54,紫丁香餐吧机器人收银组,2023-03-03,10:53
12.0,学苑食堂香恋香拌砂锅,2022-08-20,17:26
10.0,学苑食堂香恋香拌砂锅,2022-10-04,17:22
16.0,学苑食堂副食三组,2022-09-07,11:59
4.0,学苑食堂副食二组,2023-03-03,16:10
17.4,美食林东农豆坊,2023-04-03,16:46
7.0,学苑食堂包子,2023-03-30,11:41
49.0,美食林九旦西北小吃,2022-11-04,17:14
21.0,学苑食堂香恋香拌砂锅,2022-10-20,18:00
10.0,学苑食堂香恋香拌砂锅,2022-10-03,17:41
16.0,民族餐厅铁板料理,2023-02-11,12:03
17.0,美食林榆林镇筋饼,2023-04-18,12:18
17.6,阳光副食二组,2022-11-28,11:11
14.0,美食林九旦西北小吃,2022-10-30,17:30
17.0,学苑食堂副食二组,2023-04-16,17:31
35.0,美食林90后串炒饭,2023-03-24,21:18
6.1,学子副食一组,2022-09-23,11:44
19.0,友来副食一组,2022-10-19,11:59
3.0,阳光小是小简餐,2023-04-09,16:46
12.0,学苑食堂副食三组,2022-12-26,11:26
16.0,民族餐厅山西饸饹面,2023-03-19,18:05
4.8,学苑食堂副食二组,2023-03-18,8:02
24.0,美食林陕西刀削面(川无界),2022-10-24,18:02
14.0,学院食堂陕西名小吃,2023-03-30,17:26
3.01,学苑食堂副食三组,2023-04-22,18:11
8.0,友来副食一组,2022-09-03,7:15
14.0,美食林90后串炒饭,2022-09-01,10:32
35.4,民族餐厅金家店,2022-08-23,18:19
16.0,美食林东农豆坊,2023-04-24,11:45
30.0,学苑食堂香恋香拌砂锅,2023-03-28,20:09
16.4,紫丁香餐吧机器人收银组,2023-04-03,7:54
12.0,学苑食堂包子,2022-10-25,12:18
8.0,学苑食堂副食一组,2022-11-03,8:33
9.0,民族餐厅金家店,2022-08-14,11:55
17.04,学苑食堂香恋香拌砂锅,2022-12-24,12:15
12.0,美食林老上客砂锅,2023-03-11,18:04
4.0,学苑食堂香恋香拌砂锅,2023-02-04,11:57
7.2,友来副食一组,2022-10-01,7:55
21.4,学苑食堂副食三组,2023-02-16,9:40
3.14,民族餐厅山西饸饹面,2023-02-16,17:29
36.22,紫丁香餐吧机器人收银组,2022-11-07,12:30
12.53,美食林东农豆坊,2022-11-14,11:49
8.8,友来副食一组,2022-09-25,8:02
