amount,merchant_name,date,Time
11.06,美食林广式猪脚饭,2023-03-11,1082
3.0,学苑食堂香恋香拌砂锅,2022-11-16,736
7.0,学苑食堂副食三组,2022-09-17,554
15.04,阳光副食二组,2022-10-01,1131
14.6,学苑食堂副食三组,2023-03-24,730
29.4,阳光副食二组,2023-03-21,700
32.0,民族餐厅山西饸饹面,2022-11-12,1050
17.0,阳光川蜀源烤鱼,2022-10-18,445
8.0,学苑食堂副食三组,2023-02-21,708
15.56,学苑食堂香恋香拌砂锅,2023-03-03,716
13.04,学苑食堂副食一组,2023-04-03,1035
3.5,阳光川蜀源烤鱼,2022-09-23,467
4.6,学苑食堂副食三组,2023-04-14,462
22.0,民族餐厅金家店,2023-02-08,1053
15.4,紫丁香餐吧机器人收银组,2022-09-20,735
4.0,学苑食堂副食三组,2023-02-13,1269
10.4,美食林小猪憨尼麻辣烫,2022-10-16,717
12.78,美食林小猪憨尼麻辣烫,2022-10-10,1025
4.6,学苑食堂副食二组,2023-04-16,468
4.3,学苑食堂主食二组,2023-03-03,1257
14.4,紫丁香餐吧机器人收银组,2023-02-08,705
12.0,学苑食堂香恋香拌砂锅,2022-12-18,492
14.3,学苑食堂副食一组,2022-09-26,801
4.0,民族餐厅山西饸饹面,2023-04-17,481
14.0,学院食堂陕西名小吃,2023-03-22,1073
26.0,民族餐厅金家店,2022-11-23,1042
29.0,民族餐厅金家店,2022-10-04,1024
5.5,紫丁香餐吧副食一组（中西套餐）,2023-03-07,724
9.9,友来副食一组,2022-09-07,779
14.4,紫丁香餐吧机器人收银组,2022-11-09,714
26.0,学苑食堂副食三组,2022-10-02,669
17.0,民族餐厅金家店,2022-11-30,1098
12.29,阳光副食二组,2022-09-16,681
19.0,学院食堂陕西名小吃,2022-09-03,1093
10.62,美食林小猪憨尼麻辣烫,2023-04-24,1054
11.0,美食林肠粉,2023-02-28,1025
4.0,美食林肠粉,2023-04-09,700
8.1,紫丁香餐吧机器人收银组,2022-09-02,680
13.31,阳光副食二组,2022-09-24,1078
17.1,友来副食一组,2022-08-27,475
19.4,紫丁香餐吧机器人收银组,2022-07-03,717
17.8,紫丁香餐吧机器人收银组,2023-03-11,719
11.0,学苑食堂副食三组,2022-09-04,1012
15.0,民族餐厅山西饸饹面,2022-11-01,1298
15.55,阳光副食二组,2022-11-14,1001
12.0,学苑食堂副食三组,2022-08-16,1086
4.1,美食林阿咪酱骨扒肉,2023-03-24,462
34.0,学苑食堂副食三组,2023-02-09,742
14.0,紫丁香餐吧机器人收银组,2022-11-30,695
47.0,学院食堂陕西名小吃,2023-02-13,689
3.0,学苑食堂副食二组,2023-03-16,479
22.04,学院食堂陕西名小吃,2022-09-15,1059
4.0,学苑食堂副食三组,2022-09-11,573
10.0,学院食堂陕西名小吃,2023-04-01,1097
11.88,阳光副食二组,2022-08-25,653
16.0,学苑食堂副食三组,2023-03-03,703
22.6,学苑食堂副食三组,2022-09-02,1034
12.04,美食林老上客砂锅,2022-10-29,1082
26.22,学苑食堂副食三组,2022-07-03,516
29.9,美食林小猪憨尼麻辣烫,2022-11-18,713
9.0,美食林东农豆坊,2023-04-25,751
19.0,阳光川蜀源烤鱼,2023-03-07,746
3.9,学苑食堂副食二组,2023-02-15,473
15.24,阳光副食二组,2022-11-13,880
4.5,阳光主食一组,2022-10-26,817
13.87,学苑食堂包子,2022-07-03,1196
21.0,学苑食堂主食二组,2023-04-12,725
9.0,学苑食堂副食三组,2022-10-13,719
13.4,友来副食一组,2022-09-10,473
15.0,美食林老上客砂锅,2023-03-07,1026
14.81,美食林小猪憨尼麻辣烫,2022-10-13,1003
15.73,阳光副食二组,2022-09-28,1064
17.0,学苑食堂副食三组,2022-09-17,680
24.6,学苑食堂副食二组,2023-04-25,681
14.0,美食林阿咪酱骨扒肉,2023-04-21,718
11.0,学苑食堂副食三组,2022-11-10,1059
8.2,学苑食堂包子,2023-04-13,1014
11.0,美食林那小味面馆,2023-02-21,1093
10.0,学苑食堂香恋香拌砂锅,2022-08-20,621
25.0,民族餐厅铁板料理,2022-07-03,646
4.4,学苑食堂副食一组,2023-04-14,463
15.0,学苑食堂副食一组,2022-09-05,1253
14.0,学苑食堂副食三组,2023-03-07,1056
14.0,美食林阿咪酱骨扒肉,2022-12-01,751
13.0,民族餐厅山西饸饹面,2022-11-30,1053
16.93,美食林小猪憨尼麻辣烫,2022-11-20,1026
21.4,美食林小猪憨尼麻辣烫,2022-10-12,1099
42.4,紫丁香餐吧机器人收银组,2022-12-14,1063
14.4,阳光主食一组,2022-11-24,1210
15.59,阳光副食二组,2022-09-18,1061
18.4,紫丁香餐吧机器人收银组,2022-09-02,1036
12.6,学苑食堂副食三组,2023-02-19,542
14.0,学苑食堂副食一组,2023-04-19,1049
7.6,紫丁香餐吧机器人收银组,2022-11-11,880
15.0,学苑食堂包子,2022-11-11,548
26.4,美食林小猪憨尼麻辣烫,2023-04-20,686
17.0,阳光川蜀源烤鱼,2022-11-02,700
16.0,美食林老上客砂锅,2022-10-04,1001
10.0,阳光主食一组,2023-04-06,1039
8.4,紫丁香餐吧机器人收银组,2023-02-16,811
6.2,学子副食一组,2022-11-23,467
16.4,紫丁香餐吧机器人收银组,2022-10-28,475
5.69,学苑食堂副食三组,2023-04-24,470
10.6,阳光川蜀源烤鱼,2022-07-03,983
2.6,学苑食堂副食二组,2023-04-08,473
26.2,紫丁香餐吧机器人收银组,2023-02-27,659
21.0,友来副食一组,2022-10-16,743
