amount,merchant_name,date,time
9.8,百味佳展销组,2023-03-17,11:45
9.0,美食林庆丰黄焖鸡扣碗饭,2022-07-03,17:25
19.0,阳光广式猪脚饭,2022-12-28,11:57
38.0,美食林庆丰黄焖鸡扣碗饭,2022-07-03,17:28
12.98,阳光副食二组,2022-11-23,11:41
24.0,阳光副食二组,2022-11-29,17:48
13.0,美食林那小味面馆,2023-02-28,17:37
14.36,阳光副食二组,2022-11-03,17:31
12.95,学苑食堂包子,2022-07-03,8:30
25.76,紫丁香餐吧机器人收银组,2023-04-19,17:23
12.23,百味佳副食一组,2022-10-14,14:27
11.95,阳光副食二组,2023-02-19,17:25
22.32,阳光副食二组,2023-04-05,11:25
18.0,美食林东农豆坊,2023-03-12,11:54
9.0,学苑食堂副食三组,2023-04-24,11:04
2.8,回味斋一餐厅副食一组,2022-11-10,12:13
8.0,学苑食堂凉菜组,2023-04-04,17:08
12.1,紫丁香餐吧机器人收银组,2023-03-16,17:24
18.0,紫丁香餐吧主食一组,2022-08-20,17:16
14.0,民族餐厅金家店,2022-11-05,16:52
5.14,百味佳副食一组,2023-04-25,8:54
9.0,学苑食堂副食一组,2022-08-12,7:37
17.0,民族餐厅金家店,2023-02-13,11:45
7.0,民族餐厅山西饸饹面,2022-09-01,12:04
19.84,阳光副食二组,2023-03-29,11:40
6.9,紫丁香餐吧机器人收银组,2023-04-05,11:54
2.1,学苑食堂副食三组,2022-11-01,8:49
13.21,紫丁香餐吧机器人收银组,2023-04-12,11:22
18.0,一区饺子园主食一组,2023-04-25,12:01
8.0,学苑食堂副食三组,2022-07-15,11:23
14.0,美食林酸辣粉烤肉拌饭,2022-10-26,11:46
11.0,美食林榆林镇筋饼,2023-04-11,18:06
2.65,回味斋一餐厅副食一组,2022-11-18,7:42
2.6,学苑食堂副食三组,2022-10-11,7:26
29.6,回味斋一餐厅副食一组,2023-04-23,17:45
13.72,阳光副食二组,2022-10-06,17:19
24.0,美食林肠粉,2023-03-15,16:46
9.0,百味佳副食一组,2022-10-15,17:33
8.0,民族餐厅山西饸饹面,2022-07-03,11:52
15.4,美食林东农豆坊,2023-04-23,11:54
10.1,回味斋一餐厅副食一组,2023-02-24,17:14
24.0,阳光副食二组,2022-07-04,11:59
14.6,回味斋一餐厅副食一组,2022-11-10,11:44
11.0,回味斋一餐厅副食一组,2022-10-17,17:38
2.9,百味佳副食一组,2022-09-04,8:21
10.0,学苑食堂包子,2022-11-05,11:47
8.0,学苑食堂副食三组,2022-07-04,12:03
14.68,美食林同乐妈妈菜,2023-04-04,12:21
15.0,学院食堂陕西名小吃,2023-04-08,18:08
2.21,民族餐厅金家店,2022-07-19,17:44
33.2,百味佳副食一组,2022-11-16,8:37
16.0,民族餐厅铁板料理,2023-03-09,16:49
8.7,学苑食堂副食三组,2022-10-28,17:35
11.0,民族餐厅金家店,2022-08-16,11:59
2.6,百味佳副食一组,2022-11-26,8:56
2.46,友来副食一组,2022-11-16,7:58
2.14,学苑食堂副食三组,2022-09-03,7:45
11.1,阳光副食二组,2023-03-27,17:15
10.0,美食林庆丰黄焖鸡扣碗饭,2022-11-22,11:30
15.0,一区饺子园主食一组,2022-08-09,10:16
9.0,百味佳副食一组,2022-08-09,8:25
3.4,学苑食堂副食三组,2022-11-23,12:05
4.0,学苑食堂凉菜组,2023-03-17,10:36
18.0,一区饺子园凉菜组,2022-10-12,17:25
