amount,merchant_name,date,Time
4.2,阳光副食二组,2022-10-19,1055
15.62,学子副食一组,2022-10-31,1065
9.4,民族餐厅旋转小火锅,2022-11-08,1022
19.0,学苑食堂包子,2023-03-08,704
6.0,民族餐厅金家店,2022-11-24,1020
27.0,天香特色剁椒猪脚饭,2023-03-19,728
5.7,学苑食堂副食一组,2022-09-09,714
2.23,百味佳副食一组,2023-03-08,531
8.5,回味斋一餐厅副食一组,2022-08-12,1057
10.0,紫丁香餐吧主食一组,2023-03-17,718
9.76,阳光副食二组,2022-11-25,690
10.4,美食林同乐妈妈菜,2023-02-17,709
14.0,阳光广式猪脚饭,2022-11-01,1036
16.0,民族餐厅山西饸饹面,2022-11-05,1063
14.89,阳光副食二组,2022-07-03,1039
10.88,阳光副食二组,2022-11-15,1041
4.3,百味佳副食一组,2022-10-11,427
3.44,阳光副食二组,2022-10-17,481
13.83,百味佳副食一组,2023-04-10,728
19.0,学苑食堂主食三组（面条）,2022-09-13,690
22.0,民族餐厅山西饸饹面,2022-08-15,1094
16.0,阳光广式猪脚饭,2022-09-21,1056
13.0,美食林东农豆坊,2023-04-07,1044
3.0,民族餐厅德澳士,2022-11-25,1009
14.88,学苑食堂副食一组,2022-10-20,499
2.1,友来副食一组,2022-11-28,573
18.66,阳光副食二组,2023-02-26,1024
11.0,紫丁香餐吧机器人收银组,2023-04-03,1052
13.0,学苑食堂副食三组,2022-11-22,422
8.0,回味斋一餐厅副食一组,2022-11-16,1026
18.28,阳光副食二组,2022-07-04,1055
30.0,学苑食堂重庆小面,2022-11-05,1029
2.8,回味斋一餐厅副食一组,2022-11-11,447
2.5,百味佳展销组,2022-11-24,547
15.16,百味佳展销组,2023-03-07,682
13.6,美食林酸辣粉烤肉拌饭,2023-04-20,674
12.59,回味斋一餐厅副食一组,2022-11-15,1062
2.1,回味斋一餐厅副食一组,2023-04-09,722
5.0,学苑食堂包子,2023-02-01,412
18.0,一区饺子园主食一组,2022-09-07,719
7.6,回味斋一餐厅副食一组,2022-07-03,1033
10.0,民族餐厅旋转小火锅,2022-07-04,724
5.8,百味佳副食一组,2022-11-11,451
13.76,阳光副食二组,2022-10-16,700
19.4,民族餐厅铁板料理,2022-07-03,1029
13.0,百味佳副食一组,2023-04-23,715
2.24,一区饺子园凉菜组,2023-02-03,654
18.0,学苑食堂副食三组,2022-07-06,1062
8.0,学苑食堂副食三组,2022-11-09,706
9.6,美食林东农豆坊,2023-03-17,1044
27.0,民族餐厅山西饸饹面,2022-08-25,678
9.0,民族餐厅旋转小火锅,2023-04-25,1075
12.33,阳光副食二组,2022-07-03,710
9.0,学苑食堂副食三组,2022-10-29,727
10.0,美食林那小味面馆,2023-03-27,695
20.7,学子副食一组,2022-11-26,1046
9.4,回味斋一餐厅副食一组,2022-11-11,1059
3.0,学苑食堂副食一组,2022-10-13,1082
15.0,美食林那小味面馆,2022-07-04,1038
22.46,回味斋一餐厅副食一组,2022-11-27,1044
2.5,回味斋一餐厅副食一组,2022-11-07,1069
19.45,回味斋一餐厅副食一组,2023-02-13,1054
16.0,紫丁香餐吧副食一组（中西套餐）,2022-11-06,1004
19.6,紫丁香餐吧机器人收银组,2023-04-08,1009
3.8,百味佳副食一组,2022-10-17,455
3.9,回味斋一餐厅副食一组,2022-09-07,525
19.0,学苑食堂副食三组,2022-09-24,714
13.8,回味斋一餐厅副食一组,2022-10-15,706
16.0,学苑食堂重庆小面,2022-08-01,1046
3.4,百味佳副食一组,2023-02-18,563
18.0,民族餐厅旋转小火锅,2023-02-08,1059
20.04,学子副食一组,2022-08-23,432
6.0,学苑食堂副食三组,2022-10-27,1014
12.08,阳光副食二组,2022-08-01,704
21.0,美食林榆林镇筋饼,2023-02-01,1013
7.6,民族餐厅山西饸饹面,2022-10-17,443
2.12,学苑食堂副食三组,2022-07-04,716
2.6,美食林美美卤肉饭,2023-04-23,492
25.75,学苑食堂副食二组,2023-04-01,1022
9.1,百味佳副食一组,2023-03-12,507
14.0,百味佳副食一组,2023-02-04,1008
13.6,民族餐厅旋转小火锅,2023-04-25,1046
22.25,阳光副食二组,2023-03-08,702
3.0,学苑食堂副食三组,2022-10-07,696
11.0,学苑食堂包子,2023-03-23,707
16.0,美食林酸辣粉烤肉拌饭,2023-02-28,1048
11.0,美食林庆丰黄焖鸡扣碗饭,2022-11-17,1072
14.0,学苑食堂铁锅焖面,2022-11-02,1035
6.4,紫丁香餐吧机器人收银组,2023-02-04,1053
13.0,学苑食堂主食三组（面条）,2022-11-08,1039
18.0,美食林那小味面馆,2023-03-12,1004
3.9,学苑食堂副食三组,2022-11-08,426
24.1,友来美好米线馄饨,2022-11-23,622
29.0,学苑食堂副食三组,2022-09-10,1063
7.0,学苑食堂副食一组,2022-11-13,507
12.82,阳光副食二组,2023-02-08,1028
19.0,美食林庆丰黄焖鸡扣碗饭,2022-07-03,1033
13.05,民族餐厅金家店,2022-08-01,1029
33.13,一区饺子园凉菜组,2023-04-05,1054
11.08,美食林酸辣粉烤肉拌饭,2022-09-24,1037
23.8,紫丁香餐吧机器人收银组,2023-02-26,710
3.9,回味斋一餐厅副食一组,2022-10-01,535
23.1,一区饺子园主食一组,2022-08-26,501
15.6,民族餐厅金家店,2022-11-18,472
3.4,学苑食堂副食三组,2022-11-23,525
13.8,紫丁香餐吧副食一组（中西套餐）,2023-03-15,726
17.8,学子副食一组,2022-11-21,1022
22.44,阳光副食二组,2023-03-10,1031
30.1,美食林老上客砂锅,2023-02-26,652
17.0,民族餐厅金家店,2023-03-26,1018
10.52,学子副食一组,2022-11-29,1067
17.0,学苑食堂重庆小面,2022-11-10,1000
6.5,百味佳副食一组,2022-07-04,692
13.0,学苑食堂副食三组,2022-08-19,436
8.7,学苑食堂副食三组,2022-07-30,457
14.0,友来美好米线馄饨,2022-07-03,713
21.0,民族餐厅山西饸饹面,2023-04-21,423
7.4,回味斋一餐厅副食一组,2022-10-21,715
9.0,学苑食堂副食三组,2022-08-29,405
13.0,民族餐厅山西饸饹面,2022-08-15,684
14.46,百味佳副食一组,2023-03-14,681
9.2,学苑食堂包子,2023-03-10,675
3.6,百味佳副食一组,2022-11-10,460
11.7,紫丁香餐吧副食一组（中西套餐）,2022-11-18,1047
16.0,美食林庆丰黄焖鸡扣碗饭,2022-09-05,1045
2.82,阳光副食二组,2022-10-28,1028
2.1,学苑食堂副食三组,2022-10-04,721
9.9,一区饺子园凉菜组,2022-11-15,1049
9.0,美食林酸辣粉烤肉拌饭,2022-07-11,673
7.0,民族餐厅山西饸饹面,2022-11-07,674
18.0,学苑食堂副食一组,2022-08-08,1048
18.34,阳光副食二组,2023-04-15,1017
25.22,锦绣自选,2023-02-03,411
6.0,民族餐厅山西饸饹面,2022-09-06,680
19.86,阳光副食二组,2022-09-23,1079
10.0,美食林陕西刀削面(罐罐面),2022-11-28,741
11.0,美食林酸辣粉烤肉拌饭,2022-09-28,1088
37.09,百味佳副食一组,2022-08-30,739
23.2,阳光副食二组,2022-10-26,724
9.0,阳光主食一组,2022-11-18,1075
10.0,美食林真牛铁板,2022-07-03,706
16.8,一区饺子园主食一组,2022-11-03,716
19.0,阳光主食一组,2022-11-08,1074
27.4,百味佳展销组,2023-04-04,715
18.5,学苑食堂包子,2023-04-13,661
33.0,民族餐厅山西饸饹面,2022-08-12,726
8.0,学苑食堂副食三组,2023-03-26,1031
13.0,美食林榆林镇筋饼,2023-03-01,720
7.0,学苑食堂副食三组,2022-09-08,1052
14.96,学苑食堂副食三组,2022-09-06,497
5.0,学苑食堂副食一组,2022-07-10,726
13.0,美食林那小味面馆,2023-04-25,657
8.0,学苑食堂包子,2022-10-27,726
5.0,学苑食堂包子,2023-04-17,732
8.0,学苑食堂副食三组,2022-09-13,1072
8.0,民族餐厅山西饸饹面,2022-07-03,716
3.5,美食林同乐妈妈菜,2022-07-04,594
9.8,学子副食一组,2023-02-17,1021
15.21,百味佳副食一组,2023-04-12,574
25.8,紫丁香餐吧机器人收银组,2023-04-12,1059
8.0,学苑食堂副食三组,2023-04-23,694
15.9,一区饺子园凉菜组,2022-08-05,702
9.0,美食林那小味面馆,2023-03-10,1067
3.8,学苑食堂副食三组,2023-04-15,542
8.0,学苑食堂副食三组,2022-10-10,1072
12.0,美食林榆林镇筋饼,2023-03-24,694
13.22,阳光副食二组,2022-11-04,1038
4.1,友来副食一组,2022-09-30,507
14.22,民族餐厅旋转小火锅,2022-07-03,1032
2.16,一区饺子园主食一组,2022-10-02,689
7.2,一区饺子园主食一组,2022-07-03,713
5.9,百味佳副食一组,2022-08-02,426
15.0,学苑食堂副食一组,2022-08-27,1079
11.1,民族餐厅旋转小火锅,2023-03-12,990
17.0,美食林那小味面馆,2023-02-05,1080
13.8,美食林东农豆坊,2023-03-03,512
12.2,友来副食一组,2022-11-14,683
